U,W,L,N,nmax,boundary,g,n_realizations_used,source
1.0,0.5,7,7,2,periodic,0.6766766766766765,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,1.0,7,7,2,periodic,1.2122122122122123,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,2.0,7,7,2,periodic,1.1271271271271273,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,3.0,7,7,2,periodic,0.8268268268268271,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,4.0,7,7,2,periodic,0.4414414414414414,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,5.0,7,7,2,periodic,0.28628628628628633,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,6.0,7,7,2,periodic,0.2212212212212212,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,7.0,7,7,2,periodic,0.15115115115115116,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,8.0,7,7,2,periodic,0.07607607607607617,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,9.0,7,7,2,periodic,0.08108108108108117,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,10.0,7,7,2,periodic,0.09109109109109112,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,11.0,7,7,2,periodic,0.08108108108108117,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,12.0,7,7,2,periodic,0.05605605605605614,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,13.0,7,7,2,periodic,0.02102102102102108,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,14.0,7,7,2,periodic,-0.009009009009009398,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
