U,W,L,N,nmax,boundary,tau_Th,mean_spacing,t_H,t_Th,g,n_realizations_used,n_realizations_total,n_levels,file,epsilon,curve_file
1.0,0.5,7,7,2,periodic,0.2105345242766706,0.027814563345280707,225.8955220393799,47.55880626879101,0.6766766766766765,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W0.5_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,1.0,7,7,2,periodic,0.06134621717992506,0.02922006609487239,215.02981159519607,13.191265522277266,1.2122122122122123,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_1/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W1_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W1_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,2.0,7,7,2,periodic,0.07462302891391108,0.032830652729017765,191.38167489512378,14.281480259291552,1.1271271271271273,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_2/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W2_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W2_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,3.0,7,7,2,periodic,0.14899550728528538,0.03819143048436915,164.51819760328553,24.512472309562348,0.8268268268268271,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_3/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W3_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W3_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,4.0,7,7,2,periodic,0.36187498124112805,0.04437055073431509,141.60710658748542,51.244069039956706,0.4414414414414414,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_4/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W4_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W4_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,5.0,7,7,2,periodic,0.5172657387216019,0.05205713364065534,120.6978730437162,62.43287446208398,0.28628628628628633,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W5_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W5_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,6.0,7,7,2,periodic,0.6008675891719687,0.05874935356287029,106.94901179560505,64.26219488194964,0.2212212212212212,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_6/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W6_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W6_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,7.0,7,7,2,periodic,0.7060717714137773,0.0648138227864891,96.94205706516914,68.44804995649946,0.15115115115115116,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_7/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W7_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W7_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,8.0,7,7,2,periodic,0.8393129498166364,0.07442782329387451,84.41984501374903,70.85466914155296,0.07607607607607617,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_8/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W8_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W8_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,9.0,7,7,2,periodic,0.8296958520834906,0.08186693745053987,76.74875233943605,63.67812146861319,0.08108108108108117,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_9/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W9_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W9_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,10.0,7,7,2,periodic,0.8107909806731687,0.08855263851935483,70.9542415927706,57.52905912392341,0.09109109109109112,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_10/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W10_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W10_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,11.0,7,7,2,periodic,0.8296958520834906,0.09616164388046097,65.33982837263312,54.21218457662087,0.08108108108108117,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_11/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W11_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W11_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,12.0,7,7,2,periodic,0.8789090653419954,0.10696669167280362,58.73964323771913,51.626804936585984,0.05605605605605614,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_12/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W12_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W12_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,13.0,7,7,2,periodic,0.952750047242729,0.11551339798694628,54.39356314225667,51.823469853485406,0.02102102102102108,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_13/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W13_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W13_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,14.0,7,7,2,periodic,1.0209606623060477,0.1195962030882249,52.53666207567262,53.637865308127736,-0.009009009009009398,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_14/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W14_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W14_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,15.0,7,7,2,periodic,1.0209606623060477,0.1286578362672869,48.836398073151614,49.86004132140666,-0.009009009009009398,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_15/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W15_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W15_L7_N7_nmax2_boundaryperiodic_nreal300.txt
