U,W,L,N,nmax,boundary,g,n_realizations_used,source
1.0,0.5,7,7,2,periodic,1.0570570570570572,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,1.0,7,7,2,periodic,1.2472472472472473,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,2.0,7,7,2,periodic,1.2172172172172173,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,3.0,7,7,2,periodic,0.9519519519519521,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,4.0,7,7,2,periodic,0.7017017017017015,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,5.0,7,7,2,periodic,0.47147147147147145,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,6.0,7,7,2,periodic,0.3513513513513513,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,7.0,7,7,2,periodic,0.2812812812812813,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,8.0,7,7,2,periodic,0.2562562562562563,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,9.0,7,7,2,periodic,0.2212212212212212,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,10.0,7,7,2,periodic,0.17617617617617626,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,11.0,7,7,2,periodic,0.16116116116116116,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,12.0,7,7,2,periodic,0.1461461461461462,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
