U,W,L,N,nmax,boundary,g,n_realizations_used,source
1.0,0.5,8,8,2,periodic,0.9719719719719722,291,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,1.0,8,8,2,periodic,1.0920920920920922,291,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,2.0,8,8,2,periodic,1.2322322322322323,293,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,3.0,8,8,2,periodic,0.9919919919919922,277,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,4.0,8,8,2,periodic,0.5665665665665665,249,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,5.0,8,8,2,periodic,0.3513513513513513,216,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,6.0,8,8,2,periodic,0.20120120120120122,198,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,7.0,8,8,2,periodic,0.13113113113113117,211,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,8.0,8,8,2,periodic,0.10610610610610612,184,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,9.0,8,8,2,periodic,0.07107107107107118,186,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,10.0,8,8,2,periodic,0.10610610610610612,185,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,11.0,8,8,2,periodic,-0.019019019019019395,187,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,12.0,8,8,2,periodic,0.031031031031031126,184,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,13.0,8,8,2,periodic,0.026026026026026064,186,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,14.0,8,8,2,periodic,0.006006006006006093,187,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,15.0,8,8,2,periodic,0.01601601601601605,171,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,0.5,8,8,3,periodic,1.2072072072072073,273,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,1.0,8,8,3,periodic,1.1671671671671673,268,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,2.0,8,8,3,periodic,1.1071071071071072,271,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,3.0,8,8,3,periodic,1.0920920920920922,266,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,4.0,8,8,3,periodic,0.5915915915915914,257,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,5.0,8,8,3,periodic,0.4914914914914914,215,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,6.0,8,8,3,periodic,0.26126126126126126,207,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,7.0,8,8,3,periodic,0.1861861861861862,191,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,8.0,8,8,3,periodic,0.0960960960960961,180,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,9.0,8,8,3,periodic,0.09609609609609616,156,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,10.0,8,8,3,periodic,0.01601601601601605,148,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,11.0,8,8,3,periodic,0.01101101101101112,142,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,12.0,8,8,3,periodic,0.0010010010010010313,140,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,13.0,8,8,3,periodic,0.06606606606606615,123,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,14.0,8,8,3,periodic,0.01101101101101112,127,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,15.0,8,8,3,periodic,-0.044044044044044384,110,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,0.5,8,8,4,periodic,1.1171171171171173,287,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,1.0,8,8,4,periodic,1.2772772772772774,277,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,2.0,8,8,4,periodic,1.1771771771771773,283,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,3.0,8,8,4,periodic,0.9519519519519521,262,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,4.0,8,8,4,periodic,0.4714714714714714,246,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,5.0,8,8,4,periodic,0.27127127127127126,225,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,6.0,8,8,4,periodic,0.2212212212212212,216,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,7.0,8,8,4,periodic,0.06606606606606615,185,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,8.0,8,8,4,periodic,0.0960960960960961,172,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,9.0,8,8,4,periodic,0.09609609609609616,162,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
