# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.325194680808155283e+02 1.325161983586575047e+02 1.999800019997333795e-04 5.821282399907015126e+00
1.011591112223829728e-04 1.325179120716238117e+02 1.325152819355439817e+02 2.022977581832760541e-04 5.816274894849054355e+00
1.023316578330244966e-04 1.325163197980256768e+02 1.325142222285023195e+02 2.046423742725537011e-04 5.811266926013815670e+00
1.035177955630176228e-04 1.325146904152327920e+02 1.325130229997493814e+02 2.070141614763123497e-04 5.806258505787823765e+00
1.047176819485520245e-04 1.325130230587956248e+02 1.325116919259052963e+02 2.094134346075829226e-04 5.801249659386446211e+00
1.059314763518370031e-04 1.325113168441475864e+02 1.325102395087910168e+02 2.118405121253895179e-04 5.796240421284941213e+00
1.071593399822671198e-04 1.325095708661365563e+02 1.325086778005295400e+02 2.142957161769398083e-04 5.791230831040801164e+00
1.084014359178331018e-04 1.325077841985469149e+02 1.325070191538002007e+02 2.167793726403025999e-04 5.786220929198316654e+00
1.096579291267809898e-04 1.325059558936114286e+02 1.325052751718875186e+02 2.192918111675785128e-04 5.781210753847675576e+00
1.109289864895222780e-04 1.325040849815095498e+02 1.325034559660686568e+02 2.218333652285692595e-04 5.776200338191086026e+00
1.122147768207980290e-04 1.325021704698565657e+02 1.325015697517542321e+02 2.244043721549514021e-04 5.771189709218961461e+00
1.135154708920999033e-04 1.325002113431784494e+02 1.324996227496533550e+02 2.270051731849600921e-04 5.766178887385690288e+00
1.148312414543511137e-04 1.324982065623769643e+02 1.324976193166617406e+02 2.296361135085894041e-04 5.761167887038308066e+00
1.161622632608501891e-04 1.324961550641807833e+02 1.324955622162929103e+02 2.322975423133139818e-04 5.756156717302536308e+00
1.175087130904807617e-04 1.324940557605846152e+02 1.324934529456850782e+02 2.349898128303393684e-04 5.751145383154320889e+00
1.188707697711903309e-04 1.324919075382751714e+02 1.324912920566945047e+02 2.377132823813860615e-04 5.746133886472052588e+00
1.202486142037412301e-04 1.324897092580438880e+02 1.324890794332223720e+02 2.404683124260139629e-04 5.741122226945410745e+00
1.216424293857368039e-04 1.324874597541862613e+02 1.324868152520510023e+02 2.432552686094931291e-04 5.736110405224826181e+00
1.230524004359261579e-04 1.324851578338870013e+02 1.324844983125928763e+02 2.460745208112275753e-04 5.731098417446368387e+00
1.244787146187906256e-04 1.324828022765913715e+02 1.324821273863402098e+02 2.489264431937378481e-04 5.726086259655031263e+00
1.259215613694150942e-04 1.324803918333616650e+02 1.324797012162181034e+02 2.518114142522093635e-04 5.721073927802599712e+00
1.273811323186478520e-04 1.324779252262188152e+02 1.324772185159216065e+02 2.547298168646127152e-04 5.716061417745462059e+00
1.288576213185518003e-04 1.324754011474700519e+02 1.324746779692379448e+02 2.576820383424025126e-04 5.711048725242372726e+00
1.303512244681508938e-04 1.324728182590185668e+02 1.324720782293535137e+02 2.606684704818018248e-04 5.706035845952163399e+00
1.318621401394748458e-04 1.324701751916596209e+02 1.324694179181442450e+02 2.636895096156779473e-04 5.701022775431396461e+00
