# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.298935231380646655e+02 1.298903740989040330e+02 1.999800019997333795e-04 5.812590399232408167e+00
1.011591112223829728e-04 1.298920245583138069e+02 1.298894915005106725e+02 2.022977581832760541e-04 5.807582946553756287e+00
1.023316578330244966e-04 1.298904910529502388e+02 1.298884709068112784e+02 2.046423742725537011e-04 5.802575038288575016e+00
1.035177955630176228e-04 1.298889218083892558e+02 1.298873159411942311e+02 2.070141614763123497e-04 5.797566686608844222e+00
1.047176819485520245e-04 1.298873159921124056e+02 1.298860339969770052e+02 2.094134346075829226e-04 5.792557916291693587e+00
1.059314763518370031e-04 1.298856727522268386e+02 1.298846351884080264e+02 2.118405121253895179e-04 5.787548761212686799e+00
1.071593399822671198e-04 1.298839912170165860e+02 1.298831311228219647e+02 2.142957161769398083e-04 5.782539260241006396e+00
1.084014359178331018e-04 1.298822704944805935e+02 1.298815336970206431e+02 2.167793726403025999e-04 5.777529453215437094e+00
1.096579291267809898e-04 1.298805096718631376e+02 1.298798540860740331e+02 2.192918111675785128e-04 5.772519377563463117e+00
1.109289864895222780e-04 1.298787078151713388e+02 1.298781020281153360e+02 2.218333652285692595e-04 5.767509065909843358e+00
1.122147768207980290e-04 1.298768639686818460e+02 1.298762854353863077e+02 2.244043721549514021e-04 5.762498544775870535e+00
1.135154708920999033e-04 1.298749771544370333e+02 1.298744102990503393e+02 2.270051731849600921e-04 5.757487834260816228e+00
1.148312414543511137e-04 1.298730463717283214e+02 1.298724808152470587e+02 2.296361135085894041e-04 5.752476948463107753e+00
1.161622632608501891e-04 1.298710705965683587e+02 1.298704996455436742e+02 2.322975423133139818e-04 5.747465896350938408e+00
1.175087130904807617e-04 1.298690487811511218e+02 1.298684682318726402e+02 2.349898128303393684e-04 5.742454682815115063e+00
1.188707697711903309e-04 1.298669798532982327e+02 1.298663871057734696e+02 2.377132823813860615e-04 5.737443309702932481e+00
1.202486142037412301e-04 1.298648627158949864e+02 1.298642561554847816e+02 2.404683124260139629e-04 5.732431776711167437e+00
1.216424293857368039e-04 1.298626962463107191e+02 1.298620755513213396e+02 2.432552686094931291e-04 5.727420084480630003e+00
1.230524004359261579e-04 1.298604792958072380e+02 1.298598441370616570e+02 2.460745208112275753e-04 5.722408229216520148e+00
1.244787146187906256e-04 1.298582106889334113e+02 1.298575607295980490e+02 2.489264431937378481e-04 5.717396207034585842e+00
1.259215613694150942e-04 1.298558892229057165e+02 1.298552241183125204e+02 2.518114142522093635e-04 5.712384013959027840e+00
1.273811323186478520e-04 1.298535136669742940e+02 1.298528330644388973e+02 2.547298168646127152e-04 5.707371645920348513e+00
1.288576213185518003e-04 1.298510827617749328e+02 1.298503863004107473e+02 2.576820383424025126e-04 5.702359098753158051e+00
1.303512244681508938e-04 1.298485952186649683e+02 1.298478825291936118e+02 2.606684704818018248e-04 5.697346368193924704e+00
1.318621401394748458e-04 1.298460497190457090e+02 1.298453204236014926e+02 2.636895096156779473e-04 5.692333449878673513e+00
1.333905690039058638e-04 1.298434449136675823e+02 1.298426986255987003e+02 2.667455566660177873e-04 5.687320339340630859e+00
1.349367140588306430e-04 1.298407794219201605e+02 1.298400157455847364e+02 2.698370171970083421e-04 5.682307032007812175e+00
1.365007806546013845e-04 1.298380518311052185e+02 1.298372703616635420e+02 2.729643014687300768e-04 5.677293523200560799e+00
1.380829765218092263e-04 1.298352606956937052e+02 1.298344610188947854e+02 2.761278244914698696e-04 5.672279808129019329e+00
1.396835117988739626e-04 1.298324045365656048e+02 1.298315862285287210e+02 2.793280060806610596e-04 5.667265881890544144e+00
1.413025990599533599e-04 1.298294818402318640e+02 1.298286444672234552e+02 2.825652709124569940e-04 5.662251739467066614e+00
1.429404533431761061e-04 1.298264910580385560e+02 1.298256341762439945e+02 2.858400485799463138e-04 5.657237375722385053e+00
1.445972921792019463e-04 1.298234306053521721e+02 1.298225537606429327e+02 2.891527736500166482e-04 5.652222785399394489e+00
