# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 8.845457058272474171e+01 8.845360905565982534e+01 1.999800019997333795e-04 5.645728989163814937e+00
1.011591112223829728e-04 8.845411300765756835e+01 8.845333956106435380e+01 2.022977581832760541e-04 5.640723164322127836e+00
1.023316578330244966e-04 8.845364476562829736e+01 8.845302792947863679e+01 2.046423742725537011e-04 5.635717138422281280e+00
1.035177955630176228e-04 8.845316560802017136e+01 8.845267526676899195e+01 2.070141614763123497e-04 5.630710916959394297e+00
1.047176819485520245e-04 8.845267528042415961e+01 8.845228382989259330e+01 2.094134346075829226e-04 5.625704511080947157e+00
1.059314763518370031e-04 8.845217352250406861e+01 8.845185670662615962e+01 2.118405121253895179e-04 5.620697936014434681e+00
1.071593399822671198e-04 8.845166006785882473e+01 8.845139744067965637e+01 2.142957161769398083e-04 5.615691209226841174e+00
1.084014359178331018e-04 8.845113464388127511e+01 8.845090966419655842e+01 2.167793726403025999e-04 5.610684348620348594e+00
1.096579291267809898e-04 8.845059697161377699e+01 8.845039678899686919e+01 2.192918111675785128e-04 5.605677371016406951e+00
1.109289864895222780e-04 8.845004676559990742e+01 8.844986178818793121e+01 2.218333652285692595e-04 5.600670291083464924e+00
1.122147768207980290e-04 8.844948373373412664e+01 8.844930707738816977e+01 2.244043721549514021e-04 5.595663120753749276e+00
1.135154708920999033e-04 8.844890757710604134e+01 8.844873448564665352e+01 2.270051731849600921e-04 5.590655869080433327e+00
1.148312414543511137e-04 8.844831798984282045e+01 8.844814529391857150e+01 2.296361135085894041e-04 5.585648542426496554e+00
1.161622632608501891e-04 8.844771465894677931e+01 8.844754031458067800e+01 2.322975423133139818e-04 5.580641144855096769e+00
1.175087130904807617e-04 8.844709726412972373e+01 8.844691998758604257e+01 2.349898128303393684e-04 5.575633678601651155e+00
1.188707697711903309e-04 8.844646547764317290e+01 8.844628447488443612e+01 2.377132823813860615e-04 5.570626144537416558e+00
1.202486142037412301e-04 8.844581896410514332e+01 8.844563374197431926e+01 2.404683124260139629e-04 5.565618542569899851e+00
1.216424293857368039e-04 8.844515738032175989e+01 8.844496784048455140e+01 2.432552686094931291e-04 5.560610873030403134e+00
1.230524004359261579e-04 8.844448037510676386e+01 8.844428641693797033e+01 2.460745208112275753e-04 5.555603134261896336e+00
1.244787146187906256e-04 8.844378758909434168e+01 8.844358910962495202e+01 2.489264431937378481e-04 5.550595324567761502e+00
1.259215613694150942e-04 8.844307865454955220e+01 8.844287554841204724e+01 2.518114142522093635e-04 5.545587442210861973e+00
1.273811323186478520e-04 8.844235319517345317e+01 8.844214535454612758e+01 2.547298168646127152e-04 5.540579485412582272e+00
1.288576213185518003e-04 8.844161082590382250e+01 8.844139814045360026e+01 2.576820383424025126e-04 5.535571452351853772e+00
1.303512244681508938e-04 8.844085115271168718e+01 8.844063350953564395e+01 2.606684704818018248e-04 5.530563341164147495e+00
1.318621401394748458e-04 8.844007377239235268e+01 8.843985105595791651e+01 2.636895096156779473e-04 5.525555149940455379e+00
1.333905690039058638e-04 8.843927827235229699e+01 8.843905036443602796e+01 2.667455566660177873e-04 5.520546876726236007e+00
1.349367140588306430e-04 8.843846423039045135e+01 8.843823101001603959e+01 2.698370171970083421e-04 5.515538519520345240e+00
1.365007806546013845e-04 8.843763121447575770e+01 8.843739255784872455e+01 2.729643014687300768e-04 5.510530076273930433e+00
1.380829765218092263e-04 8.843677878251720870e+01 8.843653456296084414e+01 2.761278244914698696e-04 5.505521544889314889e+00
1.396835117988739626e-04 8.843590648213121597e+01 8.843565657001830971e+01 2.793280060806610596e-04 5.500512923218837003e+00
1.413025990599533599e-04 8.843501385040148932e+01 8.843475811308643131e+01 2.825652709124569940e-04 5.495504209063680534e+00
1.429404533431761061e-04 8.843410041363495111e+01 8.843383871538313201e+01 2.858400485799463138e-04 5.490495400172664908e+00
1.445972921792019463e-04 8.843316568711007619e+01 8.843289788902643522e+01 2.891527736500166482e-04 5.485486494241007094e+00
