# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 8.805447166565716088e+01 8.805350650936723866e+01 1.999800019997333795e-04 5.643760086945811771e+00
1.011591112223829728e-04 8.805401236347127281e+01 8.805323599760146180e+01 2.022977581832760541e-04 5.638754251074899138e+00
1.023316578330244966e-04 8.805354235408795205e+01 8.805292318981577182e+01 2.046423742725537011e-04 5.633748212421313184e+00
1.035177955630176228e-04 8.805306138795394588e+01 8.805256919605518817e+01 2.070141614763123497e-04 5.628741976525421187e+00
1.047176819485520245e-04 8.805256920970194301e+01 8.805217628180018608e+01 2.094134346075829226e-04 5.623735554627055322e+00
1.059314763518370031e-04 8.805206555801522939e+01 8.805174754648676583e+01 2.118405121253895179e-04 5.618728962080063560e+00
1.071593399822671198e-04 8.805155016548964397e+01 8.805128654720473946e+01 2.142957161769398083e-04 5.613722216496448425e+00
1.084014359178331018e-04 8.805102275849114335e+01 8.805079692981126982e+01 2.167793726403025999e-04 5.608715335927028534e+00
1.096579291267809898e-04 8.805048305701177469e+01 8.805028211900751955e+01 2.192918111675785128e-04 5.603708337332875544e+00
1.109289864895222780e-04 8.804993077452040495e+01 8.804974509912615588e+01 2.218333652285692595e-04 5.598701235504105256e+00
1.122147768207980290e-04 8.804936561781146054e+01 8.804918829490620169e+01 2.244043721549514021e-04 5.593694042471796912e+00
1.135154708920999033e-04 8.804878728684947475e+01 8.804861354230369841e+01 2.270051731849600921e-04 5.588686767363974184e+00
1.148312414543511137e-04 8.804819547461008256e+01 8.804802212711182108e+01 2.296361135085894041e-04 5.583679416596035061e+00
1.161622632608501891e-04 8.804758986691734890e+01 8.804741486477654178e+01 2.322975423133139818e-04 5.578671994264373879e+00
1.175087130904807617e-04 8.804697014227757279e+01 8.804679219691496428e+01 2.349898128303393684e-04 5.573664502622408534e+00
1.188707697711903309e-04 8.804633597170898440e+01 8.804615428609145056e+01 2.377132823813860615e-04 5.568656942548013689e+00
1.202486142037412301e-04 8.804568701856715052e+01 8.804550109767814092e+01 2.404683124260139629e-04 5.563649313947277797e+00
1.216424293857368039e-04 8.804502293836721094e+01 8.804483268350264780e+01 2.432552686094931291e-04 5.558641617153606163e+00
1.230524004359261579e-04 8.804434337860094217e+01 8.804414868875751665e+01 2.460745208112275753e-04 5.553633850495490520e+00
1.244787146187906256e-04 8.804364797855087943e+01 8.804344875037267570e+01 2.489264431937378481e-04 5.548626012261501650e+00
1.259215613694150942e-04 8.804293636909865484e+01 8.804273249682212565e+01 2.518114142522093635e-04 5.543618100699340800e+00
1.273811323186478520e-04 8.804220817252976872e+01 8.804199954792807148e+01 2.547298168646127152e-04 5.538610114014881347e+00
1.288576213185518003e-04 8.804146300233391287e+01 8.804124951465932725e+01 2.576820383424025126e-04 5.533602050371178471e+00
1.303512244681508938e-04 8.804070046300005004e+01 8.804048199892550031e+01 2.606684704818018248e-04 5.528593907887460190e+00
1.318621401394748458e-04 8.803992014980715908e+01 8.803969659336630116e+01 2.636895096156779473e-04 5.523585684638095294e+00
1.333905690039058638e-04 8.803912164861044687e+01 8.803889288113600742e+01 2.667455566660177873e-04 5.518577378651531973e+00
1.349367140588306430e-04 8.803830453562173375e+01 8.803807043568262714e+01 2.698370171970083421e-04 5.513568987909216901e+00
1.365007806546013845e-04 8.803746837718551888e+01 8.803722882052278464e+01 2.729643014687300768e-04 5.508560510344487682e+00
1.380829765218092263e-04 8.803661272954900596e+01 8.803636758901041048e+01 2.761278244914698696e-04 5.503551943841436866e+00
1.396835117988739626e-04 8.803573713862856209e+01 8.803548628410018750e+01 2.793280060806610596e-04 5.498543286233751992e+00
1.413025990599533599e-04 8.803484113976820424e+01 8.803458443810671952e+01 2.825652709124569940e-04 5.493534535303528088e+00
1.429404533431761061e-04 8.803392425749468941e+01 8.803366157245623924e+01 2.858400485799463138e-04 5.488525688780049983e+00
1.445972921792019463e-04 8.803298600526561302e+01 8.803271719743393930e+01 2.891527736500166482e-04 5.483516744338550630e+00
1.462733356201129868e-04 8.803202588521266136e+01 8.803175081192527784e+01 2.925038857208746290e-04 5.478507699598934799e+00
1.479688062686396383e-04 8.803104338787763083e+01 8.803076190315057659e+01 2.958938294802293295e-04 5.473498552124477001e+00
1.496839293077255632e-04 8.803003799194404166e+01 8.802974994639400563e+01 2.993230547641470953e-04 5.468489299420485672e+00
1.514189325304352018e-04 8.802900916396058051e+01 8.802871440472685549e+01 3.027920166165852479e-04 5.463479938932940705e+00
1.531740463702079740e-04 8.802795635806010921e+01 8.802765472872292207e+01 3.063011753496128480e-04 5.458470468047092794e+00
1.549495039314631646e-04 8.802687901567033180e+01 8.802657035616854841e+01 3.098509966043256183e-04 5.453460884086037019e+00
1.567455410205595065e-04 8.802577656521943084e+01 8.802546071176556097e+01 3.134419514124640264e-04 5.448451184309243800e+00
1.585623961771137158e-04 8.802464842183334781e+01 8.802432520682739892e+01 3.170745162587414656e-04 5.443441365911066754e+00
1.604003107056819902e-04 8.802349398702749284e+01 8.802316323896798167e+01 3.207491731438919663e-04 5.438431426019205261e+00
1.622595287078087002e-04 8.802231264839018365e+01 8.802197419178369842e+01 3.244664096484443775e-04 5.433421361693136831e+00
