U,W,L,N,nmax,boundary,tau_Th,mean_spacing,t_H,t_Th,g,n_realizations_used,n_realizations_total,n_levels,file
1.0,0.5,9,9,2,periodic,0.04871780218794631,0.004275950292216502,1469.4243098702173,71.58712285841676,1.3123123123123124,300,300,100,pbs_bose_midpoint_L9/data/U_1/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
1.0,1.0,9,9,2,periodic,0.04928249570040513,0.004274892822050872,1469.7877978997471,72.43481083050222,1.3073073073073074,300,300,100,pbs_bose_midpoint_L9/data/U_1/W_1/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W1_boundaryperiodic_nreal300.txt
1.0,2.0,9,9,2,periodic,0.07292272058728312,0.004593440858433518,1367.8602818285365,99.7480931342247,1.1371371371371373,300,300,100,pbs_bose_midpoint_L9/data/U_1/W_2/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W2_boundaryperiodic_nreal300.txt
1.0,3.0,9,9,2,periodic,0.060643293954080614,0.005134047318869736,1223.8269180118957,74.21689553791191,1.2172172172172173,300,300,100,pbs_bose_midpoint_L9/data/U_1/W_3/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W3_boundaryperiodic_nreal300.txt
1.0,4.0,9,9,2,periodic,0.11562801312073753,0.006079321961873899,1033.533895158737,119.50547079014142,0.9369369369369372,299,299,100,pbs_bose_midpoint_L9/data/U_1/W_4/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W4_boundaryperiodic_nreal300.txt
1.0,5.0,9,9,2,periodic,0.24175940791691308,0.0068788329792264,913.4086154082198,220.8251260472986,0.6166166166166165,298,298,100,pbs_bose_midpoint_L9/data/U_1/W_5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W5_boundaryperiodic_nreal300.txt
1.0,6.0,9,9,2,periodic,0.3703126675869927,0.007913374650924926,793.9956825429969,294.0266592550522,0.4314314314314313,296,296,100,pbs_bose_midpoint_L9/data/U_1/W_6/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W6_boundaryperiodic_nreal300.txt
1.0,7.0,9,9,2,periodic,0.5293266058360562,0.009020830212587047,696.5196283610859,368.6863707785648,0.27627627627627627,290,290,100,pbs_bose_midpoint_L9/data/U_1/W_7/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W7_boundaryperiodic_nreal300.txt
1.0,8.0,9,9,2,periodic,0.5354620899273608,0.009951460092737802,631.3832592028195,338.0817995178903,0.2712712712712712,289,289,100,pbs_bose_midpoint_L9/data/U_1/W_8/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W8_boundaryperiodic_nreal300.txt
1.0,9.0,9,9,2,periodic,0.6665363268124913,0.011092307770422274,566.4452733572493,377.5563518438385,0.17617617617617626,287,287,100,pbs_bose_midpoint_L9/data/U_1/W_9/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W9_boundaryperiodic_nreal300.txt
1.0,10.0,9,9,2,periodic,0.6899837121430018,0.01197506961563747,524.688833455697,362.02674902774305,0.16116116116116125,281,281,100,pbs_bose_midpoint_L9/data/U_1/W_10/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W10_boundaryperiodic_nreal300.txt
1.0,11.0,9,9,2,periodic,0.7479522515621821,0.01313895831246681,478.21030843958374,357.6784769176323,0.1261261261261261,279,279,100,pbs_bose_midpoint_L9/data/U_1/W_11/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W11_boundaryperiodic_nreal300.txt
