L,N,nmax,filling,U,threshold,Wstar,Wstar_bootstrap_std,bootstrap_valid,bootstrap_total
6,3,2,0.5,1.0,0.45849718055994526,5.408062733482735,0.16015078857666742,500,500
6,3,2,0.5,2.0,0.45849718055994526,5.894664944639394,0.17714884080024004,500,500
6,3,2,0.5,3.0,0.45849718055994526,5.748100707784912,0.24678325819687286,500,500
6,3,2,0.5,4.0,0.45849718055994526,5.134709464252407,0.6341120578199582,500,500
6,3,2,0.5,5.0,0.45849718055994526,2.8310681026442066,0.24776458643561247,500,500
6,3,2,0.5,6.0,0.45849718055994526,2.0143583688793307,0.31538756414213553,496,500
6,3,2,0.5,7.0,0.45849718055994526,nan,0.551357281459328,71,500
6,3,2,0.5,8.0,0.45849718055994526,nan,nan,0,500
6,3,2,0.5,9.0,0.45849718055994526,nan,nan,0,500
6,3,2,0.5,10.0,0.45849718055994526,nan,nan,0,500
6,4,2,0.6666666666666666,1.0,0.45849718055994526,5.8551636764075745,0.12357002337642323,500,500
6,4,2,0.6666666666666666,2.0,0.45849718055994526,6.1564429608104305,0.17352667366319988,500,500
6,4,2,0.6666666666666666,3.0,0.45849718055994526,6.471855257657378,0.12515283180228023,500,500
6,4,2,0.6666666666666666,4.0,0.45849718055994526,5.935908465381442,0.16444161276370986,500,500
6,4,2,0.6666666666666666,5.0,0.45849718055994526,4.872793011265307,0.18189125560553457,500,500
6,4,2,0.6666666666666666,6.0,0.45849718055994526,4.501915176480114,0.14666730614238851,500,500
6,4,2,0.6666666666666666,7.0,0.45849718055994526,4.071958066814628,0.11048171938050712,500,500
6,4,2,0.6666666666666666,8.0,0.45849718055994526,3.7738580214058537,0.063737014780027,500,500
6,4,2,0.6666666666666666,9.0,0.45849718055994526,3.8588275451961263,0.10224808949012112,500,500
6,4,2,0.6666666666666666,10.0,0.45849718055994526,3.696296105239984,0.0701290820992451,500,500
6,5,2,0.8333333333333334,1.0,0.45849718055994526,6.362961342488723,0.14008680043131333,500,500
6,5,2,0.8333333333333334,2.0,0.45849718055994526,6.694540707939131,0.17540590661915198,500,500
6,5,2,0.8333333333333334,3.0,0.45849718055994526,6.896342933126937,0.13257178294641037,500,500
6,5,2,0.8333333333333334,4.0,0.45849718055994526,6.62038346092606,0.12285155331625591,500,500
6,5,2,0.8333333333333334,5.0,0.45849718055994526,5.507575146667414,0.18040237968759906,500,500
6,5,2,0.8333333333333334,6.0,0.45849718055994526,4.36446722708071,0.15612562589769385,500,500
6,5,2,0.8333333333333334,7.0,0.45849718055994526,3.9851100580840875,0.12043573223237593,500,500
6,5,2,0.8333333333333334,8.0,0.45849718055994526,3.602342007459063,0.07724341103227288,500,500
6,5,2,0.8333333333333334,9.0,0.45849718055994526,3.5019018655066274,0.09628687236011932,500,500
6,5,2,0.8333333333333334,10.0,0.45849718055994526,3.4807452020407763,0.08062699963827093,500,500
6,6,2,1.0,1.0,0.45849718055994526,6.714548458623449,0.08899249824341275,500,500
6,6,2,1.0,2.0,0.45849718055994526,7.2110547202865165,0.1592679528788368,500,500
6,6,2,1.0,3.0,0.45849718055994526,7.446326709685189,0.15895753423692352,500,500
6,6,2,1.0,4.0,0.45849718055994526,7.335628210462954,0.11523881886445764,500,500
6,6,2,1.0,5.0,0.45849718055994526,6.520346194579262,0.12033171295232514,500,500
6,6,2,1.0,6.0,0.45849718055994526,5.591627604260747,0.15304445478516626,500,500
6,6,2,1.0,7.0,0.45849718055994526,4.53927336137971,0.0852975513894444,500,500
6,6,2,1.0,8.0,0.45849718055994526,4.394628278692065,0.0775531466779047,500,500
6,6,2,1.0,9.0,0.45849718055994526,4.009320143976309,0.1106164484786121,500,500
6,6,2,1.0,10.0,0.45849718055994526,3.8293777362161445,0.0839099686779437,500,500
6,7,2,1.1666666666666667,1.0,0.45849718055994526,6.868144432541753,0.11952916731377143,500,500
6,7,2,1.1666666666666667,2.0,0.45849718055994526,7.462286850623465,0.13935594801801102,500,500
6,7,2,1.1666666666666667,3.0,0.45849718055994526,7.881980965991903,0.19152052134534772,500,500
6,7,2,1.1666666666666667,4.0,0.45849718055994526,7.7718017421261525,0.1392619408642099,500,500
6,7,2,1.1666666666666667,5.0,0.45849718055994526,6.93700802668305,0.25192465628518607,500,500
6,7,2,1.1666666666666667,6.0,0.45849718055994526,5.547990276010637,0.17867275730513069,500,500
6,7,2,1.1666666666666667,7.0,0.45849718055994526,4.418884144936153,0.16599755633817678,500,500
6,7,2,1.1666666666666667,8.0,0.45849718055994526,3.9736324285338784,0.1144343788008762,500,500
6,7,2,1.1666666666666667,9.0,0.45849718055994526,4.009618382515829,0.10405741812440186,500,500
6,7,2,1.1666666666666667,10.0,0.45849718055994526,3.8306587552571365,0.09491073710952432,500,500
6,8,2,1.3333333333333333,1.0,0.45849718055994526,7.296363834194938,0.21000938410522102,500,500
6,8,2,1.3333333333333333,2.0,0.45849718055994526,7.624589986086278,0.08860468579093926,500,500
6,8,2,1.3333333333333333,3.0,0.45849718055994526,8.016199858492616,0.138549272112301,500,500
6,8,2,1.3333333333333333,4.0,0.45849718055994526,8.045709547467967,0.2017559629297113,500,500
