L,N,nmax,filling,U_at_max_Wstar,max_Wstar,max_Wstar_bootstrap_std
6,3,2,0.5,2.0,5.894664944639394,0.17714884080024004
6,3,3,0.5,2.0,5.706202416227108,0.22108001092577112
6,4,2,0.6666666666666666,3.0,6.471855257657378,0.1190297354556364
6,4,3,0.6666666666666666,2.0,6.334280176676517,0.13965165140121977
6,5,2,0.8333333333333334,3.0,6.896342933126937,0.13287577328365688
6,5,3,0.8333333333333334,2.0,6.517996276710204,0.08738828855929925
6,6,2,1.0,3.0,7.446326709685189,0.14884536403230839
6,6,3,1.0,2.0,7.136391320001654,0.10286343628976909
6,7,2,1.1666666666666667,3.0,7.881980965991903,0.1764605571147886
6,7,3,1.1666666666666667,2.0,7.715826061926048,0.14461595211163292
6,8,2,1.3333333333333333,4.0,8.045709547467967,0.19728185061140519
6,8,3,1.3333333333333333,2.0,8.597805964078013,0.14951101713129947
6,9,2,1.5,5.0,8.741078559355167,0.2993356710553888
6,9,3,1.5,2.0,9.006501241752149,0.17267941069879006
