L,N,nmax,filling,U,W,r_mean,r_mean_stderr,r_mean_n,onsite_pair_density,onsite_pair_density_stderr,onsite_pair_density_n,onsite_pair_variance,onsite_pair_variance_stderr,onsite_pair_variance_n,charge_fluctuation,charge_fluctuation_stderr,charge_fluctuation_n,fock_entropy_normalized,fock_entropy_normalized_stderr,fock_entropy_normalized_n,ipr,ipr_stderr,ipr_n,pr,pr_stderr,pr_n,pr_normalized,pr_normalized_stderr,pr_normalized_n,entanglement_entropy,entanglement_entropy_stderr,entanglement_entropy_n,diag_std,diag_std_stderr,diag_std_n,disorder_diag_std,disorder_diag_std_stderr,disorder_diag_std_n,interaction_diag_std,interaction_diag_std_stderr,interaction_diag_std_n,connectivity_mean,connectivity_mean_stderr,connectivity_mean_n,Nres_mean_l1.0,Nres_mean_l1.0_stderr,Nres_mean_l1.0_n,Nres_mean_l2.0,Nres_mean_l2.0_stderr,Nres_mean_l2.0_n,fres_l1.0,fres_l1.0_stderr,fres_l1.0_n,fres_l2.0,fres_l2.0_stderr,fres_l2.0_n
6,3,2,0.5,1.0,1.0,0.498277165543478,0.003049027807537948,500,0.21201670220433602,0.00011017738891076175,500,0.8801173072304279,0.0007603837231251164,500,0.435001178701512,0.00027280648108156267,500,0.809449857965106,0.0003013265544194162,500,0.060301100937971,0.00011138922979775773,500,17.3829958720216,0.028724320879445684,500,0.347659917440398,0.0005744864175892038,500,nan,nan,0,1.37334556009778,0.006772339813783891,500,0.936080854091442,0.010318111981784697,500,0.9897433186109997,9.940081669675863e-18,500,4.56,0.0,500,2.49376,0.01668375317607163,500,4.22464,0.009202690902104632,500,0.546877192982458,0.0036587178017697094,500,0.9264561403510541,0.0020181339697631353,500
6,3,2,0.5,1.0,2.0,0.5192271399933561,0.002995388893981894,500,0.20044361825236,0.00027591877644863363,500,0.9051628729678259,0.0008633021200673605,500,0.412789408589868,0.0008031947863784579,500,0.7952611006668,0.000860366606819636,500,0.0664338202202548,0.0003781756078859098,500,16.140567740888,0.06623208116500233,500,0.322811354817726,0.0013246416232996511,500,nan,nan,0,2.11589772143298,0.017507487300892886,500,1.8551225205979658,0.020460691482982064,500,0.9897433186109997,9.940081669675863e-18,500,4.56,0.0,500,1.92152,0.01885683270008402,500,3.3937600000000003,0.025088455232874417,500,0.42138596491228797,0.004135270328965212,500,0.7442456140351221,0.005501854217736757,500
6,3,2,0.5,1.0,3.0,0.5081111369857739,0.002996547029668734,500,0.190292387417264,0.00039195237644664127,500,0.905997324655934,0.001294856012738892,500,0.37491998146771,0.0017512266404143477,500,0.7492296235835039,0.002260633935481068,500,0.0882463075358632,0.001198607365134423,500,13.32265914268416,0.1271419624814035,500,0.2664531828537,0.002542839249629659,500,nan,nan,0,2.9079649731150803,0.029268869126786452,500,2.720804963004978,0.03169764108404235,500,0.9897433186109997,9.940081669675863e-18,500,4.56,0.0,500,1.4956800000000001,0.023238578663002458,500,2.75296,0.03152783032449172,500,0.3279999999999918,0.00509617953135963,500,0.6037192982456561,0.006913997878177862,500
6,3,2,0.5,1.0,4.0,0.481945508871332,0.0029549664014481493,500,0.182046266078332,0.0004324137353951121,500,0.873953402802794,0.0028395350953586904,500,0.33091604302541394,0.0024069297562370816,500,0.6814946324866099,0.003606687541629619,500,0.126300094202127,0.0023147207722918686,500,10.26361134743522,0.14995582371763153,500,0.20527222694873098,0.0029991164743527338,500,nan,nan,0,3.87722013839016,0.040828591782050276,500,3.7380103127014834,0.042759125090814254,500,0.9897433186109997,9.940081669675863e-18,500,4.56,0.0,500,1.1653600000000002,0.021328092175149267,500,2.2124800000000002,0.032891521758763524,500,0.25556140350876144,0.004677213196305079,500,0.48519298245616094,0.00721305301727402,500
6,3,2,0.5,1.0,5.0,0.46513203786107205,0.0030919294944136894,500,0.177432131498424,0.0004533350077416077,500,0.8298455776719579,0.0036341575429563607,500,0.28834259134501405,0.0027221719838439666,500,0.6103793337794421,0.004266187226823677,500,0.1739307787662804,0.003308606312160032,500,7.80138138483906,0.13723146237791845,500,0.15602762769674838,0.002744629247557218,500,nan,nan,0,4.80924342650012,0.047878376409133526,500,4.69939674566396,0.04921788802467663,500,0.9897433186109997,9.940081669675863e-18,500,4.56,0.0,500,0.9521600000000001,0.01965225409417362,500,1.8247200000000001,0.030665776084190195,500,0.2088070175438398,0.00430970484521441,500,0.4001578947368418,0.006724950895656844,500
6,3,2,0.5,1.0,6.0,0.448872632733582,0.003194226502092233,500,0.1745406831289,0.0004792016219081983,500,0.780214577930494,0.004635999579107271,500,0.2571462469107588,0.0029755362462595835,500,0.554152224418202,0.004919176395891219,500,0.21757575096506257,0.004189592930962617,500,6.452033712369019,0.13560048733330546,500,0.12904067424737578,0.002712009746665538,500,nan,nan,0,5.692223665736679,0.060606246990473275,500,5.5988947709170205,0.06182075774820053,500,0.9897433186109997,9.940081669675863e-18,500,4.56,0.0,500,0.81856,0.019981611105332055,500,1.6023199999999997,0.03138684283272231,500,0.1795087719298092,0.004381932259942296,500,0.35138596491225155,0.0068830795685812145,500
6,3,2,0.5,1.0,7.0,0.43078011641083597,0.0034814227466521248,500,0.17187513210614,0.0004789753657609101,500,0.730306228632458,0.005449332003654921,500,0.2281763476680208,0.0031506904604670146,500,0.5003768485439921,0.005319642282889024,500,0.2664783126171218,0.0052319554134707316,500,5.33987680042378,0.12227795251660838,500,0.1067975360084616,0.0024455590503306202,500,nan,nan,0,6.63248311673006,0.07044679992669758,500,6.5521786658861405,0.0715643724911148,500,0.9897433186109997,9.940081669675863e-18,500,4.56,0.0,500,0.73088,0.019801177350069307,500,1.4137599999999997,0.03079024200628522,500,0.16028070175434442,0.00434236345396332,500,0.31003508771925464,0.006752246054011612,500
6,3,2,0.5,1.0,8.0,0.430245694537914,0.0031565836848888025,500,0.17180233631319,0.0005127628652249977,500,0.6903207532161479,0.006289969577159599,500,0.21110724483736443,0.0031533522962220875,500,0.465442527532254,0.005595468482661403,500,0.300524718326399,0.005834254072856562,500,4.7455248657703795,0.11078480767267529,500,0.0949104973154096,0.002215696153453708,500,nan,nan,0,7.34366258438872,0.08339753780799856,500,7.27079301950372,0.0844168572838911,500,0.9897433186109997,9.940081669675863e-18,500,4.56,0.0,500,0.64904,0.017887730392567813,500,1.2744000000000002,0.0295945832664938,500,0.1423333333333082,0.003922747893107089,500,0.27947368421049124,0.0064900401900227726,500
6,3,2,0.5,1.0,9.0,0.42804099537037804,0.0034008518990998856,500,0.17017128565898598,0.0004969839723306083,500,0.640477250830382,0.006379432076603574,500,0.18433393335649362,0.0030917838288641204,500,0.416419409111614,0.00544432152089454,500,0.352327314085284,0.006306757844464635,500,3.9498167312710204,0.09755839436826745,500,0.0789963346254264,0.0019511678873658936,500,nan,nan,0,8.404644748462879,0.09120454475940766,500,8.34138116461718,0.09207731787582019,500,0.9897433186109997,9.940081669675863e-18,500,4.56,0.0,500,0.56336,0.018685366108621645,500,1.1256,0.029639187621892937,500,0.1235438596490844,0.00409766800627651,500,0.24684210526313902,0.006499821846907785,500
6,3,2,0.5,1.0,10.0,0.41616571608365804,0.0033460997074674075,500,0.169620454515546,0.0005268310009231634,500,0.5975990214892201,0.007010075976016238,500,0.17288395501569018,0.0031607288810253536,500,0.389893489237798,0.005682723703058952,500,0.38262416537030586,0.0069726494666414755,500,3.6578483783410403,0.0901183875231359,500,0.0731569675668156,0.0018023677504617449,500,nan,nan,0,9.22638037380534,0.10295101500478271,500,9.168593673888239,0.1037594899179767,500,0.9897433186109997,9.940081669675863e-18,500,4.56,0.0,500,0.5379200000000001,0.017875211707478442,500,1.03656,0.02868090517126134,500,0.1179649122806594,0.00392000256742868,500,0.2273157894736454,0.006289672186681655,500
