L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
6,3,2,0.5,1.0,onsite_pair_density,10.0,0.22609479290386802
6,3,2,0.5,1.0,onsite_pair_variance,1.0,0.8801173072304279
6,3,2,0.5,1.0,charge_fluctuation,1.0,0.435001178701512
6,3,2,0.5,1.0,fock_entropy_normalized,1.0,0.809449857965106
6,3,2,0.5,1.0,pr_normalized,1.0,0.347659917440398
6,3,2,0.5,1.0,Nres_mean_l1.0,1.0,2.49376
6,3,2,0.5,1.0,Nres_mean_l2.0,1.0,4.22464
6,3,2,0.5,1.0,fres_l1.0,1.0,0.546877192982458
6,3,2,0.5,1.0,fres_l2.0,1.0,0.9264561403510541
6,3,3,0.5,1.0,onsite_pair_density,10.0,0.26101306750531
6,3,3,0.5,1.0,onsite_pair_variance,1.0,1.66893199744126
6,3,3,0.5,1.0,charge_fluctuation,1.0,0.477356042978424
6,3,3,0.5,1.0,fock_entropy_normalized,1.0,0.812226060998508
6,3,3,0.5,1.0,pr_normalized,1.0,0.341727135173062
6,3,3,0.5,1.0,Nres_mean_l1.0,1.0,2.26199999999986
6,3,3,0.5,1.0,Nres_mean_l2.0,1.0,3.8918571428567996
6,3,3,0.5,1.0,fres_l1.0,1.0,0.502666666666706
6,3,3,0.5,1.0,fres_l2.0,1.0,0.8648571428570719
6,4,2,0.6666666666666666,1.0,onsite_pair_density,1.0,0.341378245870796
6,4,2,0.6666666666666666,1.0,onsite_pair_variance,1.0,1.079454380840888
6,4,2,0.6666666666666666,1.0,charge_fluctuation,1.0,0.543269849364436
6,4,2,0.6666666666666666,1.0,fock_entropy_normalized,1.0,0.8308963822431359
6,4,2,0.6666666666666666,1.0,pr_normalized,1.0,0.33148457183303404
6,4,2,0.6666666666666666,1.0,Nres_mean_l1.0,1.0,2.82293333333354
6,4,2,0.6666666666666666,1.0,Nres_mean_l2.0,1.0,4.8733333333329405
6,4,2,0.6666666666666666,1.0,fres_l1.0,1.0,0.529300000000032
6,4,2,0.6666666666666666,1.0,fres_l2.0,1.0,0.913749999999966
6,4,3,0.6666666666666666,1.0,onsite_pair_density,1.0,0.477282460768384
6,4,3,0.6666666666666666,1.0,onsite_pair_variance,1.0,3.1069581764691003
6,4,3,0.6666666666666666,1.0,charge_fluctuation,1.0,0.6746076471696419
6,4,3,0.6666666666666666,1.0,fock_entropy_normalized,1.0,0.8318537375841961
6,4,3,0.6666666666666666,1.0,pr_normalized,1.0,0.306800525074872
6,4,3,0.6666666666666666,1.0,Nres_mean_l1.0,1.0,2.55200000000018
6,4,3,0.6666666666666666,1.0,Nres_mean_l2.0,1.0,4.4808666666671995
6,4,3,0.6666666666666666,1.0,fres_l1.0,1.0,0.47259259259251796
6,4,3,0.6666666666666666,1.0,fres_l2.0,1.0,0.8297901234568961
