L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value,U_at_max_Wstar,delta_U_maximum_minus_Wstar
6,3,2,0.5,4.0,onsite_pair_density,10.0,0.22583414442968802,2.0,8.0
6,3,2,0.5,4.0,onsite_pair_variance,1.0,0.873953402802794,2.0,-1.0
6,3,2,0.5,4.0,charge_fluctuation,1.0,0.33091604302541394,2.0,-1.0
6,3,2,0.5,4.0,fock_entropy_normalized,1.0,0.6814946324866099,2.0,-1.0
6,3,2,0.5,4.0,pr_normalized,1.0,0.20527222694873098,2.0,-1.0
6,3,2,0.5,4.0,Nres_mean_l1.0,1.0,1.1653600000000002,2.0,-1.0
6,3,2,0.5,4.0,Nres_mean_l2.0,1.0,2.2124800000000002,2.0,-1.0
6,3,2,0.5,4.0,fres_l1.0,1.0,0.25556140350876144,2.0,-1.0
6,3,2,0.5,4.0,fres_l2.0,1.0,0.48519298245616094,2.0,-1.0
6,4,2,0.6666666666666666,4.0,onsite_pair_density,5.0,0.3395284003980061,3.0,2.0
6,4,2,0.6666666666666666,4.0,onsite_pair_variance,1.0,1.1669769301438182,3.0,-2.0
6,4,2,0.6666666666666666,4.0,charge_fluctuation,1.0,0.433415290264374,3.0,-2.0
6,4,2,0.6666666666666666,4.0,fock_entropy_normalized,1.0,0.7143758162059599,3.0,-2.0
6,4,2,0.6666666666666666,4.0,pr_normalized,1.0,0.1890774205869828,3.0,-2.0
6,4,2,0.6666666666666666,4.0,Nres_mean_l1.0,1.0,1.4637333333331422,3.0,-2.0
6,4,2,0.6666666666666666,4.0,Nres_mean_l2.0,1.0,2.76479999999997,3.0,-2.0
6,4,2,0.6666666666666666,4.0,fres_l1.0,1.0,0.274449999999998,3.0,-2.0
6,4,2,0.6666666666666666,4.0,fres_l2.0,1.0,0.5183999999999929,3.0,-2.0
6,5,2,0.8333333333333334,4.0,onsite_pair_density,10.0,0.48112921999659,3.0,7.0
6,5,2,0.8333333333333334,4.0,onsite_pair_variance,1.0,1.2419990016325442,3.0,-2.0
6,5,2,0.8333333333333334,4.0,charge_fluctuation,2.0,0.503830980663384,3.0,-1.0
6,5,2,0.8333333333333334,4.0,fock_entropy_normalized,1.0,0.7375595474200519,3.0,-2.0
6,5,2,0.8333333333333334,4.0,pr_normalized,1.0,0.18622554693077661,3.0,-2.0
6,5,2,0.8333333333333334,4.0,Nres_mean_l1.0,1.0,1.6768888888886118,3.0,-2.0
6,5,2,0.8333333333333334,4.0,Nres_mean_l2.0,1.0,3.1231428571425957,3.0,-2.0
6,5,2,0.8333333333333334,4.0,fres_l1.0,1.0,0.2886448087431374,3.0,-2.0
6,5,2,0.8333333333333334,4.0,fres_l2.0,1.0,0.537590163934455,3.0,-2.0
6,6,2,1.0,4.0,onsite_pair_density,10.0,0.6651902905987881,3.0,7.0
6,6,2,1.0,4.0,onsite_pair_variance,1.0,1.3485708234736598,3.0,-2.0
6,6,2,1.0,4.0,charge_fluctuation,2.0,0.534781060846268,3.0,-1.0
6,6,2,1.0,4.0,fock_entropy_normalized,1.0,0.7543541822343661,3.0,-2.0
6,6,2,1.0,4.0,pr_normalized,1.0,0.19483369664781397,3.0,-2.0
6,6,2,1.0,4.0,Nres_mean_l1.0,1.0,1.773304964541374,3.0,-2.0
6,6,2,1.0,4.0,Nres_mean_l2.0,1.0,3.3035460992913106,3.0,-2.0
6,6,2,1.0,4.0,fres_l1.0,1.0,0.29766190476192095,3.0,-2.0
6,6,2,1.0,4.0,fres_l2.0,1.0,0.5545238095237847,3.0,-2.0
6,7,2,1.1666666666666667,4.0,onsite_pair_density,4.0,0.815116560180516,3.0,1.0
6,7,2,1.1666666666666667,4.0,onsite_pair_variance,1.0,1.250082637357,3.0,-2.0
6,7,2,1.1666666666666667,4.0,charge_fluctuation,1.0,0.526887901603538,3.0,-2.0
6,7,2,1.1666666666666667,4.0,fock_entropy_normalized,1.0,0.76619504441039,3.0,-2.0
6,7,2,1.1666666666666667,4.0,pr_normalized,1.0,0.2133710003026378,3.0,-2.0
6,7,2,1.1666666666666667,4.0,Nres_mean_l1.0,1.0,1.8305079365082537,3.0,-2.0
6,7,2,1.1666666666666667,4.0,Nres_mean_l2.0,1.0,3.37415873015856,3.0,-2.0
6,7,2,1.1666666666666667,4.0,fres_l1.0,1.0,0.3150874316939528,3.0,-2.0
