L,N,nmax,filling,U,W,r_mean,r_mean_stderr,r_mean_n,onsite_pair_density,onsite_pair_density_stderr,onsite_pair_density_n,onsite_pair_variance,onsite_pair_variance_stderr,onsite_pair_variance_n,charge_fluctuation,charge_fluctuation_stderr,charge_fluctuation_n,fock_entropy_normalized,fock_entropy_normalized_stderr,fock_entropy_normalized_n,ipr,ipr_stderr,ipr_n,pr,pr_stderr,pr_n,pr_normalized,pr_normalized_stderr,pr_normalized_n,entanglement_entropy,entanglement_entropy_stderr,entanglement_entropy_n,diag_std,diag_std_stderr,diag_std_n,disorder_diag_std,disorder_diag_std_stderr,disorder_diag_std_n,interaction_diag_std,interaction_diag_std_stderr,interaction_diag_std_n,connectivity_mean,connectivity_mean_stderr,connectivity_mean_n,Nres_mean_l1.0,Nres_mean_l1.0_stderr,Nres_mean_l1.0_n,Nres_mean_l2.0,Nres_mean_l2.0_stderr,Nres_mean_l2.0_n,fres_l1.0,fres_l1.0_stderr,fres_l1.0_n,fres_l2.0,fres_l2.0_stderr,fres_l2.0_n
6,3,2,0.5,1.0,4.0,0.481945508871332,0.0029549664014481493,500,0.182046266078332,0.0004324137353951121,500,0.873953402802794,0.0028395350953586904,500,0.33091604302541394,0.0024069297562370816,500,0.6814946324866099,0.003606687541629619,500,0.126300094202127,0.0023147207722918686,500,10.26361134743522,0.14995582371763153,500,0.20527222694873098,0.0029991164743527338,500,nan,nan,0,3.87722013839016,0.040828591782050276,500,3.7380103127014834,0.042759125090814254,500,0.9897433186109997,9.940081669675863e-18,500,4.56,0.0,500,1.1653600000000002,0.021328092175149267,500,2.2124800000000002,0.032891521758763524,500,0.25556140350876144,0.004677213196305079,500,0.48519298245616094,0.00721305301727402,500
6,3,2,0.5,2.0,4.0,0.48999746330642,0.0030563416653605507,500,0.18834972451386198,0.00046278661731787745,500,0.8370187878598881,0.0022988039472849092,500,0.327503073502828,0.0021693959377417043,500,0.6573153182063359,0.002939004201468752,500,0.14101990698471598,0.0019679860778199134,500,9.090586240193879,0.10038670286607206,500,0.181811724803911,0.002007734057321718,500,nan,nan,0,4.27980178279328,0.033293256339704064,500,3.76999686800086,0.03847211170797584,500,1.9794866372199993,2.982024500902759e-17,500,4.56,0.0,500,0.9908800000000001,0.01767359508210631,500,1.88904,0.018772164102473118,500,0.21729824561401298,0.0038757883951987208,500,0.414263157894742,0.0041167026540510155,500
6,3,2,0.5,3.0,4.0,0.480325518162314,0.002958898839145386,500,0.199376133509442,0.0005140469592002235,500,0.7087360006758641,0.004252971946276956,500,0.311021884674918,0.0018839160457163515,500,0.605254106270056,0.002332236309030036,500,0.1766055450982936,0.0018560756067571007,500,7.2280089443198206,0.0625890840809583,500,0.1445601788864,0.0012517816816200451,500,nan,nan,0,4.7817588055728,0.03028335313668585,500,3.7020430070516204,0.04007487919051294,500,2.96922995583,0.0,500,4.56,0.0,500,0.8317599999999999,0.019669050508242424,500,1.572,0.018146056285524823,500,0.182403508771902,0.004313388269351801,500,0.34473684210525196,0.0039793983082271915,500
6,3,2,0.5,4.0,4.0,0.46026805401086396,0.002824930440572634,500,0.21035074896905598,0.0004259680468619422,500,0.5143235870346281,0.005122099422698403,500,0.276228561234812,0.0015174395039369445,500,0.5342857699660022,0.0019038354799215268,500,0.232199797072218,0.001982138310561414,500,5.437619213955,0.042436587684428685,500,0.10875238427909059,0.000848731753688682,500,nan,nan,0,5.479825511348979,0.025584635561439462,500,3.73368241901838,0.038542225128718334,500,3.9589732744399986,5.964049001805518e-17,500,4.56,0.0,500,0.68232,0.019624910430848793,500,1.35024,0.02132241016279118,500,0.14963157894733456,0.004303708427817748,500,0.29610526315790264,0.004675967140962481,500
6,3,2,0.5,5.0,4.0,0.453441977431454,0.00308636911080732,500,0.218707732805782,0.00027179828677576694,500,0.329192431948072,0.005122226547155479,500,0.240593503217684,0.0017069239251856767,500,0.47283895386165004,0.002277895308319362,500,0.28440611897178,0.0027117254889193494,500,4.42576169654688,0.04854255480503475,500,0.0885152339309402,0.0009708510961007229,500,nan,nan,0,6.220275175341479,0.022907128508612273,500,3.6944894784947784,0.04040422911874556,500,4.9487165930499994,3.976032667870345e-17,500,4.56,0.0,500,0.6863199999999999,0.02132245317074086,500,1.2305599999999999,0.024430625938922135,500,0.15050877192980203,0.004675976572529979,500,0.2698596491227821,0.005357593407659706,500
6,3,2,0.5,6.0,4.0,0.44222589135783197,0.0029513884063711,500,0.22292384352716801,0.00012231828081917437,500,0.1967732831468532,0.003668050973816209,500,0.213455437045044,0.0018340647308831479,500,0.430263052067814,0.002531200325165397,500,0.32036462689272605,0.00325314315529787,500,3.88627661475718,0.04532891395584381,500,0.0777255322951446,0.0009065782791169535,500,nan,nan,0,7.062736630511739,0.02036293808099865,500,3.7468957269335,0.0396534328943348,500,5.93845991166,0.0,500,4.56,0.0,500,0.6596000000000001,0.02014885686250541,500,1.2317600000000002,0.02331552771148296,500,0.14464912280698827,0.004418608961075385,500,0.2701228070174933,0.005113054322694985,500
6,3,2,0.5,7.0,4.0,0.44164996036144805,0.0028886111648034098,500,0.22448334870821401,5.635862684029549e-05,500,0.1154878906281834,0.002134402447359562,500,0.1969088986044914,0.00208900802907153,500,0.40420958188907596,0.002875355625160102,500,0.342986925671546,0.0037703858274728773,500,3.63059052662178,0.046281693177614124,500,0.0726118105324272,0.0009256338635514486,500,nan,nan,0,7.929381950905699,0.019407411808945445,500,3.7677346065169406,0.04168834718295564,500,6.928203230280001,3.976032667870345e-17,500,4.56,0.0,500,0.65888,0.020332562982439517,500,1.2635999999999998,0.023805888360682582,500,0.14449122807015635,0.004458895390885143,500,0.2771052631578687,0.00522058955278274,500
6,3,2,0.5,8.0,4.0,0.439078703718964,0.0028976975420289216,500,0.225188254672276,1.955132020920818e-05,500,0.0758718572194656,0.0007954677034295247,500,0.18466777501646164,0.0022084996394163554,500,0.38514882627556596,0.0031032850428940467,500,0.362364707677128,0.0041454297282021,500,3.45503346587098,0.04659800197516971,500,0.06910066931741801,0.0009319600395034945,500,nan,nan,0,8.80658993226136,0.01720044268997759,500,3.76164739672082,0.04150933221646336,500,7.91794654889,0.0,500,4.56,0.0,500,0.65528,0.02012195889219831,500,1.20144,0.02391747361005705,500,0.14370175438592933,0.0044127102833757745,500,0.26347368421050466,0.005245060002206653,500
6,3,2,0.5,9.0,4.0,0.43337148930527997,0.003018214881870698,500,0.22557069866741802,1.3268933546772986e-05,500,0.05567732414529399,0.0003102118922333448,500,0.18005342787006656,0.002268903506008833,500,0.377959437642428,0.0032103508866252713,500,0.367538992737542,0.004285954274516821,500,3.4176159954817,0.048525778961092836,500,0.06835231990963041,0.0009705155792214373,500,nan,nan,0,9.70545186556152,0.015873585387897262,500,3.7534238931522563,0.0421467900386147,500,8.907689867499998,7.95206533574069e-17,500,4.56,0.0,500,0.66776,0.02003638886019919,500,1.22376,0.024679308363944177,500,0.1464385964912239,0.0043939449254822354,500,0.2683684210525837,0.005412129027182116,500
6,3,2,0.5,10.0,4.0,0.42561070857402,0.002910602428021477,500,0.22583414442968802,8.761153078035121e-06,500,0.043428896550580395,0.00018359443665266073,500,0.180449865196498,0.0021804742778796914,500,0.37647184799549,0.00308210807161487,500,0.365924784808996,0.0041542118209550605,500,3.4211320150206403,0.04578979384175922,500,0.06842264030041859,0.0009157958768356229,500,nan,nan,0,10.59442164601112,0.013578993319990148,500,3.68525604638058,0.039876672438291114,500,9.897433186109996,1.590413067148138e-16,500,4.56,0.0,500,0.6600799999999999,0.019117356874519435,500,1.24672,0.023854991184421297,500,0.14475438596489615,0.004192402823359055,500,0.27340350877191033,0.005231357715883168,500
6,4,2,0.6666666666666666,1.0,4.0,0.49139744025195603,0.0024847011784202137,500,0.32043602136824,0.0003731515265467969,500,1.1669769301438182,0.003839424698487956,500,0.433415290264374,0.002785186596716212,500,0.7143758162059599,0.0033325779080763066,500,0.07944911076886621,0.001754256972419601,500,17.01696785283002,0.2512174071500351,500,0.1890774205869828,0.0027913045238882237,500,nan,nan,0,4.324570231034699,0.041589993633340566,500,4.155875141488341,0.04352754506256744,500,1.16116949957,0.0,500,5.333333333330001,3.976032667870345e-17,500,1.4637333333331422,0.022906727250823874,500,2.76479999999997,0.03475910097116775,500,0.274449999999998,0.004295011359529519,500,0.5183999999999929,0.006517331432095095,500
