L,N,nmax,filling,U,W,r_mean,r_mean_stderr,r_mean_n,onsite_pair_density,onsite_pair_density_stderr,onsite_pair_density_n,onsite_pair_variance,onsite_pair_variance_stderr,onsite_pair_variance_n,charge_fluctuation,charge_fluctuation_stderr,charge_fluctuation_n,fock_entropy_normalized,fock_entropy_normalized_stderr,fock_entropy_normalized_n,ipr,ipr_stderr,ipr_n,pr,pr_stderr,pr_n,pr_normalized,pr_normalized_stderr,pr_normalized_n,entanglement_entropy,entanglement_entropy_stderr,entanglement_entropy_n,diag_std,diag_std_stderr,diag_std_n,disorder_diag_std,disorder_diag_std_stderr,disorder_diag_std_n,interaction_diag_std,interaction_diag_std_stderr,interaction_diag_std_n,connectivity_mean,connectivity_mean_stderr,connectivity_mean_n,Nres_mean_l1.0,Nres_mean_l1.0_stderr,Nres_mean_l1.0_n,Nres_mean_l2.0,Nres_mean_l2.0_stderr,Nres_mean_l2.0_n,fres_l1.0,fres_l1.0_stderr,fres_l1.0_n,fres_l2.0,fres_l2.0_stderr,fres_l2.0_n,Wstar,relative_offset,target_W,sampled_W_minus_Wstar
6,3,2,0.5,1.0,3.0,0.5081111369857739,0.002996547029668734,500,0.190292387417264,0.00039195237644664127,500,0.905997324655934,0.001294856012738892,500,0.37491998146771,0.0017512266404143477,500,0.7492296235835039,0.002260633935481068,500,0.0882463075358632,0.001198607365134423,500,13.32265914268416,0.1271419624814035,500,0.2664531828537,0.002542839249629659,500,nan,nan,0,2.9079649731150803,0.029268869126786452,500,2.720804963004978,0.03169764108404235,500,0.9897433186109997,9.940081669675863e-18,500,4.56,0.0,500,1.4956800000000001,0.023238578663002458,500,2.75296,0.03152783032449172,500,0.3279999999999918,0.00509617953135963,500,0.6037192982456561,0.006913997878177862,500,5.408062733482735,-2.0,3.408062733482735,-2.408062733482735
6,3,2,0.5,2.0,4.0,0.48999746330642,0.0030563416653605507,500,0.18834972451386198,0.00046278661731787745,500,0.8370187878598881,0.0022988039472849092,500,0.327503073502828,0.0021693959377417043,500,0.6573153182063359,0.002939004201468752,500,0.14101990698471598,0.0019679860778199134,500,9.090586240193879,0.10038670286607206,500,0.181811724803911,0.002007734057321718,500,nan,nan,0,4.27980178279328,0.033293256339704064,500,3.76999686800086,0.03847211170797584,500,1.9794866372199993,2.982024500902759e-17,500,4.56,0.0,500,0.9908800000000001,0.01767359508210631,500,1.88904,0.018772164102473118,500,0.21729824561401298,0.0038757883951987208,500,0.414263157894742,0.0041167026540510155,500,5.894664944639394,-2.0,3.894664944639394,-1.894664944639394
6,3,2,0.5,3.0,4.0,0.480325518162314,0.002958898839145386,500,0.199376133509442,0.0005140469592002235,500,0.7087360006758641,0.004252971946276956,500,0.311021884674918,0.0018839160457163515,500,0.605254106270056,0.002332236309030036,500,0.1766055450982936,0.0018560756067571007,500,7.2280089443198206,0.0625890840809583,500,0.1445601788864,0.0012517816816200451,500,nan,nan,0,4.7817588055728,0.03028335313668585,500,3.7020430070516204,0.04007487919051294,500,2.96922995583,0.0,500,4.56,0.0,500,0.8317599999999999,0.019669050508242424,500,1.572,0.018146056285524823,500,0.182403508771902,0.004313388269351801,500,0.34473684210525196,0.0039793983082271915,500,5.748100707784912,-2.0,3.7481007077849116,-1.7481007077849116
6,3,2,0.5,4.0,3.0,0.47294503111221003,0.0029519405551836843,500,0.21841902306132602,0.0002062202671487847,500,0.419253533065954,0.004976109906084846,500,0.29626690652445997,0.0012145852238973694,500,0.562273010217286,0.0015304777158774284,500,0.202546308937972,0.0015394375439820368,500,5.9960728098941996,0.04268159144064106,500,0.1199214561978826,0.0008536318288121216,500,nan,nan,0,4.897130106018739,0.016339492277688713,500,2.8306922988904044,0.029314736062698594,500,3.9589732744399986,5.964049001805518e-17,500,4.56,0.0,500,0.8734400000000001,0.02076787283001722,500,1.55472,0.022551518467064272,500,0.19154385964904924,0.004554358076757997,500,0.34094736842103085,0.0049455084357572805,500,5.134709464252407,-2.0,3.134709464252407,-2.134709464252407
6,3,3,0.5,1.0,3.0,0.51153716822688,0.002929369518632453,500,0.249709332566966,0.0005373534280276615,500,2.22542994821936,0.012827403657945807,500,0.4259452330218739,0.0017816509678398942,500,0.7444985921173901,0.0020713818526316412,500,0.08341695709956261,0.001029776018420635,500,14.004492400801361,0.12447157615169473,500,0.250080221442872,0.0022227067169921302,500,nan,nan,0,3.52896736680708,0.026283501200520972,500,3.0317912078690203,0.0313263904392241,500,1.7654696590100007,2.982024500902759e-17,500,4.5,0.0,500,1.3902857142859903,0.01757178351700447,500,2.60685714285714,0.02536893614134968,500,0.30895238095221617,0.0039048407815521773,500,0.5793015873016141,0.005637541364747198,500,5.323385720809869,-2.0,3.3233857208098687,-2.3233857208098687
6,3,3,0.5,2.0,4.0,0.490811223143672,0.0028703684231800503,500,0.23954476795589,0.0004795916991492656,500,1.548267966249498,0.013681875605869292,500,0.3493362235393,0.002206546442050828,500,0.628079524081248,0.0030033200337604106,500,0.15329921030114496,0.0020645968143977204,500,8.67210609442108,0.10324381511647035,500,0.15485903740038798,0.0018436395556523663,500,nan,nan,0,5.456153159148201,0.03111676233121685,500,4.10857298210884,0.04258343396620145,500,3.5309393180200015,5.964049001805518e-17,500,4.5,0.0,500,0.8967857142857619,0.016157592607287257,500,1.7119285714286039,0.016727178026338902,500,0.1992857142857028,0.0035905761349481376,500,0.38042857142837405,0.0037171506725174096,500,5.706202416227108,-2.0,3.706202416227108,-1.706202416227108
6,3,3,0.5,3.0,3.0,0.49947029158289796,0.0027875174746299315,500,0.239907748741698,0.00034545308952026795,500,0.735314954540372,0.004416557025668667,500,0.344246420328108,0.0015356690202039673,500,0.607734250571442,0.0018234004314540864,500,0.1653669561964418,0.0015378444585183125,500,7.65599269167704,0.055087734248963315,500,0.1367141552085184,0.000983709540159868,500,nan,nan,0,6.162692301364899,0.015129475614945806,500,3.09204777285,0.03102428213540533,500,5.296408977029999,3.976032667870345e-17,500,4.5,0.0,500,0.8069285714288558,0.019039255816201316,500,1.5493571428566637,0.017096756351632467,500,0.17931746031746354,0.004230945736927649,500,0.34430158730145416,0.003799279189249859,500,5.393714216652421,-2.0,3.3937142166524206,-2.3937142166524206
6,3,3,0.5,4.0,3.0,0.477058987079776,0.0027655784517136937,500,0.250198668422894,0.00027632334043464275,500,0.44392176432998204,0.004488706474015097,500,0.305421914633602,0.0016821827687141127,500,0.536547479605366,0.0019273231198205024,500,0.21390183535928997,0.001960288227162752,500,5.77750070672676,0.04993710316148146,500,0.10316965547727,0.0008917339850262547,500,nan,nan,0,7.71630959027044,0.0127220652826915,500,3.032632163451146,0.03335632623819677,500,7.061878636040003,1.1928098003611036e-16,500,4.5,0.0,500,0.7885000000003135,0.019043736214385775,500,1.4000714285712792,0.020298299695117244,500,0.17522222222222666,0.004231941380967467,500,0.311126984126882,0.004510733265576319,500,4.593321350614106,-2.0,2.593321350614106,-1.5933213506141062
6,4,2,0.6666666666666666,1.0,4.0,0.49139744025195603,0.0024847011784202137,500,0.32043602136824,0.0003731515265467969,500,1.1669769301438182,0.003839424698487956,500,0.433415290264374,0.002785186596716212,500,0.7143758162059599,0.0033325779080763066,500,0.07944911076886621,0.001754256972419601,500,17.01696785283002,0.2512174071500351,500,0.1890774205869828,0.0027913045238882237,500,nan,nan,0,4.324570231034699,0.041589993633340566,500,4.155875141488341,0.04352754506256744,500,1.16116949957,0.0,500,5.333333333330001,3.976032667870345e-17,500,1.4637333333331422,0.022906727250823874,500,2.76479999999997,0.03475910097116775,500,0.274449999999998,0.004295011359529519,500,0.5183999999999929,0.006517331432095095,500,5.8551636764075745,-2.0,3.8551636764075745,-1.8551636764075745
6,4,2,0.6666666666666666,2.0,4.0,0.49537871369362996,0.0025621564474394266,500,0.32794308016689605,0.00031896575032847345,500,0.9860453312381859,0.003913515698969994,500,0.423526476844468,0.0028814831937062297,500,0.6831390618145599,0.0033445040640814206,500,0.0950764622674328,0.0018438959482910472,500,14.470172560565361,0.20814465959334721,500,0.1607796951173952,0.002312718439926277,500,nan,nan,0,4.78697546948492,0.03976701544667922,500,4.15010259661665,0.0466868323964789,500,2.32233899915,0.0,500,5.333333333330001,3.976032667870345e-17,500,1.191999999999904,0.018279666801185677,500,2.243200000000046,0.018631177469311932,500,0.22349999999998582,0.0034274375252238286,500,0.420599999999978,0.003493345775498548,500,6.1564429608104305,-2.0,4.1564429608104305,-2.1564429608104305
