L,N,nmax,filling,observable,U_at_maximum,sampled_W_near_Wstar,maximum_value
6,3,3,0.5,onsite_pair_variance,1.0,5.0,1.9781125074480101
6,3,3,0.5,charge_fluctuation,8.0,1.0,0.374691866179018
6,3,3,0.5,fock_entropy_normalized,1.0,5.0,0.617220684272046
6,3,3,0.5,pr_normalized,1.0,5.0,0.1536618246216054
6,3,3,0.5,Nres_mean_l1.0,8.0,1.0,1.8449999999998221
6,3,3,0.5,Nres_mean_l2.0,8.0,1.0,2.3571428571399995
6,3,3,0.5,fres_l1.0,8.0,1.0,0.40999999999982195
6,3,3,0.5,fres_l2.0,8.0,1.0,0.5238095238099999
6,4,3,0.6666666666666666,onsite_pair_variance,1.0,6.0,2.9031817538561
6,4,3,0.6666666666666666,charge_fluctuation,1.0,6.0,0.418743945442786
6,4,3,0.6666666666666666,fock_entropy_normalized,1.0,6.0,0.58679451563797
6,4,3,0.6666666666666666,pr_normalized,1.0,6.0,0.09978784808689659
6,4,3,0.6666666666666666,Nres_mean_l1.0,1.0,6.0,1.0480333333335443
6,4,3,0.6666666666666666,Nres_mean_l2.0,1.0,6.0,2.0261666666665183
6,4,3,0.6666666666666666,fres_l1.0,1.0,6.0,0.19408024691358103
6,4,3,0.6666666666666666,fres_l2.0,1.0,6.0,0.3752160493827086
6,5,3,0.8333333333333334,onsite_pair_variance,1.0,6.0,3.72064014816256
6,5,3,0.8333333333333334,charge_fluctuation,9.0,1.0,0.568385277904358
6,5,3,0.8333333333333334,fock_entropy_normalized,1.0,6.0,0.615727109189126
6,5,3,0.8333333333333334,pr_normalized,1.0,6.0,0.08817246893400621
6,5,3,0.8333333333333334,Nres_mean_l1.0,10.0,1.0,1.8993333333338698
6,5,3,0.8333333333333334,Nres_mean_l2.0,1.0,6.0,2.414333333333374
6,5,3,0.8333333333333334,fres_l1.0,10.0,1.0,0.31079999999984204
6,5,3,0.8333333333333334,fres_l2.0,1.0,6.0,0.3950727272727272
6,6,3,1.0,onsite_pair_variance,1.0,7.0,4.3637201993477
6,6,3,1.0,charge_fluctuation,6.0,1.0,0.65779601945871
6,6,3,1.0,fock_entropy_normalized,1.0,7.0,0.6105903555875261
6,6,3,1.0,pr_normalized,1.0,7.0,0.07530521564264907
6,6,3,1.0,Nres_mean_l1.0,6.0,1.0,1.9323809523792201
6,6,3,1.0,Nres_mean_l2.0,1.0,7.0,2.553440476190404
6,6,3,1.0,fres_l1.0,6.0,1.0,0.290896057347776
6,6,3,1.0,fres_l2.0,1.0,7.0,0.38438888888886935
6,7,3,1.1666666666666667,onsite_pair_variance,1.0,7.0,4.796833443923941
6,7,3,1.1666666666666667,charge_fluctuation,9.0,1.0,0.7317280970946041
6,7,3,1.1666666666666667,fock_entropy_normalized,1.0,7.0,0.6266984418425541
6,7,3,1.1666666666666667,pr_normalized,1.0,7.0,0.07168570078152649
6,7,3,1.1666666666666667,Nres_mean_l1.0,10.0,1.0,1.94080701754124
6,7,3,1.1666666666666667,Nres_mean_l2.0,1.0,7.0,2.770657894736572
6,7,3,1.1666666666666667,fres_l1.0,10.0,1.0,0.27621972534339
6,7,3,1.1666666666666667,fres_l2.0,1.0,7.0,0.3943258426966148
6,8,3,1.3333333333333333,onsite_pair_variance,1.0,8.0,4.894225772970359
6,8,3,1.3333333333333333,charge_fluctuation,8.0,1.0,0.714653958868282
6,8,3,1.3333333333333333,fock_entropy_normalized,1.0,8.0,0.606475563352064
6,8,3,1.3333333333333333,pr_normalized,1.0,8.0,0.06093739280548206
6,8,3,1.3333333333333333,Nres_mean_l1.0,8.0,1.0,1.9806593406573603
6,8,3,1.3333333333333333,Nres_mean_l2.0,1.0,8.0,2.6674945054945
6,8,3,1.3333333333333333,fres_l1.0,8.0,1.0,0.273090909090636
6,8,3,1.3333333333333333,fres_l2.0,1.0,8.0,0.3677909090908864
6,9,3,1.5,onsite_pair_variance,1.0,9.0,4.928163421050099
6,9,3,1.5,charge_fluctuation,6.0,1.0,0.7411647837644639
6,9,3,1.5,fock_entropy_normalized,1.0,9.0,0.59439953925651
6,9,3,1.5,pr_normalized,1.0,9.0,0.05456725417222592
6,9,3,1.5,Nres_mean_l1.0,7.0,1.0,2.03575172413868
6,9,3,1.5,Nres_mean_l2.0,1.0,9.0,2.6379586206896324
6,9,3,1.5,fres_l1.0,7.0,1.0,0.277951035781412
6,9,3,1.5,fres_l2.0,1.0,9.0,0.36017325800374816
