L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value,U_at_max_Wstar,delta_U_maximum_minus_Wstar
6,3,4,0.5,1.0,onsite_pair_density,10.0,0.26101150542384594,2.0,8.0
6,3,4,0.5,1.0,onsite_pair_variance,1.0,1.6750423496644202,2.0,-1.0
6,3,4,0.5,1.0,charge_fluctuation,1.0,0.47698906260365403,2.0,-1.0
6,3,4,0.5,1.0,fock_entropy_normalized,1.0,0.812305246733832,2.0,-1.0
6,3,4,0.5,1.0,pr_normalized,1.0,0.340965003023608,2.0,-1.0
6,3,4,0.5,1.0,Nres_mean_l1.0,1.0,2.24685714285706,2.0,-1.0
6,3,4,0.5,1.0,Nres_mean_l2.0,1.0,3.8946428571424803,2.0,-1.0
6,3,4,0.5,1.0,fres_l1.0,1.0,0.49930158730160196,2.0,-1.0
6,3,4,0.5,1.0,fres_l2.0,1.0,0.865476190476116,2.0,-1.0
6,4,4,0.6666666666666666,1.0,onsite_pair_density,1.0,0.501850012390584,2.0,-1.0
6,4,4,0.6666666666666666,1.0,onsite_pair_variance,1.0,3.7091447674310403,2.0,-1.0
6,4,4,0.6666666666666666,1.0,charge_fluctuation,1.0,0.6973802965012099,2.0,-1.0
6,4,4,0.6666666666666666,1.0,fock_entropy_normalized,1.0,0.828151178631648,2.0,-1.0
6,4,4,0.6666666666666666,1.0,pr_normalized,1.0,0.29718746624091197,2.0,-1.0
6,4,4,0.6666666666666666,1.0,Nres_mean_l1.0,1.0,2.44352380952374,2.0,-1.0
6,4,4,0.6666666666666666,1.0,Nres_mean_l2.0,1.0,4.26641269841322,2.0,-1.0
6,4,4,0.6666666666666666,1.0,fres_l1.0,1.0,0.458160714285692,2.0,-1.0
6,4,4,0.6666666666666666,1.0,fres_l2.0,1.0,0.799952380952364,2.0,-1.0
6,5,4,0.8333333333333334,1.0,onsite_pair_density,1.0,0.823009164982484,1.0,0.0
6,5,4,0.8333333333333334,1.0,onsite_pair_variance,1.0,5.85820878618306,1.0,0.0
6,5,4,0.8333333333333334,1.0,charge_fluctuation,1.0,0.934703345988264,1.0,0.0
6,5,4,0.8333333333333334,1.0,fock_entropy_normalized,1.0,0.8439723800986879,1.0,0.0
6,5,4,0.8333333333333334,1.0,pr_normalized,1.0,0.27853921543733806,1.0,0.0
6,5,4,0.8333333333333334,1.0,Nres_mean_l1.0,1.0,2.5745853658530597,1.0,0.0
6,5,4,0.8333333333333334,1.0,Nres_mean_l2.0,1.0,4.60448780487798,1.0,0.0
6,5,4,0.8333333333333334,1.0,fres_l1.0,1.0,0.425637096774274,1.0,0.0
6,5,4,0.8333333333333334,1.0,fres_l2.0,1.0,0.7612258064515479,1.0,0.0
6,6,4,1.0,1.0,onsite_pair_density,1.0,1.20079586288864,2.0,-1.0
6,6,4,1.0,1.0,onsite_pair_variance,1.0,8.0997911799608,2.0,-1.0
6,6,4,1.0,1.0,charge_fluctuation,1.0,1.17244489339322,2.0,-1.0
6,6,4,1.0,1.0,fock_entropy_normalized,1.0,0.856501264705162,2.0,-1.0
6,6,4,1.0,1.0,pr_normalized,1.0,0.270327371014728,2.0,-1.0
6,6,4,1.0,1.0,Nres_mean_l1.0,1.0,2.74892018779318,2.0,-1.0
6,6,4,1.0,1.0,Nres_mean_l2.0,1.0,4.92710798122096,2.0,-1.0
6,6,4,1.0,1.0,fres_l1.0,1.0,0.413502824858762,2.0,-1.0
6,6,4,1.0,1.0,fres_l2.0,1.0,0.741153954802222,2.0,-1.0
6,7,4,1.1666666666666667,1.0,onsite_pair_density,1.0,1.60967761887796,2.0,-1.0
6,7,4,1.1666666666666667,1.0,onsite_pair_variance,1.0,9.61043774502572,2.0,-1.0
6,7,4,1.1666666666666667,1.0,charge_fluctuation,1.0,1.38902524795446,2.0,-1.0
6,7,4,1.1666666666666667,1.0,fock_entropy_normalized,1.0,0.867030609353998,2.0,-1.0
6,7,4,1.1666666666666667,1.0,pr_normalized,1.0,0.26927839946719795,2.0,-1.0
6,7,4,1.1666666666666667,1.0,Nres_mean_l1.0,1.0,2.89297297297258,2.0,-1.0
6,7,4,1.1666666666666667,1.0,Nres_mean_l2.0,1.0,5.16856456456538,2.0,-1.0
6,7,4,1.1666666666666667,1.0,fres_l1.0,1.0,0.40545454545451004,2.0,-1.0
6,7,4,1.1666666666666667,1.0,fres_l2.0,1.0,0.724382154882154,2.0,-1.0
6,8,4,1.3333333333333333,1.0,onsite_pair_density,1.0,2.0303809746795802,2.0,-1.0
6,8,4,1.3333333333333333,1.0,onsite_pair_variance,1.0,10.4860404788574,2.0,-1.0
6,8,4,1.3333333333333333,1.0,charge_fluctuation,1.0,1.56325256399102,2.0,-1.0
6,8,4,1.3333333333333333,1.0,fock_entropy_normalized,1.0,0.876083745309914,2.0,-1.0
6,8,4,1.3333333333333333,1.0,pr_normalized,1.0,0.274931831504324,2.0,-1.0
6,8,4,1.3333333333333333,1.0,Nres_mean_l1.0,1.0,3.05623554153522,2.0,-1.0
6,8,4,1.3333333333333333,1.0,Nres_mean_l2.0,1.0,5.38395793901172,2.0,-1.0
6,8,4,1.3333333333333333,1.0,fres_l1.0,1.0,0.406387024608468,2.0,-1.0
6,8,4,1.3333333333333333,1.0,fres_l2.0,1.0,0.7159038031319519,2.0,-1.0
6,9,4,1.5,1.0,onsite_pair_density,1.0,2.46239070110914,2.0,-1.0
6,9,4,1.5,1.0,onsite_pair_variance,1.0,11.316664350244,2.0,-1.0
6,9,4,1.5,1.0,charge_fluctuation,1.0,1.69267457848432,2.0,-1.0
6,9,4,1.5,1.0,fock_entropy_normalized,1.0,0.883038230283014,2.0,-1.0
6,9,4,1.5,1.0,pr_normalized,1.0,0.28196789569666797,2.0,-1.0
6,9,4,1.5,1.0,Nres_mean_l1.0,1.0,3.21660353130052,2.0,-1.0
6,9,4,1.5,1.0,Nres_mean_l2.0,1.0,5.58424719101012,2.0,-1.0
6,9,4,1.5,1.0,fres_l1.0,1.0,0.41131855500809805,2.0,-1.0
6,9,4,1.5,1.0,fres_l2.0,1.0,0.71407758620693,2.0,-1.0
6,3,4,0.5,2.0,onsite_pair_density,10.0,0.26098766639378396,2.0,8.0
6,3,4,0.5,2.0,onsite_pair_variance,1.0,2.0420249267756403,2.0,-1.0
6,3,4,0.5,2.0,charge_fluctuation,1.0,0.46492711160049394,2.0,-1.0
6,3,4,0.5,2.0,fock_entropy_normalized,1.0,0.7930987584033441,2.0,-1.0
6,3,4,0.5,2.0,pr_normalized,1.0,0.307975427941582,2.0,-1.0
6,3,4,0.5,2.0,Nres_mean_l1.0,1.0,1.7605714285715859,2.0,-1.0
6,3,4,0.5,2.0,Nres_mean_l2.0,1.0,3.20000000000018,2.0,-1.0
6,3,4,0.5,2.0,fres_l1.0,1.0,0.39123809523789393,2.0,-1.0
6,3,4,0.5,2.0,fres_l2.0,1.0,0.711111111111126,2.0,-1.0
6,4,4,0.6666666666666666,2.0,onsite_pair_density,1.0,0.50298996366728,2.0,-1.0
6,4,4,0.6666666666666666,2.0,onsite_pair_variance,1.0,4.27737446081922,2.0,-1.0
6,4,4,0.6666666666666666,2.0,charge_fluctuation,1.0,0.68082995982008,2.0,-1.0
6,4,4,0.6666666666666666,2.0,fock_entropy_normalized,1.0,0.81203694529139,2.0,-1.0
6,4,4,0.6666666666666666,2.0,pr_normalized,1.0,0.269734217814602,2.0,-1.0
6,4,4,0.6666666666666666,2.0,Nres_mean_l1.0,1.0,1.983269841269514,2.0,-1.0
6,4,4,0.6666666666666666,2.0,Nres_mean_l2.0,1.0,3.6186349206344204,2.0,-1.0
6,4,4,0.6666666666666666,2.0,fres_l1.0,1.0,0.371863095238038,2.0,-1.0
6,4,4,0.6666666666666666,2.0,fres_l2.0,1.0,0.6784940476190521,2.0,-1.0
6,5,4,0.8333333333333334,2.0,onsite_pair_density,1.0,0.833019833780606,1.0,0.0
6,5,4,0.8333333333333334,2.0,onsite_pair_variance,1.0,6.918655358158021,1.0,0.0
6,5,4,0.8333333333333334,2.0,charge_fluctuation,1.0,0.92150284689866,1.0,0.0
6,5,4,0.8333333333333334,2.0,fock_entropy_normalized,1.0,0.827395716541924,1.0,0.0
6,5,4,0.8333333333333334,2.0,pr_normalized,1.0,0.248704067885882,1.0,0.0
6,5,4,0.8333333333333334,2.0,Nres_mean_l1.0,1.0,2.1903739837397596,1.0,0.0
6,5,4,0.8333333333333334,2.0,Nres_mean_l2.0,1.0,4.0178536585366,1.0,0.0
6,5,4,0.8333333333333334,2.0,fres_l1.0,1.0,0.36211827956988396,1.0,0.0
6,5,4,0.8333333333333334,2.0,fres_l2.0,1.0,0.664241935483902,1.0,0.0
6,6,4,1.0,2.0,onsite_pair_density,1.0,1.2034783698495801,2.0,-1.0
6,6,4,1.0,2.0,onsite_pair_variance,1.0,8.999521059827702,2.0,-1.0
6,6,4,1.0,2.0,charge_fluctuation,1.0,1.1524946376921799,2.0,-1.0
6,6,4,1.0,2.0,fock_entropy_normalized,1.0,0.842489635905172,2.0,-1.0
6,6,4,1.0,2.0,pr_normalized,1.0,0.2424889507358,2.0,-1.0
6,6,4,1.0,2.0,Nres_mean_l1.0,1.0,2.40946478873244,2.0,-1.0
6,6,4,1.0,2.0,Nres_mean_l2.0,1.0,4.40214084507038,2.0,-1.0
6,6,4,1.0,2.0,fres_l1.0,1.0,0.362440677966108,2.0,-1.0
6,6,4,1.0,2.0,fres_l2.0,1.0,0.66218644067799,2.0,-1.0
6,7,4,1.1666666666666667,2.0,onsite_pair_density,1.0,1.60289007131266,2.0,-1.0
6,7,4,1.1666666666666667,2.0,onsite_pair_variance,1.0,10.43516422929952,2.0,-1.0
6,7,4,1.1666666666666667,2.0,charge_fluctuation,1.0,1.3604260373038202,2.0,-1.0
6,7,4,1.1666666666666667,2.0,fock_entropy_normalized,1.0,0.855510528773938,2.0,-1.0
6,7,4,1.1666666666666667,2.0,pr_normalized,1.0,0.244105740660928,2.0,-1.0
6,7,4,1.1666666666666667,2.0,Nres_mean_l1.0,1.0,2.6042942942939797,2.0,-1.0
6,7,4,1.1666666666666667,2.0,Nres_mean_l2.0,1.0,4.729003003003379,2.0,-1.0
6,7,4,1.1666666666666667,2.0,fres_l1.0,1.0,0.36499579124577797,2.0,-1.0
6,7,4,1.1666666666666667,2.0,fres_l2.0,1.0,0.662776936026942,2.0,-1.0
6,8,4,1.3333333333333333,2.0,onsite_pair_density,10.0,2.02628202670308,2.0,8.0
6,8,4,1.3333333333333333,2.0,onsite_pair_variance,1.0,11.423325823828,2.0,-1.0
6,8,4,1.3333333333333333,2.0,charge_fluctuation,1.0,1.53341452874908,2.0,-1.0
6,8,4,1.3333333333333333,2.0,fock_entropy_normalized,1.0,0.8660144097375719,2.0,-1.0
6,8,4,1.3333333333333333,2.0,pr_normalized,1.0,0.24947903880147398,2.0,-1.0
6,8,4,1.3333333333333333,2.0,Nres_mean_l1.0,1.0,2.8189947423761197,2.0,-1.0
6,8,4,1.3333333333333333,2.0,Nres_mean_l2.0,1.0,5.01592429022082,2.0,-1.0
6,8,4,1.3333333333333333,2.0,fres_l1.0,1.0,0.37484116331094997,2.0,-1.0
6,8,4,1.3333333333333333,2.0,fres_l2.0,1.0,0.6669664429530201,2.0,-1.0
6,9,4,1.5,2.0,onsite_pair_density,10.0,2.46101864767216,2.0,8.0
6,9,4,1.5,2.0,onsite_pair_variance,1.0,12.3543528279638,2.0,-1.0
6,9,4,1.5,2.0,charge_fluctuation,1.0,1.6665838029149203,2.0,-1.0
6,9,4,1.5,2.0,fock_entropy_normalized,1.0,0.873543634723304,2.0,-1.0
