L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value,U_at_max_Wstar,delta_U_maximum_minus_Wstar
8,4,2,0.5,1.0,onsite_pair_density,10.0,0.24157006699224398,2.0,8.0
8,4,2,0.5,1.0,onsite_pair_variance,1.0,1.1406885216564202,2.0,-1.0
8,4,2,0.5,1.0,charge_fluctuation,1.0,0.45753307083580796,2.0,-1.0
8,4,2,0.5,1.0,fock_entropy_normalized,1.0,0.8602372998792521,2.0,-1.0
8,4,2,0.5,1.0,pr_normalized,1.0,0.31084306835496,2.0,-1.0
8,4,2,0.5,1.0,Nres_mean_l1.0,1.0,3.2763609022556,2.0,-1.0
8,4,2,0.5,1.0,Nres_mean_l2.0,1.0,5.463684210526241,2.0,-1.0
8,4,2,0.5,1.0,fres_l1.0,1.0,0.5558112244897979,2.0,-1.0
8,4,2,0.5,1.0,fres_l2.0,1.0,0.9268750000000339,2.0,-1.0
8,5,2,0.625,1.0,onsite_pair_density,1.0,0.314651371335814,3.0,-2.0
8,5,2,0.625,1.0,onsite_pair_variance,1.0,1.3967724809493602,3.0,-2.0
8,5,2,0.625,1.0,charge_fluctuation,1.0,0.542756218290106,3.0,-2.0
8,5,2,0.625,1.0,fock_entropy_normalized,1.0,0.8746378127186519,3.0,-2.0
8,5,2,0.625,1.0,pr_normalized,1.0,0.307237107240724,3.0,-2.0
8,5,2,0.625,1.0,Nres_mean_l1.0,1.0,3.5959523809511804,3.0,-2.0
8,5,2,0.625,1.0,Nres_mean_l2.0,1.0,6.15119047618968,3.0,-2.0
8,5,2,0.625,1.0,fres_l1.0,1.0,0.5368364928910739,3.0,-2.0
8,5,2,0.625,1.0,fres_l2.0,1.0,0.9183056872037481,3.0,-2.0
8,6,2,0.75,1.0,onsite_pair_density,10.0,0.428032697766122,3.0,7.0
8,6,2,0.75,1.0,onsite_pair_variance,1.0,1.53187985229768,3.0,-2.0
8,6,2,0.75,1.0,charge_fluctuation,1.0,0.6024151235810421,3.0,-2.0
8,6,2,0.75,1.0,fock_entropy_normalized,1.0,0.8833586179925039,3.0,-2.0
8,6,2,0.75,1.0,pr_normalized,1.0,0.30730384316367,3.0,-2.0
8,6,2,0.75,1.0,Nres_mean_l1.0,1.0,3.86459183673466,3.0,-2.0
8,6,2,0.75,1.0,Nres_mean_l2.0,1.0,6.638979591835361,3.0,-2.0
8,6,2,0.75,1.0,fres_l1.0,1.0,0.531924157303416,3.0,-2.0
8,6,2,0.75,1.0,fres_l2.0,1.0,0.913792134831258,3.0,-2.0
8,7,2,0.875,1.0,onsite_pair_density,1.0,0.5358206445926941,2.0,-1.0
8,7,2,0.875,1.0,onsite_pair_variance,1.0,1.6501260415546801,2.0,-1.0
8,7,2,0.875,1.0,charge_fluctuation,1.0,0.640825782131378,2.0,-1.0
8,7,2,0.875,1.0,fock_entropy_normalized,1.0,0.888067183174512,2.0,-1.0
8,7,2,0.875,1.0,pr_normalized,1.0,0.30791916343007,2.0,-1.0
8,7,2,0.875,1.0,Nres_mean_l1.0,1.0,4.0743897637797195,2.0,-1.0
8,7,2,0.875,1.0,Nres_mean_l2.0,1.0,6.92917322834724,2.0,-1.0
8,7,2,0.875,1.0,fres_l1.0,1.0,0.5356599378881581,2.0,-1.0
8,7,2,0.875,1.0,fres_l2.0,1.0,0.9109782608694941,2.0,-1.0
8,8,2,1.0,1.0,onsite_pair_density,10.0,0.6588489106114521,3.0,7.0
8,8,2,1.0,1.0,onsite_pair_variance,1.0,1.66970027276782,3.0,-2.0
8,8,2,1.0,1.0,charge_fluctuation,1.0,0.65295813993204,3.0,-2.0
8,8,2,1.0,1.0,fock_entropy_normalized,1.0,0.8898422578760681,3.0,-2.0
8,8,2,1.0,1.0,pr_normalized,1.0,0.30924152072161004,3.0,-2.0
8,8,2,1.0,1.0,Nres_mean_l1.0,1.0,4.21370189701964,3.0,-2.0
8,8,2,1.0,1.0,Nres_mean_l2.0,1.0,7.01557723577352,3.0,-2.0
8,8,2,1.0,1.0,fres_l1.0,1.0,0.5459466292135201,3.0,-2.0
8,8,2,1.0,1.0,fres_l2.0,1.0,0.908970505617812,3.0,-2.0
8,4,2,0.5,2.0,onsite_pair_density,10.0,0.241525063413172,2.0,8.0
8,4,2,0.5,2.0,onsite_pair_variance,1.0,1.22457873467842,2.0,-1.0
8,4,2,0.5,2.0,charge_fluctuation,1.0,0.44077932157043803,2.0,-1.0
8,4,2,0.5,2.0,fock_entropy_normalized,1.0,0.839158719129884,2.0,-1.0
8,4,2,0.5,2.0,pr_normalized,1.0,0.26443276219692596,2.0,-1.0
8,4,2,0.5,2.0,Nres_mean_l1.0,1.0,2.4711879699250003,2.0,-1.0
8,4,2,0.5,2.0,Nres_mean_l2.0,1.0,4.35446616541292,2.0,-1.0
8,4,2,0.5,2.0,fres_l1.0,1.0,0.41921938775509604,2.0,-1.0
8,4,2,0.5,2.0,fres_l2.0,1.0,0.73870408163263,2.0,-1.0
8,5,2,0.625,2.0,onsite_pair_density,1.0,0.308709821094374,3.0,-2.0
8,5,2,0.625,2.0,onsite_pair_variance,1.0,1.4391241948176599,3.0,-2.0
8,5,2,0.625,2.0,charge_fluctuation,1.0,0.528108005087862,3.0,-2.0
8,5,2,0.625,2.0,fock_entropy_normalized,1.0,0.8599114303755401,3.0,-2.0
8,5,2,0.625,2.0,pr_normalized,1.0,0.26847422142422794,3.0,-2.0
8,5,2,0.625,2.0,Nres_mean_l1.0,1.0,2.8938730158727597,3.0,-2.0
8,5,2,0.625,2.0,Nres_mean_l2.0,1.0,5.00928571428588,3.0,-2.0
8,5,2,0.625,2.0,fres_l1.0,1.0,0.432023696682474,3.0,-2.0
8,5,2,0.625,2.0,fres_l2.0,1.0,0.747831753554574,3.0,-2.0
8,6,2,0.75,2.0,onsite_pair_density,10.0,0.42798230339911597,3.0,7.0
8,6,2,0.75,2.0,onsite_pair_variance,1.0,1.60301657169812,3.0,-2.0
8,6,2,0.75,2.0,charge_fluctuation,1.0,0.590015607757884,3.0,-2.0
8,6,2,0.75,2.0,fock_entropy_normalized,1.0,0.871488490002354,3.0,-2.0
8,6,2,0.75,2.0,pr_normalized,1.0,0.27210169000040196,3.0,-2.0
8,6,2,0.75,2.0,Nres_mean_l1.0,1.0,3.19570408163264,3.0,-2.0
8,6,2,0.75,2.0,Nres_mean_l2.0,1.0,5.458877551020479,3.0,-2.0
8,6,2,0.75,2.0,fres_l1.0,1.0,0.439858146067444,3.0,-2.0
8,6,2,0.75,2.0,fres_l2.0,1.0,0.7513623595506002,3.0,-2.0
8,7,2,0.875,2.0,onsite_pair_density,1.0,0.529870666555876,2.0,-1.0
8,7,2,0.875,2.0,onsite_pair_variance,1.0,1.6962778929232198,2.0,-1.0
8,7,2,0.875,2.0,charge_fluctuation,1.0,0.62856005656889,2.0,-1.0
8,7,2,0.875,2.0,fock_entropy_normalized,1.0,0.878176497341478,2.0,-1.0
8,7,2,0.875,2.0,pr_normalized,1.0,0.27690875520778596,2.0,-1.0
8,7,2,0.875,2.0,Nres_mean_l1.0,1.0,3.43417322834644,2.0,-1.0
8,7,2,0.875,2.0,Nres_mean_l2.0,1.0,5.78515748031504,2.0,-1.0
8,7,2,0.875,2.0,fres_l1.0,1.0,0.45149068322983005,2.0,-1.0
8,7,2,0.875,2.0,fres_l2.0,1.0,0.7605745341615159,2.0,-1.0
8,8,2,1.0,2.0,onsite_pair_density,10.0,0.6588059100808459,3.0,7.0
8,8,2,1.0,2.0,onsite_pair_variance,1.0,1.73495360292352,3.0,-2.0
8,8,2,1.0,2.0,charge_fluctuation,1.0,0.642125378623728,3.0,-2.0
8,8,2,1.0,2.0,fock_entropy_normalized,1.0,0.881101415089372,3.0,-2.0
8,8,2,1.0,2.0,pr_normalized,1.0,0.28085804352571003,3.0,-2.0
8,8,2,1.0,2.0,Nres_mean_l1.0,1.0,3.59646612466136,3.0,-2.0
8,8,2,1.0,2.0,Nres_mean_l2.0,1.0,5.96300271002718,3.0,-2.0
8,8,2,1.0,2.0,fres_l1.0,1.0,0.46597471910103205,3.0,-2.0
8,8,2,1.0,2.0,fres_l2.0,1.0,0.772594101123428,3.0,-2.0
8,4,2,0.5,3.0,onsite_pair_density,10.0,0.24144884951231801,2.0,8.0
8,4,2,0.5,3.0,onsite_pair_variance,1.0,1.25530460466478,2.0,-1.0
8,4,2,0.5,3.0,charge_fluctuation,1.0,0.408648488791032,2.0,-1.0
8,4,2,0.5,3.0,fock_entropy_normalized,1.0,0.7885955416175181,2.0,-1.0
