L,N,nmax,filling,U,W,r_mean,r_mean_stderr,r_mean_n,onsite_pair_density,onsite_pair_density_stderr,onsite_pair_density_n,onsite_pair_variance,onsite_pair_variance_stderr,onsite_pair_variance_n,charge_fluctuation,charge_fluctuation_stderr,charge_fluctuation_n,fock_entropy_normalized,fock_entropy_normalized_stderr,fock_entropy_normalized_n,ipr,ipr_stderr,ipr_n,pr,pr_stderr,pr_n,pr_normalized,pr_normalized_stderr,pr_normalized_n,entanglement_entropy,entanglement_entropy_stderr,entanglement_entropy_n,diag_std,diag_std_stderr,diag_std_n,disorder_diag_std,disorder_diag_std_stderr,disorder_diag_std_n,interaction_diag_std,interaction_diag_std_stderr,interaction_diag_std_n,connectivity_mean,connectivity_mean_stderr,connectivity_mean_n,Nres_mean_l1.0,Nres_mean_l1.0_stderr,Nres_mean_l1.0_n,Nres_mean_l2.0,Nres_mean_l2.0_stderr,Nres_mean_l2.0_n,fres_l1.0,fres_l1.0_stderr,fres_l1.0_n,fres_l2.0,fres_l2.0_stderr,fres_l2.0_n
8,4,3,0.5,1.0,0.1,0.36220856928234796,0.0018157200311699408,500,0.273518934651608,4.4674649629209245e-06,500,2.35558202753388,0.0008016735758947865,500,0.518430236552318,3.881403044709268e-05,500,0.850581969001734,5.389483587259787e-05,500,0.011456368929236,4.3302062303398216e-06,500,93.3338137257318,0.024990941186392664,500,0.2898565643656181,7.761161859091822e-05,500,nan,nan,0,1.95891807928004,6.501249942584965e-05,500,0.11800873244314959,0.0010963996964582932,500,1.95520746864,0.0,500,5.86335403727,0.0,500,3.180124223600001,3.976032667870345e-17,500,5.267080745340001,3.976032667870345e-17,500,0.542372881356,0.0,500,0.8983050847459998,9.940081669675863e-18,500
8,4,3,0.5,1.0,0.25,0.48116035689075404,0.0015672773898305079,500,0.273576579580804,1.3961474266044921e-05,500,2.43687423768384,0.0011634057261648658,500,0.51632784480798,3.441876132021147e-05,500,0.855354679027334,7.227000137472841e-05,500,0.0111527420028902,6.947790082933975e-06,500,93.4653133581314,0.036994128946913715,500,0.29026494831717004,0.00011488859921445906,500,nan,nan,0,1.97906268905732,0.00038097726544200595,500,0.30100606974307,0.00257965465955738,500,1.95520746864,0.0,500,5.86335403727,0.0,500,3.1797142857120604,7.123958310581633e-05,500,5.267080745340001,3.976032667870345e-17,500,0.5423029661017561,1.214997127950095e-05,500,0.8983050847459998,9.940081669675863e-18,500
8,4,3,0.5,1.0,0.5,0.5193346829105079,0.0013443750092399875,500,0.275313779248918,4.531934964960204e-05,500,2.54019590446214,0.0018017906180052082,500,0.5175340086014121,5.213308764461653e-05,500,0.85835080239163,6.37695760069616e-05,500,0.010890465695153199,7.51450182232665e-06,500,94.450976315432,0.04435120370235056,500,0.29332601340196196,0.00013773665745964772,500,nan,nan,0,2.0482958427078404,0.0015036077948542754,500,0.5998481821505461,0.005294896692299825,500,1.95520746864,0.0,500,5.86335403727,0.0,500,3.3434161490683802,0.006520306946171421,500,5.299950310559059,0.0029088231771386983,500,0.570222457627124,0.0011120438753532027,500,0.903911016949236,0.0004961022579640644,500
8,4,3,0.5,1.0,0.75,0.52682006367029,0.0011876362292804427,500,0.277210178054678,6.50140675473843e-05,500,2.6263558325269796,0.0024023363859042315,500,0.519407477733208,6.375890785296488e-05,500,0.858970606994808,5.5710496454044236e-05,500,0.0107847264092288,6.664648162980514e-06,500,94.7259501508834,0.046871838448001094,500,0.294179969412692,0.00014556471567687306,500,nan,nan,0,2.1560444009179,0.0031433812139171654,500,0.894735561013046,0.007762769045463263,500,1.95520746864,0.0,500,5.86335403727,0.0,500,3.22747826086928,0.01304525816798624,500,5.18125465838504,0.005806006165894529,500,0.550449152542434,0.002224879835853712,500,0.883667372881384,0.000990219271937126,500
8,4,3,0.5,1.0,1.0,0.5311934936391333,0.0020204986754641394,150,0.27927309143092666,0.00014620944829728597,150,2.7162421310534666,0.005373695899665043,150,0.5209063124699266,0.00013414679241384933,150,0.8578130854354465,0.00012728394478438978,150,0.010874661253299334,1.3808020180700834e-05,150,93.778719844222,0.10483624400388074,150,0.2912382603857867,0.00032557839752648,150,nan,nan,0,2.3131801185250667,0.009268303184865078,150,1.222153504739207,0.017780568027312715,150,1.9552074686399998,1.8190602813362498e-17,150,5.863354037270001,7.276241125344999e-17,150,2.9681573498965337,0.029826474236811572,150,5.075652173913267,0.0121712457125371,150,0.50622175141244,0.005086930457759033,150,0.8656567796610667,0.0020758162708914376,150
8,4,3,0.5,1.0,2.0,0.5301793083177799,0.0018694221555095776,150,0.28267207309417336,0.00037368498993434445,150,3.0259850282614,0.012139057193451356,150,0.5134478528616933,0.0008405488725587741,150,0.83922501394556,0.0010603390174416946,150,0.01314126117165,0.0001531705832092109,150,81.00597830965667,0.6383779143540763,150,0.2515713612101133,0.00198254010669359,150,nan,nan,0,3.1158178787371336,0.028604001175834434,150,2.4084749540958,0.03724067804880691,150,1.9552074686399998,1.8190602813362498e-17,150,5.863354037270001,7.276241125344999e-17,150,2.2911387163562,0.034027355208515075,150,4.163685300206933,0.042187532664751594,150,0.39075564971753995,0.00580339426756009,150,0.7101200564971801,0.007195119448123104,150
8,4,3,0.5,1.0,3.0,0.51300833842362,0.0025288399585349747,150,0.27845721994329997,0.0006763519617842259,150,3.1243792923868665,0.01763365750746863,150,0.4777215391677,0.002619467666882641,150,0.78781984851694,0.003442885176629061,150,0.022385073851403335,0.0007975979673834134,150,58.095868277582,1.2125993062673677,150,0.18042195117262538,0.0037658363548683745,150,nan,nan,0,4.112337133480601,0.04384536596745953,150,3.605231730321867,0.05031608986922787,150,1.9552074686399998,1.8190602813362498e-17,150,5.863354037270001,7.276241125344999e-17,150,1.8705590062114668,0.0364922901070464,150,3.4357349896482,0.0504054029222729,150,0.3190254237288253,0.006223791003430843,150,0.5859675141242667,0.008596684184838792,150
8,4,3,0.5,1.0,4.0,0.4820384289942199,0.003185378564293131,150,0.27201575190145333,0.0008739202396903396,150,3.0048004221754,0.02294780373974587,150,0.41943828008120004,0.004621259189451076,150,0.7024402431180401,0.006478470458746392,150,0.045683489967942664,0.0021906543941014834,150,36.90660199104946,1.38972918450091,150,0.11461677636967868,0.004315929144410196,150,nan,nan,0,5.268926057571266,0.0725684466769627,150,4.877055764409133,0.07933166146403592,150,1.9552074686399998,1.8190602813362498e-17,150,5.863354037270001,7.276241125344999e-17,150,1.5628571428573002,0.03577123418632957,150,2.9330848861282,0.05434141671335352,150,0.266546610169506,0.0061008143050790085,150,0.50024011299438,0.009267974672513737,150
8,4,3,0.5,1.0,5.0,0.44968347236368006,0.00285697260363832,150,0.26603021450868664,0.0008843143371649176,150,2.7620760424175335,0.027194889478772157,150,0.35030494417156,0.004989025221911345,150,0.60487229510778,0.006832157220885833,150,0.08238890577458867,0.003185722536414737,150,21.137358532255796,0.9823975163704539,150,0.06564397059705533,0.003050923963881837,150,nan,nan,0,6.427602237772732,0.08010970519159867,150,6.113809890648267,0.08469368682541127,150,1.9552074686399998,1.8190602813362498e-17,150,5.863354037270001,7.276241125344999e-17,150,1.23204968944102,0.034494242035041096,150,2.3095652173912202,0.05095045181256542,150,0.21012711864405864,0.005883022211485399,150,0.39389830508476,0.008689642734984142,150
8,4,3,0.5,1.0,6.0,0.43641310028723335,0.003096432958472212,150,0.2645338111716867,0.0010285482516741475,150,2.571899006366133,0.035483214051963544,150,0.3162944929656267,0.006463236006687566,150,0.5514180313473467,0.009133749498916379,150,0.116149501739826,0.005355836831191933,150,17.20980795418393,1.0333090869692774,150,0.05344660855337333,0.003209034431583635,150,nan,nan,0,7.366523222633467,0.1152755517437144,150,7.088856508991133,0.12070600510905641,150,1.9552074686399998,1.8190602813362498e-17,150,5.863354037270001,7.276241125344999e-17,150,1.0927536231881867,0.03738498847370528,150,2.1204554865423733,0.05984274779329127,150,0.18637005649717597,0.006376041466384174,150,0.36164548022593807,0.010206231350339117,150
