L,N,nmax,filling,observable,U_at_maximum,sampled_W_near_Wstar,maximum_value
8,4,4,0.5,onsite_pair_variance,1.0,5.0,3.6877933262216667
8,4,4,0.5,charge_fluctuation,1.0,5.0,0.37010341306704664
8,4,4,0.5,fock_entropy_normalized,1.0,5.0,0.6169722641584268
8,4,4,0.5,pr_normalized,1.0,5.0,0.07208733085054467
8,4,4,0.5,Nres_mean_l1.0,8.0,2.0,1.4467070707070266
8,4,4,0.5,Nres_mean_l2.0,8.0,2.0,2.41098989898956
8,4,4,0.5,fres_l1.0,8.0,2.0,0.24865277777779596
8,4,4,0.5,fres_l2.0,8.0,2.0,0.41438888888891995
8,5,4,0.625,onsite_pair_variance,1.0,5.0,6.326030064452733
8,5,4,0.625,charge_fluctuation,1.0,5.0,0.5376664648176134
8,5,4,0.625,fock_entropy_normalized,1.0,5.0,0.6745845479136068
8,5,4,0.625,pr_normalized,1.0,5.0,0.07355122651349266
8,5,4,0.625,Nres_mean_l1.0,9.0,2.0,1.54841836734762
8,5,4,0.625,Nres_mean_l2.0,1.0,5.0,2.9275680272107336
8,5,4,0.625,fres_l1.0,9.0,2.0,0.2313185975609367
8,5,4,0.625,fres_l2.0,1.0,5.0,0.43735010162601334
8,6,4,0.75,onsite_pair_variance,1.0,6.0,8.2885534358152
8,6,4,0.75,charge_fluctuation,1.0,6.0,0.6154672808366202
8,6,4,0.75,fock_entropy_normalized,1.0,6.0,0.6357792160179534
8,6,4,0.75,pr_normalized,1.0,6.0,0.047115998561239596
8,6,4,0.75,Nres_mean_l1.0,8.0,1.0,2.4390314769962
8,6,4,0.75,Nres_mean_l2.0,7.0,1.0,2.9830508474599995
8,6,4,0.75,fres_l1.0,8.0,1.0,0.32705194805206667
8,6,4,0.75,fres_l2.0,7.0,1.0,0.3999999999999999
8,7,4,0.875,onsite_pair_variance,1.0,6.0,10.593008600672201
8,7,4,0.875,charge_fluctuation,10.0,0.25,0.776851818640752
8,7,4,0.875,fock_entropy_normalized,1.0,6.0,0.6611684717613734
8,7,4,0.875,pr_normalized,1.0,6.0,0.0481881336703346
8,7,4,0.875,Nres_mean_l1.0,10.0,0.25,2.9211195928800002
8,7,4,0.875,Nres_mean_l2.0,1.0,6.0,3.2842917726889334
8,7,4,0.875,fres_l1.0,9.0,0.5,0.35964912280700007
8,7,4,0.875,fres_l2.0,1.0,6.0,0.40436299081036003
8,8,4,1.0,onsite_pair_variance,1.0,7.0,12.286686503108067
8,8,4,1.0,charge_fluctuation,1.0,7.0,0.8608710992188001
8,8,4,1.0,fock_entropy_normalized,1.0,7.0,0.6547800417816733
8,8,4,1.0,pr_normalized,1.0,7.0,0.041503577756059
8,8,4,1.0,Nres_mean_l1.0,9.0,0.5,2.84639269406
8,8,4,1.0,Nres_mean_l2.0,1.0,7.0,3.4025108066968666
8,8,4,1.0,fres_l1.0,9.0,0.5,0.327284946237
8,8,4,1.0,fres_l2.0,1.0,7.0,0.39122871863791997
