L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
8,4,5,0.5,1.0,onsite_pair_density,1.0,0.2875579899723533
8,4,5,0.5,1.0,onsite_pair_variance,1.0,3.0216246879812663
8,4,5,0.5,1.0,charge_fluctuation,1.0,0.5289211934394067
8,4,5,0.5,1.0,fock_entropy_normalized,1.0,0.8557562205453333
8,4,5,0.5,1.0,pr_normalized,1.0,0.2860174208149467
8,4,5,0.5,1.0,Nres_mean_l1.0,1.0,2.9016161616164
8,4,5,0.5,1.0,Nres_mean_l2.0,1.0,4.949454545454467
8,4,5,0.5,1.0,fres_l1.0,1.0,0.49871527777777336
8,4,5,0.5,1.0,fres_l2.0,1.0,0.8506874999996666
8,5,5,0.625,1.0,onsite_pair_density,1.0,0.48888151051838674
8,5,5,0.625,1.0,onsite_pair_variance,1.0,5.1098183643523996
8,5,5,0.625,1.0,charge_fluctuation,1.0,0.7149780037442733
8,5,5,0.625,1.0,fock_entropy_normalized,1.0,0.8696432408161666
8,5,5,0.625,1.0,pr_normalized,1.0,0.2693175210393
8,5,5,0.625,1.0,Nres_mean_l1.0,1.0,3.0925757575761335
8,5,5,0.625,1.0,Nres_mean_l2.0,1.0,5.370336700337133
8,5,5,0.625,1.0,fres_l1.0,1.0,0.46388636363638674
8,5,5,0.625,1.0,fres_l2.0,1.0,0.8055505050505133
8,6,5,0.75,1.0,onsite_pair_density,1.0,0.7351789063226067
8,6,5,0.75,1.0,onsite_pair_variance,1.0,7.8827978065924675
8,6,5,0.75,1.0,charge_fluctuation,1.0,0.9150799555577733
8,6,5,0.75,1.0,fock_entropy_normalized,1.0,0.87992021907604
8,6,5,0.75,1.0,pr_normalized,1.0,0.25869347787855335
8,6,5,0.75,1.0,Nres_mean_l1.0,1.0,3.2495784543326
8,6,5,0.75,1.0,Nres_mean_l2.0,1.0,5.7023653395788
8,6,5,0.75,1.0,fres_l1.0,1.0,0.43910443037973335
8,6,5,0.75,1.0,fres_l2.0,1.0,0.77054113924054
8,7,5,0.875,1.0,onsite_pair_density,1.0,1.0267410677434665
8,7,5,0.875,1.0,onsite_pair_variance,1.0,11.046536210568666
8,7,5,0.875,1.0,charge_fluctuation,1.0,1.1292348703883333
8,7,5,0.875,1.0,fock_entropy_normalized,1.0,0.8883802993261134
8,7,5,0.875,1.0,pr_normalized,1.0,0.25301593513419335
8,7,5,0.875,1.0,Nres_mean_l1.0,1.0,3.392656373713067
8,7,5,0.875,1.0,Nres_mean_l2.0,1.0,6.020926365795
8,7,5,0.875,1.0,fres_l1.0,1.0,0.4215786107831467
8,7,5,0.875,1.0,fres_l2.0,1.0,0.7481729634002333
8,4,5,0.5,2.0,onsite_pair_density,1.0,0.2906740823002334
8,4,5,0.5,2.0,onsite_pair_variance,1.0,3.486515865342666
8,4,5,0.5,2.0,charge_fluctuation,1.0,0.51933651411358
8,4,5,0.5,2.0,fock_entropy_normalized,1.0,0.8352070213812733
8,4,5,0.5,2.0,pr_normalized,1.0,0.24374744475714
8,4,5,0.5,2.0,Nres_mean_l1.0,1.0,2.265252525253
8,4,5,0.5,2.0,Nres_mean_l2.0,1.0,4.012202020202
8,4,5,0.5,2.0,fres_l1.0,1.0,0.38934027777779334
8,4,5,0.5,2.0,fres_l2.0,1.0,0.6895972222222201
8,5,5,0.625,2.0,onsite_pair_density,1.0,0.49226078803482665
8,5,5,0.625,2.0,onsite_pair_variance,1.0,6.130263866258
