L,N,nmax,filling,U,W,r_mean,r_mean_stderr,r_mean_n,onsite_pair_density,onsite_pair_density_stderr,onsite_pair_density_n,onsite_pair_variance,onsite_pair_variance_stderr,onsite_pair_variance_n,charge_fluctuation,charge_fluctuation_stderr,charge_fluctuation_n,fock_entropy_normalized,fock_entropy_normalized_stderr,fock_entropy_normalized_n,ipr,ipr_stderr,ipr_n,pr,pr_stderr,pr_n,pr_normalized,pr_normalized_stderr,pr_normalized_n,entanglement_entropy,entanglement_entropy_stderr,entanglement_entropy_n,diag_std,diag_std_stderr,diag_std_n,disorder_diag_std,disorder_diag_std_stderr,disorder_diag_std_n,interaction_diag_std,interaction_diag_std_stderr,interaction_diag_std_n,connectivity_mean,connectivity_mean_stderr,connectivity_mean_n,Nres_mean_l1.0,Nres_mean_l1.0_stderr,Nres_mean_l1.0_n,Nres_mean_l2.0,Nres_mean_l2.0_stderr,Nres_mean_l2.0_n,fres_l1.0,fres_l1.0_stderr,fres_l1.0_n,fres_l2.0,fres_l2.0_stderr,fres_l2.0_n,Wstar,relative_offset,target_W,sampled_W_minus_Wstar
8,4,5,0.5,1.0,3.0,0.5110043210790266,0.002478871199771986,150,0.2915205950959933,0.0006788707113665406,150,3.9213685811634,0.03083612174691518,150,0.4840518158808801,0.0025584388536596847,150,0.7789434102006267,0.0035676766222634488,150,0.02373005115937267,0.000783242672317445,150,56.06480980843001,1.296038171205536,150,0.16989336305587932,0.003927388397590684,150,nan,nan,0,4.453672261992867,0.04787399561933668,150,3.708021418462833,0.059447148521702554,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,1.7882020202023667,0.03835407485599522,150,3.2694141414143996,0.05203542677373957,150,0.3073472222222334,0.006592106615873731,150,0.5619305555555799,0.008943588976739915,150,4.887384155428471,-2.0,2.887384155428471,-1.887384155428471
8,4,5,0.5,2.0,3.0,0.5097173695853666,0.0023152851723405267,150,0.2771694684056134,0.0005445920299624151,150,2.188543200396267,0.023413945780510363,150,0.45060175120793994,0.002106575857815047,150,0.7244794460953801,0.0034637560745955746,150,0.03799233081389067,0.0010294958502985387,150,38.75347580266333,0.8220758768856359,150,0.117434775159574,0.002491139020865851,150,nan,nan,0,6.1323874081137335,0.036367371196518186,150,3.6901261115987336,0.06257199835423155,150,4.858275093019998,1.4552482250689998e-16,150,5.81818181818,0.0,150,1.3609292929291668,0.037038127428841425,150,2.5078383838384,0.033962546538323556,150,0.233909722222238,0.006365928151829301,150,0.4310347222222333,0.005837312686275069,150,5.231916489260114,-2.0,3.231916489260114,-2.231916489260114
8,4,5,0.5,3.0,3.0,0.4901142387144199,0.0022283102689397063,150,0.2655978951294533,0.0005109406116210125,150,1.1069963497224136,0.016358711063411847,150,0.3945324889554734,0.002269620564449268,150,0.6448507940048067,0.0037689145042205836,150,0.06718198675101132,0.0016646437383751123,150,24.415514694707998,0.5604410178799409,150,0.073986408165772,0.0016983061147875875,150,nan,nan,0,8.17143407916,0.028338894322638603,150,3.628144893045466,0.06461955846948694,150,7.287412639530001,7.276241125344999e-17,150,5.81818181818,0.0,150,1.0760808080809765,0.04102272721588639,150,2.0702626262625,0.037971118023476205,150,0.184951388888918,0.00705078124022765,150,0.3558263888889066,0.006526285910288598,150,4.808371123392612,-2.0,2.808371123392612,-1.8083711233926119
8,4,5,0.5,4.0,2.0,0.49458721164414005,0.002172638390193039,150,0.25828129300607333,0.00011803260267505354,150,0.43516484050001336,0.004432531530388685,150,0.3877370524246933,0.0018920949154044018,150,0.6415471674048999,0.0028207193534034217,150,0.07068219921315666,0.0010618263287854126,150,25.329526545553332,0.5210947657558234,150,0.07675614104714468,0.0015790750477463237,150,nan,nan,0,10.042970946572932,0.00948088643458107,150,2.4987913586713333,0.038368826112664206,150,9.716550186029998,1.4552482250689998e-16,150,5.81818181818,0.0,150,1.4075151515150532,0.040507102505528955,150,2.2804848484849134,0.038919515966519616,150,0.24191666666671197,0.006962158243129041,150,0.39195833333332664,0.0066892918067413334,150,3.788856623369817,-2.0,1.788856623369817,-1.788856623369817
8,4,5,0.5,5.0,1.0,0.5158548359774,0.0020355505119281103,150,0.26196019743297333,1.4240287671639967e-05,150,0.22577549160510663,0.00017584650885618796,150,0.4312633990185467,0.0009394279836488037,150,0.6979171364142666,0.0011197285218310668,150,0.055725525075531336,0.0004433575175619351,150,38.85775353235533,0.3015556338161278,150,0.11775076827988801,0.0009138049509564037,150,nan,nan,0,12.210863483201335,0.0018037432840648463,150,1.2401533394531534,0.01831143214689876,150,12.145687732500003,1.4552482250689998e-16,150,5.81818181818,0.0,150,2.29333333333278,0.03469035638509421,150,3.00606060606,0.0,150,0.3941666666666533,0.0059624050036698635,150,0.516666666667,0.0,150,2.9400424598485366,-2.0,0.9400424598485366,-1.9400424598485366
8,4,5,0.5,6.0,0.75,0.5141195635873099,0.0010714850838039324,500,0.26252034402828806,5.336721054082692e-06,500,0.1579910190737,4.320626788184551e-05,500,0.440672189098012,0.0004115713529126262,500,0.703685400430762,0.0004541429423823358,500,0.05518102899414539,0.0002220545723893628,500,41.5321527695854,0.13309292373408538,500,0.125855008392692,0.00040331189010248537,500,nan,nan,0,14.604807925268,0.0004823422896922306,500,0.918937064961644,0.007824910662820695,500,14.574825279099997,1.590413067148138e-16,500,5.818181818179999,3.976032667870345e-17,500,2.68974545454582,0.015279534794530893,500,3.0060606060600006,1.9880163339351726e-17,500,0.46230000000005,0.0026261700428129395,500,0.5166666666669999,4.9700408348379315e-18,500,2.702945276411971,-2.0,0.7029452764119708,-1.9529452764119708
8,4,5,0.5,7.0,0.5,0.5164234504842921,0.0011277619887162104,500,0.26288570436454595,3.889552577541835e-06,500,0.116924842301192,2.647779694415665e-05,500,0.45106137065455404,0.00027437608224292233,500,0.710940009527708,0.0002760128216117811,500,0.0534278447753594,0.00017444588207439257,500,44.66795178183639,0.09851501692325794,500,0.13535742964194203,0.00029853035431324403,500,nan,nan,0,17.015496581403,0.00018878440975272884,500,0.61499471841688,0.005329131042430859,500,17.003962825600002,1.590413067148138e-16,500,5.818181818179999,3.976032667870345e-17,500,3.0060606060600006,1.9880163339351726e-17,500,3.0060606060600006,1.9880163339351726e-17,500,0.5166666666669999,4.9700408348379315e-18,500,0.5166666666669999,4.9700408348379315e-18,500,2.529139918502574,-2.0,0.5291399185025738,-2.029139918502574
8,4,5,0.5,8.0,0.5,0.515813265051982,0.0011644112455556149,500,0.263027438785194,2.8991336872804236e-06,500,0.09012896777,1.9799492093377492e-05,500,0.44987337422131807,0.00026547177613993664,500,0.7064680048171781,0.0002567383442777953,500,0.0554770167302264,0.0001826380978305005,500,44.156524241724,0.09030090154105615,500,0.133807649217354,0.00027363909557974394,500,nan,nan,0,19.4429931824352,0.0001531773312701411,500,0.61034567123524,0.004920956592559638,500,19.4331003721,0.0,500,5.818181818179999,3.976032667870345e-17,500,3.0060606060600006,1.9880163339351726e-17,500,3.0060606060600006,1.9880163339351726e-17,500,0.5166666666669999,4.9700408348379315e-18,500,0.5166666666669999,4.9700408348379315e-18,500,2.4345153262451493,-2.0,0.4345153262451493,-1.9345153262451493
8,4,5,0.5,9.0,0.5,0.515504829517606,0.0011460528340590684,500,0.263132326450676,2.290958761124038e-06,500,0.0715270143128746,1.615520063417391e-05,500,0.44838224640311003,0.00029199287756176347,500,0.702513961408318,0.00027218387747058914,500,0.057394549437617,0.0002138351986217866,500,43.6876630361506,0.08999816917707976,500,0.132386857685278,0.00027272172477927346,500,nan,nan,0,21.8711382879712,0.0001418390248996484,500,0.613194861836482,0.005152057303144163,500,21.862237918599995,3.180826134296276e-16,500,5.818181818179999,3.976032667870345e-17,500,3.0060606060600006,1.9880163339351726e-17,500,3.0060606060600006,1.9880163339351726e-17,500,0.5166666666669999,4.9700408348379315e-18,500,0.5166666666669999,4.9700408348379315e-18,500,2.426399831755914,-2.0,0.4263998317559139,-1.926399831755914
8,4,5,0.5,10.0,0.25,0.488207735533204,0.0013762991955940996,500,0.263319708217274,1.6708193772225721e-06,500,0.05863719188035481,1.2682601950492908e-05,500,0.456550550483738,0.00015165030774545436,500,0.7082406210356,0.00013294205911217,500,0.0561145369114258,0.00015764372486611408,500,47.611409091541994,0.06332419044021897,500,0.14427699724710003,0.0001918914861824581,500,nan,nan,0,24.293373804942604,3.1442750156840076e-05,500,0.306446360375838,0.00252441481082195,500,24.291375465099996,1.590413067148138e-16,500,5.818181818179999,3.976032667870345e-17,500,3.0060606060600006,1.9880163339351726e-17,500,3.0060606060600006,1.9880163339351726e-17,500,0.5166666666669999,4.9700408348379315e-18,500,0.5166666666669999,4.9700408348379315e-18,500,2.3187914862665333,-2.0,0.3187914862665333,-2.0687914862665333
