L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
8,4,2,0.5,0.1,onsite_pair_density,10.0,0.24160548697029
8,4,2,0.5,0.1,onsite_pair_variance,1.0,1.02958749765528
8,4,2,0.5,0.1,charge_fluctuation,5.0,0.470284886968244
8,4,2,0.5,0.1,fock_entropy_normalized,1.0,0.8488774067137019
8,4,2,0.5,0.1,pr_normalized,1.0,0.301122742221536
8,4,2,0.5,0.1,Nres_mean_l1.0,1.0,3.36842105263
8,4,2,0.5,0.1,Nres_mean_l2.0,1.0,5.894736842110002
8,4,2,0.5,0.1,fres_l1.0,1.0,0.5714285714289999
8,4,2,0.5,0.1,fres_l2.0,1.0,1.0
8,5,2,0.625,0.1,onsite_pair_density,1.0,0.31719632847865203
8,5,2,0.625,0.1,onsite_pair_variance,1.0,1.34058401501946
8,5,2,0.625,0.1,charge_fluctuation,1.0,0.5477296103725781
8,5,2,0.625,0.1,fock_entropy_normalized,1.0,0.872260318542844
8,5,2,0.625,0.1,pr_normalized,1.0,0.308623370902678
8,5,2,0.625,0.1,Nres_mean_l1.0,1.0,3.523809523810001
8,5,2,0.625,0.1,Nres_mean_l2.0,1.0,6.69841269841
8,5,2,0.625,0.1,fres_l1.0,1.0,0.526066350711
8,5,2,0.625,0.1,fres_l2.0,1.0,1.0
8,6,2,0.75,0.1,onsite_pair_density,10.0,0.42801381415057405
8,6,2,0.75,0.1,onsite_pair_variance,1.0,1.45638131693166
8,6,2,0.75,0.1,charge_fluctuation,1.0,0.605594497469962
8,6,2,0.75,0.1,fock_entropy_normalized,1.0,0.878632239725656
8,6,2,0.75,0.1,pr_normalized,1.0,0.298365430084772
8,6,2,0.75,0.1,Nres_mean_l1.0,1.0,3.5918367346899984
8,6,2,0.75,0.1,Nres_mean_l2.0,1.0,7.26530612245
8,6,2,0.75,0.1,fres_l1.0,1.0,0.4943820224720001
8,6,2,0.75,0.1,fres_l2.0,1.0,1.0
8,7,2,0.875,0.1,onsite_pair_density,1.0,0.538085646923732
8,7,2,0.875,0.1,onsite_pair_variance,1.0,1.6053973625347602
8,7,2,0.875,0.1,charge_fluctuation,1.0,0.644591881483658
8,7,2,0.875,0.1,fock_entropy_normalized,1.0,0.886556643756824
8,7,2,0.875,0.1,pr_normalized,1.0,0.304616879020906
8,7,2,0.875,0.1,Nres_mean_l1.0,1.0,3.6377952755900007
8,7,2,0.875,0.1,Nres_mean_l2.0,1.0,7.606299212599997
8,7,2,0.875,0.1,fres_l1.0,1.0,0.4782608695650001
8,7,2,0.875,0.1,fres_l2.0,1.0,1.0
8,8,2,1.0,0.1,onsite_pair_density,10.0,0.6588020038221379
8,8,2,1.0,0.1,onsite_pair_variance,1.0,1.5995494694290802
8,8,2,1.0,0.1,charge_fluctuation,1.0,0.655582604532714
8,8,2,1.0,0.1,fock_entropy_normalized,1.0,0.8858188504709381
8,8,2,1.0,0.1,pr_normalized,1.0,0.30008110413756
8,8,2,1.0,0.1,Nres_mean_l1.0,1.0,3.6422764227599993
8,8,2,1.0,0.1,Nres_mean_l2.0,1.0,7.718157181570001
8,8,2,1.0,0.1,fres_l1.0,1.0,0.47191011235999986
8,8,2,1.0,0.1,fres_l2.0,1.0,1.0
8,4,2,0.5,0.25,onsite_pair_density,10.0,0.24159718816725204
8,4,2,0.5,0.25,onsite_pair_variance,1.0,1.05765262051424
8,4,2,0.5,0.25,charge_fluctuation,4.0,0.463949596702138
8,4,2,0.5,0.25,fock_entropy_normalized,1.0,0.8551851733630219
