L,N,nmax,filling,observable,U_at_maximum,sampled_W_near_Wstar,maximum_value
8,4,2,0.5,onsite_pair_variance,1.0,5.0,1.1577869952558781
8,4,2,0.5,charge_fluctuation,9.0,2.0,0.35702876511129206
8,4,2,0.5,fock_entropy_normalized,1.0,5.0,0.627248648543652
8,4,2,0.5,pr_normalized,1.0,5.0,0.0831962230887346
8,4,2,0.5,Nres_mean_l1.0,10.0,2.0,1.6082105263162538
8,4,2,0.5,Nres_mean_l2.0,9.0,2.0,2.6293233082706005
8,4,2,0.5,fres_l1.0,10.0,2.0,0.2728214285714236
8,4,2,0.5,fres_l2.0,9.0,2.0,0.4460459183670801
8,5,2,0.625,onsite_pair_variance,1.0,6.0,1.33449181958492
8,5,2,0.625,charge_fluctuation,4.0,5.0,0.365638595157324
8,5,2,0.625,fock_entropy_normalized,1.0,6.0,0.59895284015115
8,5,2,0.625,pr_normalized,1.0,6.0,0.0557763369159324
8,5,2,0.625,Nres_mean_l1.0,1.0,6.0,1.303238095238232
8,5,2,0.625,Nres_mean_l2.0,1.0,6.0,2.521738095238238
8,5,2,0.625,fres_l1.0,1.0,6.0,0.1945592417061734
8,5,2,0.625,fres_l2.0,1.0,6.0,0.3764680094786752
8,6,2,0.75,onsite_pair_variance,1.0,6.0,1.5276582943623997
8,6,2,0.75,charge_fluctuation,7.0,3.0,0.416284885253648
8,6,2,0.75,fock_entropy_normalized,1.0,6.0,0.629193474147022
8,6,2,0.75,pr_normalized,1.0,6.0,0.05555724593169284
8,6,2,0.75,Nres_mean_l1.0,1.0,6.0,1.442357142857162
8,6,2,0.75,Nres_mean_l2.0,1.0,6.0,2.765295918367532
8,6,2,0.75,fres_l1.0,1.0,6.0,0.1985266853932664
8,6,2,0.75,fres_l2.0,1.0,6.0,0.38061657303373303
8,7,2,0.875,onsite_pair_variance,1.0,7.0,1.5415409865750418
8,7,2,0.875,charge_fluctuation,7.0,4.0,0.415937913091976
8,7,2,0.875,fock_entropy_normalized,2.0,7.0,0.5944009783282601
8,7,2,0.875,pr_normalized,2.0,7.0,0.040522674119782325
8,7,2,0.875,Nres_mean_l1.0,1.0,7.0,1.402783464567328
8,7,2,0.875,Nres_mean_l2.0,1.0,7.0,2.672007874015712
8,7,2,0.875,fres_l1.0,1.0,7.0,0.18442391304345643
8,7,2,0.875,fres_l2.0,1.0,7.0,0.3512888198757986
8,8,2,1.0,onsite_pair_variance,1.0,7.0,1.601207439412902
8,8,2,1.0,charge_fluctuation,10.0,3.0,0.447845758302444
8,8,2,1.0,fock_entropy_normalized,2.0,7.0,0.61060052094627
8,8,2,1.0,pr_normalized,2.0,7.0,0.04455303655232752
8,8,2,1.0,Nres_mean_l1.0,10.0,3.0,1.577105691056292
8,8,2,1.0,Nres_mean_l2.0,1.0,7.0,2.83132791327878
8,8,2,1.0,fres_l1.0,10.0,3.0,0.20433707865165635
8,8,2,1.0,fres_l2.0,1.0,7.0,0.3668398876403634
