L,N,nmax,filling,U,W,r_mean,r_mean_stderr,r_mean_n,onsite_pair_density,onsite_pair_density_stderr,onsite_pair_density_n,onsite_pair_variance,onsite_pair_variance_stderr,onsite_pair_variance_n,charge_fluctuation,charge_fluctuation_stderr,charge_fluctuation_n,fock_entropy_normalized,fock_entropy_normalized_stderr,fock_entropy_normalized_n,ipr,ipr_stderr,ipr_n,pr,pr_stderr,pr_n,pr_normalized,pr_normalized_stderr,pr_normalized_n,entanglement_entropy,entanglement_entropy_stderr,entanglement_entropy_n,diag_std,diag_std_stderr,diag_std_n,disorder_diag_std,disorder_diag_std_stderr,disorder_diag_std_n,interaction_diag_std,interaction_diag_std_stderr,interaction_diag_std_n,connectivity_mean,connectivity_mean_stderr,connectivity_mean_n,Nres_mean_l1.0,Nres_mean_l1.0_stderr,Nres_mean_l1.0_n,Nres_mean_l2.0,Nres_mean_l2.0_stderr,Nres_mean_l2.0_n,fres_l1.0,fres_l1.0_stderr,fres_l1.0_n,fres_l2.0,fres_l2.0_stderr,fres_l2.0_n
8,4,4,0.5,1.0,0.1,0.345491485534966,0.0016119475334616293,500,0.283906710243984,1.5879602583499054e-05,500,2.59987562766706,0.0007261546172216478,500,0.528798737845884,3.776144927638332e-05,500,0.848956542779456,4.899619905087992e-05,500,0.011314394030592598,4.424689215208376e-06,500,94.2670507124112,0.027783583354917558,500,0.285657729431556,8.419267683253908e-05,500,nan,nan,0,2.4324222740167802,5.3822496566228966e-05,500,0.12407020830468442,0.0010752528896237482,500,2.429137546509999,3.976032667870345e-17,500,5.818181818179999,3.976032667870345e-17,500,3.103030303030001,3.976032667870345e-17,500,5.13939393939,0.0,500,0.533333333333,0.0,500,0.8833333333330001,4.9700408348379315e-18,500
8,4,4,0.5,1.0,0.25,0.47590151966272404,0.0017874332870682383,500,0.28374835051353603,1.3242824901326967e-05,500,2.6872389149115596,0.0013498971855646696,500,0.5261923026249381,4.610542685194287e-05,500,0.8526453832230241,7.05416526922961e-05,500,0.0111571953284006,6.192718228736148e-06,500,93.7941292824112,0.03486945799171112,500,0.28422463418912797,0.00010566502421641502,500,nan,nan,0,2.4494151972989204,0.00032645010352645,500,0.30881664665604397,0.002690086422324743,500,2.429137546509999,3.976032667870345e-17,500,5.818181818179999,3.976032667870345e-17,500,3.102496969696721,8.417433384113133e-05,500,5.13939393939,0.0,500,0.5332416666663841,1.4467463623339098e-05,500,0.8833333333330001,4.9700408348379315e-18,500
8,4,4,0.5,1.0,0.5,0.5222399305228841,0.0012668713789067583,500,0.28432929791627,3.222254004230517e-05,500,2.80860471315092,0.0019336106420950038,500,0.526267733798742,3.9645328799552645e-05,500,0.8559199233740239,6.17280357266e-05,500,0.010868917493308601,7.1490683578521975e-06,500,94.7448972265402,0.04369908781475847,500,0.28710574917133397,0.0001324214782262381,500,nan,nan,0,2.50674781718152,0.0012066547306759966,500,0.6091945219853999,0.005041706870154527,500,2.429137546509999,3.976032667870345e-17,500,5.818181818179999,3.976032667870345e-17,500,3.2544969696958397,0.005978677030806429,500,5.1733212121203795,0.0024997118368400417,500,0.559366666666682,0.0010275851146695778,500,0.889164583333,0.00042963797195883115,500
8,4,4,0.5,1.0,0.75,0.5260209717337321,0.0010886649844773835,500,0.285962600577858,6.195549166892485e-05,500,2.9150104094134606,0.0028680087584560315,500,0.527859621894434,6.307382352569104e-05,500,0.856578493508608,5.6587410423419865e-05,500,0.0107554556926286,6.711498424006246e-06,500,95.08317539606,0.04656663105070224,500,0.288130834533522,0.0001411110031837716,500,nan,nan,0,2.6011896185653796,0.0027944917084641602,500,0.9140125717081221,0.008249128623854587,500,2.429137546509999,3.976032667870345e-17,500,5.818181818179999,3.976032667870345e-17,500,3.1508606060601,0.012055253637471543,500,5.06706666666652,0.005801072265048844,500,0.541554166666682,0.0020719967189428176,500,0.870902083333,0.0009970592955550362,500
8,4,4,0.5,1.0,1.0,0.53002972733948,0.001980423836084714,150,0.2872417860928733,0.00013734830481306343,150,3.0136582545390667,0.007354625940051677,150,0.5285666442948267,0.00013844622384589914,150,0.8556195327070532,0.00014497079737684496,150,0.010835258937138666,1.5536635156776537e-05,150,94.232775811524,0.11677994618998393,150,0.28555386609552,0.0003538786248210702,150,nan,nan,0,2.7276081578569333,0.009781839873512782,150,1.2181558195223867,0.0215958013289273,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,2.8899797979799335,0.032162525208994326,150,4.946545454545399,0.012534224537126824,150,0.49671527777781327,0.005527934020301758,150,0.8501874999996666,0.0021543198423249615,150
8,4,4,0.5,1.0,2.0,0.5295308137502466,0.0019945716992932102,150,0.29148885009107334,0.0003252726668006614,150,3.4998454183158674,0.01838604938750016,150,0.5202735665627334,0.0008626916429846504,150,0.8351421867755999,0.00123838434531695,150,0.013403816708096,0.00017645898709794724,150,80.35145660229334,0.7468066961235512,150,0.24348926243118665,0.0022630505943145767,150,nan,nan,0,3.5011166770549336,0.028655238570134633,150,2.4954008045187335,0.04116025916379653,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,2.232121212121266,0.03488870356931205,150,4.032888888888533,0.04537709159620066,150,0.38364583333336666,0.005996495925969411,150,0.6931527777777867,0.007799187618096621,150
8,4,4,0.5,1.0,3.0,0.5136684997786733,0.0024927623406733623,150,0.29155231541978,0.000641050583752046,150,3.9130810705839334,0.028266701283149058,150,0.48830451983296674,0.0023634989064460817,150,0.7848418939771401,0.003317374018077999,150,0.022200798286362667,0.0006732641173031479,150,58.086981266184665,1.2392906452200385,150,0.17602115535206933,0.0037554261976352967,150,nan,nan,0,4.3968892842824,0.046533543490207385,150,3.6420144939088006,0.057363600362268605,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,1.85511111111092,0.0343613114692708,150,3.4118787878788,0.04518533270412494,150,0.31884722222221334,0.005905850408778269,150,0.5864166666666933,0.007766229058527994,150
8,4,4,0.5,1.0,4.0,0.4814014933129334,0.0029967409722351035,150,0.29035764817708004,0.0009511518004630543,150,4.042845133641533,0.0331726538995023,150,0.43245809346585995,0.004327499743724017,150,0.7006529149157467,0.005921214411387605,150,0.04507829283919,0.002002045204686381,150,36.39765681481007,1.2636671942291302,150,0.110295929741808,0.003829294527964055,150,nan,nan,0,5.594515435141,0.07096801535758404,150,5.0195806109196655,0.07993859413544102,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,1.4770909090909268,0.03369748861891738,150,2.7990303030305865,0.05131301644024326,150,0.2538750000000047,0.005791755856376319,150,0.4810833333333333,0.008819424700667475,150
8,4,4,0.5,1.0,5.0,0.4501862411519467,0.003222813809347177,150,0.28397117586368664,0.001129304193796857,150,3.6877933262216667,0.039508049821853346,150,0.37010341306704664,0.005502648562694058,150,0.6169722641584268,0.007485583916375376,150,0.07746808436172466,0.00318914077640035,150,23.788819180687,1.1735434686653095,150,0.07208733085054467,0.003556192329285944,150,nan,nan,0,6.616980238845333,0.08508871907375253,150,6.1393595371092005,0.09235022928304563,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,1.2738181818179934,0.036567214025922695,150,2.406585858585373,0.05629125469092492,150,0.21893750000000664,0.006284989910705827,150,0.41363194444442664,0.0096750594000033,150
8,4,4,0.5,1.0,6.0,0.43465545643362663,0.0028440886456936976,150,0.2763878076324866,0.0013824807817671802,150,3.2461770272417336,0.05409398504524233,150,0.3173231475358867,0.006012451132133733,150,0.5406466303679532,0.008351576659465607,150,0.11765875928110134,0.005035628870300575,150,15.905315616177198,0.8432401245705187,150,0.048197926109614334,0.0025552731047570484,150,nan,nan,0,7.810453545652866,0.11481620192979841,150,7.4072425357608,0.12149694555184917,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,1.052202020201828,0.029797521060825522,150,2.0724444444447685,0.05121534300982233,150,0.18084722222220223,0.005121448932328753,150,0.3562013888888693,0.008802637079813738,150
8,4,4,0.5,1.0,7.0,0.42399061002367994,0.0028143555612158617,150,0.27659786983504,0.001248716301194258,150,3.075005459155467,0.05037435205768204,150,0.2823076561166267,0.006090769428765047,150,0.48774035468450666,0.008241074906647236,150,0.15267827733452732,0.005864401056228741,150,12.072469700278132,0.7125673277928796,150,0.036583241515989136,0.0021592949327038113,150,nan,nan,0,8.9309358576364,0.12309289958143817,150,8.581738134012467,0.12881244103100065,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,0.95393939393944,0.031673387580321115,150,1.85648484848468,0.054866755910480416,150,0.16395833333331467,0.0054438634903656935,150,0.319083333333336,0.00943022367211244,150
8,4,4,0.5,1.0,8.0,0.4167603678616467,0.002637825085646387,150,0.27691280845056665,0.001485990177048411,150,2.792815685636733,0.06063874184926326,150,0.25163273049115326,0.0068979842647912265,150,0.43943132082476666,0.009383906994830033,150,0.19657252826084198,0.008070138091806936,150,9.750862446672599,0.6091452235939263,150,0.02954806802021853,0.0018458946169519436,150,nan,nan,0,10.136395700143934,0.15388978805220097,150,9.828535807636733,0.1591571847917824,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,0.84929292929294,0.033414728174691814,150,1.6711919191920266,0.056624910228382244,150,0.14597222222222803,0.005743156405026341,150,0.28723611111109126,0.009732406445499673,150
8,4,4,0.5,1.0,9.0,0.4094263444542133,0.0024086610869901936,150,0.2700946642784467,0.0013203304251583868,150,2.445441399091253,0.05735778548583667,150,0.22115551127322267,0.006411818299799213,150,0.39834980691515337,0.00917453910403752,150,0.23733970140947,0.010077480296699906,150,7.716848595834467,0.44359866093453737,150,0.023384389684341537,0.001344238366466379,150,nan,nan,0,11.359147070966067,0.18421997266238724,150,11.083720349456001,0.1892633002398426,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,0.7648080808079181,0.03376470420136227,150,1.505414141413866,0.05738878035920338,150,0.1314513888889024,0.0058033085346123735,150,0.25874305555556065,0.009863696624240028,150
8,4,4,0.5,1.0,10.0,0.40251945588450005,0.0021033719790138168,150,0.27120143244522005,0.0014211007302267833,150,2.231783933159734,0.05695567674090925,150,0.19347689359915266,0.005840007656827847,150,0.35506291207423335,0.008314607235766078,150,0.279573151779326,0.010038270627961777,150,5.956147766692467,0.34614779128154866,150,0.018048932626343467,0.001048932700852858,150,nan,nan,0,12.675771346052732,0.18810955786831943,150,12.430694664345335,0.19255777164675753,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,0.66618181818153,0.02977240084286746,150,1.2970101010101052,0.04952787981437604,150,0.11450000000002532,0.005117131394875552,150,0.2229236111111382,0.0085126043430944,150
8,4,4,0.5,1.0,11.0,0.4012692442339267,0.0024975598367294656,150,0.27180955895017334,0.0015719199838244132,150,2.2329782315124467,0.05727480179728495,150,0.19106946002291336,0.006173028043673555,150,0.34852862379095995,0.008709471333365398,150,0.29039697475414267,0.010902314642731298,150,5.812549828000468,0.32548381336109566,150,0.017613787357582664,0.0009863145859432456,150,nan,nan,0,13.205570481441468,0.21897483539010087,150,12.969415555673802,0.22323415139800126,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,0.644363636363626,0.03200745625286164,150,1.3261010101010895,0.056108714352912946,150,0.11075000000001128,0.005501281543462394,150,0.22792361111109197,0.00964368527940283,150
8,4,4,0.5,1.0,12.0,0.39685060881754,0.0024575846797241655,150,0.2689817451496734,0.0012377572145239283,150,1.9507857940843931,0.05447729991916456,150,0.16922639279799664,0.005503470777150325,150,0.31135376188639335,0.007964578524142892,150,0.33096126565199935,0.01149137198746143,150,4.7320544394420665,0.232851041566854,150,0.014339558907402067,0.0007056092168693591,150,nan,nan,0,14.963583524010003,0.22620101460766673,150,14.757095947173333,0.2296789387159956,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,0.6294949494949026,0.029680413684797905,150,1.1789494949491515,0.046986288095759665,150,0.10819444444442793,0.005101321102075565,150,0.20263194444445398,0.00807576826645706,150
8,4,4,0.5,1.0,13.0,0.39859067726767333,0.0024005000413215636,150,0.2701745551334,0.0014314786600804594,150,1.9215348360260733,0.058513676132366646,150,0.16144272687131134,0.006044189648955781,150,0.30006752432630196,0.008886279577240279,150,0.357400680406922,0.01320053148509604,150,4.652387323462933,0.2830344521792796,150,0.014098143404435466,0.0008576801581195311,150,nan,nan,0,15.880213338823198,0.27615073837179727,150,15.681428771358666,0.2806498148828804,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,0.5536565656564555,0.02926187175373655,150,1.0986262626260987,0.0524232222946944,150,0.09515972222225647,0.00502938420767871,150,0.18882638888885286,0.009010241331901732,150
8,4,4,0.5,1.0,14.0,0.39734255267695334,0.0025880913934547317,150,0.2668413487988666,0.0014741962693645115,150,1.6055369726816935,0.05249868650882041,150,0.133847625132772,0.004678257612079877,150,0.25764854573463924,0.0069296889842361264,150,0.41180789609084667,0.011644456544494372,150,3.4735640478684005,0.15894845004903216,150,0.010525951660204268,0.0004816619698456646,150,nan,nan,0,17.38313511290526,0.2831057344851615,150,17.203938561681134,0.2866065607297564,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,0.4762020202020674,0.024868952693466864,150,0.9276767676765314,0.041032786692969246,150,0.08184722222223999,0.004274351244191379,150,0.15944444444446962,0.0070525102128535895,150
