L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value,U_at_max_Wstar,delta_U_maximum_minus_Wstar
8,4,4,0.5,0.1,onsite_pair_density,1.0,0.283906710243984,2.0,-1.0
8,4,4,0.5,0.1,onsite_pair_variance,1.0,2.59987562766706,2.0,-1.0
8,4,4,0.5,0.1,charge_fluctuation,1.0,0.528798737845884,2.0,-1.0
8,4,4,0.5,0.1,fock_entropy_normalized,1.0,0.848956542779456,2.0,-1.0
8,4,4,0.5,0.1,pr_normalized,1.0,0.285657729431556,2.0,-1.0
8,4,4,0.5,0.1,Nres_mean_l1.0,1.0,3.103030303030001,2.0,-1.0
8,4,4,0.5,0.1,Nres_mean_l2.0,1.0,5.13939393939,2.0,-1.0
8,4,4,0.5,0.1,fres_l1.0,1.0,0.533333333333,2.0,-1.0
8,4,4,0.5,0.1,fres_l2.0,1.0,0.8833333333330001,2.0,-1.0
8,5,4,0.625,0.1,onsite_pair_density,1.0,0.48629720295517403,1.0,0.0
8,5,4,0.625,0.1,onsite_pair_variance,1.0,4.56973093818704,1.0,0.0
8,5,4,0.625,0.1,charge_fluctuation,1.0,0.715161586300292,1.0,0.0
8,5,4,0.625,0.1,fock_entropy_normalized,1.0,0.86911465894685,1.0,0.0
8,5,4,0.625,0.1,pr_normalized,1.0,0.27247689904896,1.0,0.0
8,5,4,0.625,0.1,Nres_mean_l1.0,1.0,3.2653061224499997,1.0,0.0
8,5,4,0.625,0.1,Nres_mean_l2.0,1.0,5.59183673469,1.0,0.0
8,5,4,0.625,0.1,fres_l1.0,1.0,0.4878048780490001,1.0,0.0
8,5,4,0.625,0.1,fres_l2.0,1.0,0.8353658536590002,1.0,0.0
8,6,4,0.75,0.1,onsite_pair_density,1.0,0.71363588057656,1.0,0.0
8,6,4,0.75,0.1,onsite_pair_variance,1.0,6.60318074547374,1.0,0.0
8,6,4,0.75,0.1,charge_fluctuation,1.0,0.895741604430644,1.0,0.0
8,6,4,0.75,0.1,fock_entropy_normalized,1.0,0.882890157112536,1.0,0.0
8,6,4,0.75,0.1,pr_normalized,1.0,0.26723660275953204,1.0,0.0
8,6,4,0.75,0.1,Nres_mean_l1.0,1.0,3.409200968519999,1.0,0.0
8,6,4,0.75,0.1,Nres_mean_l2.0,1.0,5.966101694919999,1.0,0.0
8,6,4,0.75,0.1,fres_l1.0,1.0,0.4571428571430001,1.0,0.0
8,6,4,0.75,0.1,fres_l2.0,1.0,0.8,1.0,0.0
8,7,4,0.875,0.1,onsite_pair_density,1.0,0.975438884816074,2.0,-1.0
8,7,4,0.875,0.1,onsite_pair_variance,1.0,8.7076039932771,2.0,-1.0
8,7,4,0.875,0.1,charge_fluctuation,1.0,1.0803651640955199,2.0,-1.0
8,7,4,0.875,0.1,fock_entropy_normalized,1.0,0.8941636734611099,2.0,-1.0
8,7,4,0.875,0.1,pr_normalized,1.0,0.271286800062134,2.0,-1.0
8,7,4,0.875,0.1,Nres_mean_l1.0,1.0,3.5521628498700006,2.0,-1.0
8,7,4,0.875,0.1,Nres_mean_l2.0,1.0,6.26972010178,2.0,-1.0
8,7,4,0.875,0.1,fres_l1.0,1.0,0.43734335839600014,2.0,-1.0
8,7,4,0.875,0.1,fres_l2.0,1.0,0.7719298245609998,2.0,-1.0
8,8,4,1.0,0.1,onsite_pair_density,1.0,1.2622226169272885,2.0,-1.0
8,8,4,1.0,0.1,onsite_pair_variance,1.0,10.248995523401057,2.0,-1.0
8,8,4,1.0,0.1,charge_fluctuation,1.0,1.2591327495419717,2.0,-1.0
8,8,4,1.0,0.1,fock_entropy_normalized,1.0,0.9022769713058311,2.0,-1.0
8,8,4,1.0,0.1,pr_normalized,1.0,0.27646533638927817,2.0,-1.0
8,8,4,1.0,0.1,Nres_mean_l1.0,1.0,3.7055707762600005,2.0,-1.0
8,8,4,1.0,0.1,Nres_mean_l2.0,1.0,6.522739726029998,2.0,-1.0
8,8,4,1.0,0.1,fres_l1.0,1.0,0.42607526881699986,2.0,-1.0
8,8,4,1.0,0.1,fres_l2.0,1.0,0.75,2.0,-1.0
8,4,4,0.5,0.25,onsite_pair_density,1.0,0.28374835051353603,2.0,-1.0
8,4,4,0.5,0.25,onsite_pair_variance,1.0,2.6872389149115596,2.0,-1.0
8,4,4,0.5,0.25,charge_fluctuation,1.0,0.5261923026249381,2.0,-1.0
8,4,4,0.5,0.25,fock_entropy_normalized,1.0,0.8526453832230241,2.0,-1.0
8,4,4,0.5,0.25,pr_normalized,1.0,0.28422463418912797,2.0,-1.0
8,4,4,0.5,0.25,Nres_mean_l1.0,1.0,3.102496969696721,2.0,-1.0
8,4,4,0.5,0.25,Nres_mean_l2.0,1.0,5.13939393939,2.0,-1.0
8,4,4,0.5,0.25,fres_l1.0,1.0,0.5332416666663841,2.0,-1.0
8,4,4,0.5,0.25,fres_l2.0,1.0,0.8833333333330001,2.0,-1.0
8,5,4,0.625,0.25,onsite_pair_density,1.0,0.48608317554626795,1.0,0.0
8,5,4,0.625,0.25,onsite_pair_variance,1.0,4.64749333486272,1.0,0.0
8,5,4,0.625,0.25,charge_fluctuation,1.0,0.714529131993282,1.0,0.0
8,5,4,0.625,0.25,fock_entropy_normalized,1.0,0.871851012150348,1.0,0.0
8,5,4,0.625,0.25,pr_normalized,1.0,0.27612013784062,1.0,0.0
8,5,4,0.625,0.25,Nres_mean_l1.0,1.0,3.264081632654,1.0,0.0
8,5,4,0.625,0.25,Nres_mean_l2.0,1.0,5.59183673469,1.0,0.0
