L,N,nmax,filling,U,W,r_mean,r_mean_stderr,r_mean_n,onsite_pair_density,onsite_pair_density_stderr,onsite_pair_density_n,onsite_pair_variance,onsite_pair_variance_stderr,onsite_pair_variance_n,charge_fluctuation,charge_fluctuation_stderr,charge_fluctuation_n,fock_entropy_normalized,fock_entropy_normalized_stderr,fock_entropy_normalized_n,ipr,ipr_stderr,ipr_n,pr,pr_stderr,pr_n,pr_normalized,pr_normalized_stderr,pr_normalized_n,entanglement_entropy,entanglement_entropy_stderr,entanglement_entropy_n,diag_std,diag_std_stderr,diag_std_n,disorder_diag_std,disorder_diag_std_stderr,disorder_diag_std_n,interaction_diag_std,interaction_diag_std_stderr,interaction_diag_std_n,connectivity_mean,connectivity_mean_stderr,connectivity_mean_n,Nres_mean_l1.0,Nres_mean_l1.0_stderr,Nres_mean_l1.0_n,Nres_mean_l2.0,Nres_mean_l2.0_stderr,Nres_mean_l2.0_n,fres_l1.0,fres_l1.0_stderr,fres_l1.0_n,fres_l2.0,fres_l2.0_stderr,fres_l2.0_n,Wstar,relative_offset,target_W,sampled_W_minus_Wstar
8,4,5,0.5,1.0,5.0,0.45597746384286664,0.003045827405234446,150,0.2841172270182599,0.001082709283515905,150,3.6864444496261997,0.03833091425898439,150,0.37249730820922,0.0058711635066842245,150,0.6205399540955201,0.008020908636115648,150,0.07737052292571334,0.0035761472891159846,150,24.6134745754892,1.2604019736427539,150,0.07458628659238933,0.0038193999201283422,150,nan,nan,0,6.570826421464067,0.09096687559732426,150,6.085225861342467,0.0995981103271945,150,2.429137546509999,7.276241125344999e-17,150,5.81818181818,0.0,150,1.2431111111109467,0.03821102372018209,150,2.3807676767679333,0.05710686825733473,150,0.21365972222218602,0.006567519701906559,150,0.4091944444444533,0.009815242981727071,150,4.887384155428471,0.0,4.887384155428471,0.11261584457152907
8,4,5,0.5,2.0,5.0,0.4618333484235133,0.003203098644282788,150,0.28124741343255333,0.0009068871033704655,150,2.6508057269351997,0.02539583105137795,150,0.35303272208456,0.004688327316987123,150,0.5813460848198666,0.006596358260199527,150,0.09837538674635134,0.0035545338119462467,150,18.494494095631598,0.7078485517508334,150,0.05604392150190533,0.002144995611364502,150,nan,nan,0,7.8367533511692,0.0729279633885228,150,6.102916862292533,0.09549330305497575,150,4.858275093019998,1.4552482250689998e-16,150,5.81818181818,0.0,150,1.0128484848484598,0.031572093341411506,150,2.0247676767676936,0.038499066132107795,150,0.17408333333333198,0.005426453543056158,150,0.34800694444446,0.006617026991456963,150,5.231916489260114,0.0,5.231916489260114,-0.2319164892601142
8,4,5,0.5,3.0,5.0,0.4550855895571266,0.002340986756082142,150,0.27639674442116663,0.0006609554077632065,150,1.5795769891721798,0.01914842636654294,150,0.3242795514804466,0.003813765575876658,150,0.5302085229921134,0.005373824249002845,150,0.12819403766364335,0.0034654791914259593,150,13.463396643278665,0.4092327966763976,150,0.04079817164630934,0.001240099383867166,150,nan,nan,0,9.547308735723199,0.06373618415041225,150,6.093010000465333,0.10117541167113435,150,7.287412639530001,7.276241125344999e-17,150,5.81818181818,0.0,150,0.8825050505048692,0.03459774738845539,150,1.7119595959595202,0.03301135360348409,150,0.15168055555556734,0.005946487832393859,150,0.29424305555555336,0.005673826400606854,150,4.808371123392612,0.0,4.808371123392612,0.19162887660738814
8,4,5,0.5,4.0,4.0,0.45497299874209335,0.002386808043784973,150,0.26534007220346,0.00043685348046005153,150,0.7544831209844733,0.012991472753077042,150,0.30619786163241997,0.0032840479281165316,150,0.5081369797250267,0.00488629513137034,150,0.143754901430622,0.0035747923366171628,150,11.670344816144533,0.35318415061432823,150,0.035364681261043335,0.0010702550018618232,150,nan,nan,0,10.906442044548667,0.03178069590221552,150,4.889026366937534,0.07267855212252877,150,9.716550186029998,1.4552482250689998e-16,150,5.81818181818,0.0,150,0.794343434343653,0.036277695052669603,150,1.5556767676767065,0.04128440134441181,150,0.13652777777781827,0.006235228837173422,150,0.2673819444444267,0.007095756481068509,150,3.788856623369817,0.0,3.788856623369817,0.2111433766301829
8,4,5,0.5,5.0,3.0,0.4567158709226866,0.0023509125268988164,150,0.2591054260495133,0.00014877831357644217,150,0.30968200690089337,0.0043922090455745365,150,0.3127584466277933,0.0032843390591504834,150,0.5263902392934,0.004781406546390905,150,0.13049217233778665,0.002897450450646685,150,13.675308874119867,0.4804692784120231,150,0.04144032992157,0.0014559675103379196,150,nan,nan,0,12.687257355156667,0.016040697203778334,150,3.6010167073388666,0.05906347762742886,150,12.145687732500003,1.4552482250689998e-16,150,5.81818181818,0.0,150,0.9893333333333986,0.0397293824714728,150,1.76638383838386,0.04394252251519415,150,0.1700416666667433,0.006828487612278095,150,0.303597222222262,0.00755262105729367,150,2.9400424598485366,0.0,2.9400424598485366,0.05995754015146337
8,4,5,0.5,6.0,3.0,0.44996761704616667,0.0024031419523673127,150,0.26065006581197336,0.0001277634409484906,150,0.19147209857972,0.002041500228234206,150,0.28993463387965995,0.0037647796532596194,150,0.49432448890186664,0.005105111230301873,150,0.15125817469619002,0.003668789297375445,150,11.8076260048074,0.38852161924118034,150,0.03578068486306266,0.0011773382401246816,150,nan,nan,0,15.054605082352664,0.013604914696619404,150,3.7106925045774664,0.05639877009685973,150,14.574825279099999,1.4552482250689998e-16,150,5.81818181818,0.0,150,0.9611313131314959,0.04069243640670201,150,1.7122424242422865,0.04575983061707932,150,0.16519444444448267,0.006994012507396872,150,0.29429166666665735,0.007864970887301304,150,2.702945276411971,0.0,2.702945276411971,0.2970547235880292
8,4,5,0.5,7.0,3.0,0.44571735662564,0.0024535940726601287,150,0.2621038653054267,7.797288136594704e-05,150,0.13106180618845334,0.0009875909123276704,150,0.2791675703685533,0.0038168626135477507,150,0.4796800222232333,0.0051238911886032305,150,0.16147079596895134,0.0038552697161200714,150,11.173942265752533,0.38406007354188754,150,0.033860431108345336,0.0011638184046736926,150,nan,nan,0,17.401707579289333,0.011731498426617328,150,3.6381364485961996,0.056112582407641304,150,17.0039628256,0.0,150,5.81818181818,0.0,150,0.9732525252522807,0.042093022637314674,150,1.696727272727013,0.0446091774560803,150,0.16727777777781133,0.007234738265782136,150,0.2916250000000153,0.00766720237526238,150,2.529139918502574,0.0,2.529139918502574,0.4708600814974262
8,4,5,0.5,8.0,2.0,0.4721884097208066,0.002519458423222462,150,0.26277439620104664,5.859261590687394e-06,150,0.092411086835568,0.00010783440054971377,150,0.3511960688805067,0.0030045675817509626,150,0.5780237162586934,0.003901483550987209,150,0.10361518430928401,0.0018443669074531684,150,20.236098533647933,0.4978273982498143,150,0.06132151070803134,0.0015085678734834546,150,nan,nan,0,19.586601031896667,0.004831808988794177,150,2.3995903184800667,0.03971330357569389,150,19.433100372099997,2.9104964501379997e-16,150,5.81818181818,0.0,150,1.4877575757576003,0.040958425097050055,150,2.3928888888888467,0.03684407929362917,150,0.25570833333331405,0.007039729313548171,150,0.4112777777777666,0.006332576128577594,150,2.4345153262451493,0.0,2.4345153262451493,-0.4345153262451493
8,4,5,0.5,9.0,2.0,0.47330278683944677,0.0026917305355520543,150,0.2629552199795334,5.2890481741306075e-06,150,0.073078094436766,6.842303507598601e-05,150,0.34618990844259334,0.0033626435083975955,150,0.5704240142093533,0.004367871780300682,150,0.10806407966046198,0.0020851922817605477,150,19.871167003535064,0.5332751055671083,150,0.06021565758647533,0.00161598516838447,150,nan,nan,0,21.996652792249332,0.004503613283832251,150,2.373604558771333,0.04211766436842299,150,21.862237918599998,2.9104964501379997e-16,150,5.81818181818,0.0,150,1.4572121212123936,0.044341113325061444,150,2.424565656565514,0.03843783933899424,150,0.2504583333333894,0.007621128852737474,150,0.41672222222224,0.006606503636379518,150,2.426399831755914,0.0,2.426399831755914,-0.4263998317559139
8,4,5,0.5,10.0,2.0,0.46640726832518664,0.0024412034239671932,150,0.2630624592537867,3.39953198571417e-06,150,0.05908015226003066,4.629937453340801e-05,150,0.34388948678488,0.0032120742503987387,150,0.5643998043502066,0.004081188433469577,150,0.11025742235408335,0.002036014285054178,150,19.205808308463602,0.47629875802451843,150,0.05819941911655199,0.0014433295697729859,150,nan,nan,0,24.41569644367733,0.0036688766194295785,150,2.4198590749034663,0.036783288747871186,150,24.291375465099996,2.9104964501379997e-16,150,5.81818181818,0.0,150,1.4954343434342285,0.04004185247850305,150,2.35894949494932,0.03789907489195134,150,0.25702777777774866,0.0068821933947346555,150,0.40544444444443334,0.006513903497037653,150,2.3187914862665333,0.0,2.3187914862665333,-0.3187914862665333
