L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
8,4,1,0.5,1.0,onsite_pair_density,1.0,0.0
8,4,1,0.5,1.0,onsite_pair_variance,1.0,0.0
8,4,1,0.5,1.0,charge_fluctuation,1.0,0.220342955820023
8,4,1,0.5,1.0,fock_entropy_normalized,1.0,0.809323010221771
8,4,1,0.5,1.0,pr_normalized,1.0,0.33128163282919504
8,4,1,0.5,1.0,Nres_mean_l1.0,1.0,3.41714285714174
8,4,1,0.5,1.0,Nres_mean_l2.0,1.0,4.57142857143
8,4,1,0.5,1.0,fres_l1.0,1.0,0.7475
8,4,1,0.5,1.0,fres_l2.0,1.0,1.0
8,5,1,0.625,1.0,onsite_pair_density,1.0,0.0
8,5,1,0.625,1.0,onsite_pair_variance,1.0,0.0
8,5,1,0.625,1.0,charge_fluctuation,1.0,0.2097925559861
8,5,1,0.625,1.0,fock_entropy_normalized,1.0,0.814843211390584
8,5,1,0.625,1.0,pr_normalized,1.0,0.357265634048803
8,5,1,0.625,1.0,Nres_mean_l1.0,1.0,3.2582142857147782
8,5,1,0.625,1.0,Nres_mean_l2.0,1.0,4.28571428571
8,5,1,0.625,1.0,fres_l1.0,1.0,0.76025
8,5,1,0.625,1.0,fres_l2.0,1.0,1.0
8,6,1,0.75,1.0,onsite_pair_density,1.0,0.0
8,6,1,0.75,1.0,onsite_pair_variance,1.0,0.0
8,6,1,0.75,1.0,charge_fluctuation,1.0,0.167137688029659
8,6,1,0.75,1.0,fock_entropy_normalized,1.0,0.804883304778592
8,6,1,0.75,1.0,pr_normalized,1.0,0.412384690915258
8,6,1,0.75,1.0,Nres_mean_l1.0,1.0,2.589000000001076
8,6,1,0.75,1.0,Nres_mean_l2.0,1.0,3.4285714285700006
8,6,1,0.75,1.0,fres_l1.0,1.0,0.755125
8,6,1,0.75,1.0,fres_l2.0,1.0,1.0
8,7,1,0.875,1.0,onsite_pair_density,1.0,0.0
8,7,1,0.875,1.0,onsite_pair_variance,1.0,0.0
8,7,1,0.875,1.0,charge_fluctuation,1.0,0.0996693355799714
8,7,1,0.875,1.0,fock_entropy_normalized,1.0,0.8300004577619841
8,7,1,0.875,1.0,pr_normalized,1.0,0.627773847062705
8,7,1,0.875,1.0,Nres_mean_l1.0,1.0,1.50675
8,7,1,0.875,1.0,Nres_mean_l2.0,1.0,2.0
8,7,1,0.875,1.0,fres_l1.0,1.0,0.753375
8,7,1,0.875,1.0,fres_l2.0,1.0,1.0
8,8,1,1.0,1.0,onsite_pair_density,1.0,0.0
8,8,1,1.0,1.0,onsite_pair_variance,1.0,0.0
8,8,1,1.0,1.0,charge_fluctuation,1.0,0.0
8,8,1,1.0,1.0,pr_normalized,1.0,1.0
8,8,1,1.0,1.0,Nres_mean_l1.0,1.0,0.0
8,8,1,1.0,1.0,Nres_mean_l2.0,1.0,0.0
8,4,1,0.5,2.0,onsite_pair_density,1.0,0.0
8,4,1,0.5,2.0,onsite_pair_variance,1.0,0.0
8,4,1,0.5,2.0,charge_fluctuation,1.0,0.202027295683163
8,4,1,0.5,2.0,fock_entropy_normalized,1.0,0.750546159981037
8,4,1,0.5,2.0,pr_normalized,1.0,0.23973377336369997
8,4,1,0.5,2.0,Nres_mean_l1.0,1.0,2.01257142857131
8,4,1,0.5,2.0,Nres_mean_l2.0,1.0,3.4405714285704097
8,4,1,0.5,2.0,fres_l1.0,1.0,0.44025
8,4,1,0.5,2.0,fres_l2.0,1.0,0.752625
8,5,1,0.625,2.0,onsite_pair_density,1.0,0.0
8,5,1,0.625,2.0,onsite_pair_variance,1.0,0.0
8,5,1,0.625,2.0,charge_fluctuation,1.0,0.19186051085072597
8,5,1,0.625,2.0,fock_entropy_normalized,1.0,0.7555856181885751
8,5,1,0.625,2.0,pr_normalized,1.0,0.26248425922256596
8,5,1,0.625,2.0,Nres_mean_l1.0,1.0,1.913035714286072
8,5,1,0.625,2.0,Nres_mean_l2.0,1.0,3.24053571428611
8,5,1,0.625,2.0,fres_l1.0,1.0,0.446375
8,5,1,0.625,2.0,fres_l2.0,1.0,0.756125
8,6,1,0.75,2.0,onsite_pair_density,1.0,0.0
8,6,1,0.75,2.0,onsite_pair_variance,1.0,0.0
8,6,1,0.75,2.0,charge_fluctuation,1.0,0.153803723735061
8,6,1,0.75,2.0,fock_entropy_normalized,1.0,0.74606642182994
8,6,1,0.75,2.0,pr_normalized,1.0,0.32354560112586295
8,6,1,0.75,2.0,Nres_mean_l1.0,1.0,1.5231428571433718
8,6,1,0.75,2.0,Nres_mean_l2.0,1.0,2.583428571429623
8,6,1,0.75,2.0,fres_l1.0,1.0,0.44425
8,6,1,0.75,2.0,fres_l2.0,1.0,0.7535
8,7,1,0.875,2.0,onsite_pair_density,1.0,0.0
8,7,1,0.875,2.0,onsite_pair_variance,1.0,0.0
8,7,1,0.875,2.0,charge_fluctuation,1.0,0.0938238037286312
8,7,1,0.875,2.0,fock_entropy_normalized,1.0,0.7783622060690809
8,7,1,0.875,2.0,pr_normalized,1.0,0.534185432457685
8,7,1,0.875,2.0,Nres_mean_l1.0,1.0,0.87525
8,7,1,0.875,2.0,Nres_mean_l2.0,1.0,1.4905
8,7,1,0.875,2.0,fres_l1.0,1.0,0.437625
8,7,1,0.875,2.0,fres_l2.0,1.0,0.74525
8,8,1,1.0,2.0,onsite_pair_density,1.0,0.0
8,8,1,1.0,2.0,onsite_pair_variance,1.0,0.0
8,8,1,1.0,2.0,charge_fluctuation,1.0,0.0
8,8,1,1.0,2.0,pr_normalized,1.0,1.0
8,8,1,1.0,2.0,Nres_mean_l1.0,1.0,0.0
8,8,1,1.0,2.0,Nres_mean_l2.0,1.0,0.0
8,4,1,0.5,3.0,onsite_pair_density,1.0,0.0
8,4,1,0.5,3.0,onsite_pair_variance,1.0,0.0
8,4,1,0.5,3.0,charge_fluctuation,1.0,0.180065019023596
8,4,1,0.5,3.0,fock_entropy_normalized,1.0,0.6670224356551271
8,4,1,0.5,3.0,pr_normalized,1.0,0.16522990991308012
8,4,1,0.5,3.0,Nres_mean_l1.0,1.0,1.4028571428582126
8,4,1,0.5,3.0,Nres_mean_l2.0,1.0,2.5594285714273775
8,4,1,0.5,3.0,fres_l1.0,1.0,0.306875
8,4,1,0.5,3.0,fres_l2.0,1.0,0.559875
8,5,1,0.625,3.0,onsite_pair_density,1.0,0.0
8,5,1,0.625,3.0,onsite_pair_variance,1.0,0.0
8,5,1,0.625,3.0,charge_fluctuation,1.0,0.16839244245861398
8,5,1,0.625,3.0,fock_entropy_normalized,1.0,0.6625197426963529
8,5,1,0.625,3.0,pr_normalized,1.0,0.17750519771906728
8,5,1,0.625,3.0,Nres_mean_l1.0,1.0,1.3023214285714921
8,5,1,0.625,3.0,Nres_mean_l2.0,1.0,2.34428571428665
8,5,1,0.625,3.0,fres_l1.0,1.0,0.303875
8,5,1,0.625,3.0,fres_l2.0,1.0,0.547
8,6,1,0.75,3.0,onsite_pair_density,1.0,0.0
8,6,1,0.75,3.0,onsite_pair_variance,1.0,0.0
