L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value,U_at_max_Wstar,delta_U_maximum_minus_Wstar
8,7,1,0.875,1.0,onsite_pair_density,1.0,0.0,1.0,0.0
8,7,1,0.875,1.0,onsite_pair_variance,1.0,0.0,1.0,0.0
8,7,1,0.875,1.0,charge_fluctuation,1.0,0.0996693355799714,1.0,0.0
8,7,1,0.875,1.0,fock_entropy_normalized,1.0,0.8300004577619841,1.0,0.0
8,7,1,0.875,1.0,pr_normalized,1.0,0.627773847062705,1.0,0.0
8,7,1,0.875,1.0,Nres_mean_l1.0,1.0,1.50675,1.0,0.0
8,7,1,0.875,1.0,Nres_mean_l2.0,1.0,2.0,1.0,0.0
8,7,1,0.875,1.0,fres_l1.0,1.0,0.753375,1.0,0.0
8,7,1,0.875,1.0,fres_l2.0,1.0,1.0,1.0,0.0
8,7,1,0.875,2.0,onsite_pair_density,1.0,0.0,1.0,0.0
8,7,1,0.875,2.0,onsite_pair_variance,1.0,0.0,1.0,0.0
8,7,1,0.875,2.0,charge_fluctuation,1.0,0.0938238037286312,1.0,0.0
8,7,1,0.875,2.0,fock_entropy_normalized,1.0,0.7783622060690809,1.0,0.0
8,7,1,0.875,2.0,pr_normalized,1.0,0.534185432457685,1.0,0.0
8,7,1,0.875,2.0,Nres_mean_l1.0,1.0,0.87525,1.0,0.0
8,7,1,0.875,2.0,Nres_mean_l2.0,1.0,1.4905,1.0,0.0
8,7,1,0.875,2.0,fres_l1.0,1.0,0.437625,1.0,0.0
8,7,1,0.875,2.0,fres_l2.0,1.0,0.74525,1.0,0.0
8,7,1,0.875,3.0,onsite_pair_density,1.0,0.0,1.0,0.0
8,7,1,0.875,3.0,onsite_pair_variance,1.0,0.0,1.0,0.0
8,7,1,0.875,3.0,charge_fluctuation,1.0,0.0848400145931513,1.0,0.0
8,7,1,0.875,3.0,fock_entropy_normalized,1.0,0.688198635239816,1.0,0.0
8,7,1,0.875,3.0,pr_normalized,1.0,0.430052706273326,1.0,0.0
8,7,1,0.875,3.0,Nres_mean_l1.0,1.0,0.6185,1.0,0.0
8,7,1,0.875,3.0,Nres_mean_l2.0,1.0,1.12375,1.0,0.0
8,7,1,0.875,3.0,fres_l1.0,1.0,0.30925,1.0,0.0
8,7,1,0.875,3.0,fres_l2.0,1.0,0.561875,1.0,0.0
8,7,1,0.875,4.0,onsite_pair_density,1.0,0.0,1.0,0.0
8,7,1,0.875,4.0,onsite_pair_variance,1.0,0.0,1.0,0.0
8,7,1,0.875,4.0,charge_fluctuation,1.0,0.07475547991595231,1.0,0.0
8,7,1,0.875,4.0,fock_entropy_normalized,1.0,0.590677500314154,1.0,0.0
8,7,1,0.875,4.0,pr_normalized,1.0,0.350653771621144,1.0,0.0
8,7,1,0.875,4.0,Nres_mean_l1.0,1.0,0.4615,1.0,0.0
8,7,1,0.875,4.0,Nres_mean_l2.0,1.0,0.8625,1.0,0.0
8,7,1,0.875,4.0,fres_l1.0,1.0,0.23075,1.0,0.0
8,7,1,0.875,4.0,fres_l2.0,1.0,0.43125,1.0,0.0
8,7,1,0.875,5.0,onsite_pair_density,1.0,0.0,1.0,0.0
8,7,1,0.875,5.0,onsite_pair_variance,1.0,0.0,1.0,0.0
8,7,1,0.875,5.0,charge_fluctuation,1.0,0.06587283348704968,1.0,0.0
8,7,1,0.875,5.0,fock_entropy_normalized,1.0,0.511695139226414,1.0,0.0
8,7,1,0.875,5.0,pr_normalized,1.0,0.301577972055801,1.0,0.0
8,7,1,0.875,5.0,Nres_mean_l1.0,1.0,0.37625,1.0,0.0
8,7,1,0.875,5.0,Nres_mean_l2.0,1.0,0.7075,1.0,0.0
8,7,1,0.875,5.0,fres_l1.0,1.0,0.188125,1.0,0.0
