L,N,nmax,W_over_t,observable,U_peak,peak_value,curvature,grid_argmax,fit_window_spread,quality_flag,fit_method,U_peak_ci_low,U_peak_ci_high,bootstrap_valid,n_disorder
7,4,4,0.8,M_existing,0.18483666338181493,0.981811650857886,-1.3499229435341902,0.185,1.2019382670036549e-05,ok,local_smooth_quadratic_3_5_7_stability,0.1785792278714012,0.1910866212014614,1000,300
7,4,4,0.8,S2_existing,0.185310540297518,0.6839719750157246,-0.6872021959072611,0.185,1.0032455306063781e-05,ok,local_smooth_quadratic_3_5_7_stability,0.17905590827936466,0.19152830951441055,1000,300
7,4,4,0.8,Sstar,nan,1.4190603531137258,nan,0.0,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,300
7,4,4,0.8,M_graph_sum,nan,4.843620345316202,nan,0.0,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,300
7,4,4,0.8,S2_graph_sum,nan,3.4138826757361747,nan,0.0,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,300
7,4,4,0.8,M_graph_per_edge,0.0324083254202858,0.9411003302429329,-2.7659874878451176,0.035,0.0026992001598674167,ok,local_smooth_quadratic_3_5_7_stability,0.018580638958498683,0.04158013887011526,809,300
7,4,4,0.8,S2_graph_per_edge,0.03244078021926658,0.6629178654021654,-1.4045108498510186,0.035,0.002809928729923101,unstable_bootstrap,local_smooth_quadratic_3_5_7_stability,0.01811001722767835,0.04166613642687363,780,300
7,4,4,0.9,M_existing,0.20714756706412005,0.9772909221142589,-1.3158494587591345,0.20500000000000002,1.3131185683940005e-05,ok,local_smooth_quadratic_3_5_7_stability,0.20009501933424712,0.21423417499557673,1000,300
7,4,4,0.9,S2_existing,0.2078074928960366,0.6816668053511066,-0.6710673606384708,0.21,1.1301199212276902e-05,ok,local_smooth_quadratic_3_5_7_stability,0.2007686838633636,0.21484926127255494,1000,300
7,4,4,0.9,Sstar,nan,1.4118809318549426,nan,0.005,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,300
7,4,4,0.9,M_graph_sum,nan,4.773291665853287,nan,0.0,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,300
7,4,4,0.9,S2_graph_sum,nan,3.3765188101915853,nan,0.0,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,300
7,4,4,0.9,M_graph_per_edge,0.033554729053370154,0.9281738100705756,-1.5902882731558177,0.035,0.0006583641105908783,ok,local_smooth_quadratic_3_5_7_stability,0.02001724906031758,0.04695973908680557,890,300
7,4,4,0.9,S2_graph_per_edge,0.033529409531259546,0.656089207974555,-0.7940995695514833,0.035,0.0006651438383037458,ok,local_smooth_quadratic_3_5_7_stability,0.02003659272512901,0.04722097392547599,863,300
7,4,4,1.0,M_existing,0.2292173831789703,0.9723755901390277,-1.276421119340431,0.23,1.4592624688752887e-05,ok,local_smooth_quadratic_3_5_7_stability,0.22135185946569674,0.23717608288309375,1000,300
7,4,4,1.0,S2_existing,0.23010025642882115,0.6791496008505408,-0.6555312328068724,0.23,1.2194323915359906e-05,ok,local_smooth_quadratic_3_5_7_stability,0.22226116486444483,0.2379768074582302,1000,300
7,4,4,1.0,Sstar,nan,1.404513205736061,nan,0.005,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,300
7,4,4,1.0,M_graph_sum,nan,4.702520663494133,nan,0.005,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,300
7,4,4,1.0,S2_graph_sum,nan,3.338821219422892,nan,0.005,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,300
7,4,4,1.0,M_graph_per_edge,0.03633744761848847,0.9146939434789625,-2.453364008826975,0.035,0.0010687926354819924,ok,local_smooth_quadratic_3_5_7_stability,0.02232743549231927,0.05347066201020683,881,300
7,4,4,1.0,S2_graph_per_edge,0.03621400338201746,0.6488989801276073,-1.2475398571258647,0.035,0.0009218511360232981,ok,local_smooth_quadratic_3_5_7_stability,0.021940515463457957,0.053632577661776926,857,300
7,4,4,1.1,M_existing,0.2510316005030726,0.9671014575975437,-1.2392214825354362,0.25,1.561093657403978e-05,ok,local_smooth_quadratic_3_5_7_stability,0.24236135781177645,0.2598615319829106,1000,300
7,4,4,1.1,S2_existing,0.2521748434955569,0.6764361847179003,-0.6393276529991401,0.25,1.3054943402757146e-05,ok,local_smooth_quadratic_3_5_7_stability,0.24352802010127728,0.2609283286419072,1000,300
7,4,4,1.1,Sstar,nan,1.3965616666625538,nan,0.005,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,300
