L,N,nmax,W_over_t,predictor,estimate_over_t,ci95_low,ci95_high,mean_cov,mean_var,fraction_cov_negative,fraction_U_positive,fraction_U_negative,valid_states,total_states
4,4,4,0.1,U_mean,0.00023238415978139648,-0.00037787013182493805,0.0008206123472853347,-0.0018425109699115089,10.67522775482491,0.515,0.515,0.485,1000.0,1000.0
4,4,4,0.1,U_pool,0.00017259687682810742,-0.00027167403968619136,0.0006019924606275305,-0.0018425109699115089,10.67522775482491,0.515,0.515,0.485,1000.0,1000.0
4,4,4,0.1,U_edge_mean,0.00014512419886492675,-0.0002358615755100822,0.0005132156007527733,-0.0018425109699115089,10.67522775482491,0.515,0.515,0.485,1000.0,1000.0
4,4,4,0.1,U_edge_pool,5.681492615296299e-05,-0.0001027446531878086,0.00020805066087787447,-0.0018425109699115089,10.67522775482491,0.515,0.515,0.485,1000.0,1000.0
4,4,4,0.2,U_mean,0.0003529359139803414,-0.0007687097329753814,0.0014831655009140555,-0.0028388291139039503,10.667262573554334,0.508,0.508,0.492,1000.0,1000.0
4,4,4,0.2,U_pool,0.0002661253619969769,-0.0005681649305050385,0.0010863022036165667,-0.0028388291139039503,10.667262573554334,0.508,0.508,0.492,1000.0,1000.0
4,4,4,0.2,U_edge_mean,0.0002434191953186079,-0.0004972633501308034,0.0009505488281114969,-0.0028388291139039503,10.667262573554334,0.508,0.508,0.492,1000.0,1000.0
4,4,4,0.2,U_edge_pool,8.778645376533767e-05,-0.00022730915837945539,0.00039567288105266893,-0.0028388291139039503,10.667262573554334,0.508,0.508,0.492,1000.0,1000.0
4,4,4,0.3,U_mean,0.0003590543980652616,-0.0011631894938306713,0.0018862423887882809,-0.002689467104561964,10.650034160627321,0.507,0.507,0.493,1000.0,1000.0
4,4,4,0.3,U_pool,0.0002525313124820574,-0.0008815242871455461,0.0014088322531259354,-0.002689467104561964,10.650034160627321,0.507,0.507,0.493,1000.0,1000.0
4,4,4,0.3,U_edge_mean,0.0003044622999183685,-0.0007803488136236844,0.0013530056675664136,-0.002689467104561964,10.650034160627321,0.507,0.507,0.493,1000.0,1000.0
4,4,4,0.3,U_edge_pool,9.910495175002245e-05,-0.0003556575581443196,0.0005524359346865667,-0.002689467104561964,10.650034160627321,0.507,0.507,0.493,1000.0,1000.0
4,4,4,0.4,U_mean,6.346478840662097e-05,-0.0016615772443294235,0.0018492826071330984,0.0017687860585873642,10.603308284728305,0.497,0.497,0.503,1000.0,1000.0
4,4,4,0.4,U_pool,-0.0001668145460917047,-0.0014671356499063937,0.0012110268373868528,0.0017687860585873642,10.603308284728305,0.497,0.497,0.503,1000.0,1000.0
4,4,4,0.4,U_edge_mean,0.0002719002247845331,-0.0010936950016598368,0.0015836126547572058,0.0017687860585873642,10.603308284728305,0.497,0.497,0.503,1000.0,1000.0
4,4,4,0.4,U_edge_pool,3.2129875234676255e-05,-0.0005475117069667653,0.0005827711905662381,0.0017687860585873642,10.603308284728305,0.497,0.497,0.503,1000.0,1000.0
4,4,4,0.5,U_mean,-0.0003927268206026789,-0.0024042093990732133,0.0016653120668264606,0.008786173015403005,10.532347648363052,0.493,0.493,0.507,1000.0,1000.0
