L,N,nmax,series,scope,n_matched,rmse_to_entropy,rmse_ci95_low,rmse_ci95_high,mae_to_entropy,bias_to_entropy
7,4,4,U_mean,all_entropy_points,24,0.317069574216441,0.31213566050045655,0.3221532935686709,0.30941496955743886,-0.30941496955743886
7,4,4,U_pool,all_entropy_points,24,0.3154002567436628,0.3108420529085676,0.3202380627792828,0.3079606416697645,-0.3079606416697645
7,4,4,U_edge_mean,all_entropy_points,24,0.3154509904224826,0.3120311383962246,0.3189794937171178,0.30798294978302915,-0.30798294978302915
7,4,4,U_edge_pool,all_entropy_points,24,0.3154198324899643,0.3121180234365255,0.31892821871767973,0.30798280299216285,-0.30798280299216285
7,4,4,U_mean,common_with_M,17,0.3446923034339281,0.3382907811704185,0.3509253511284492,0.34306350333589064,-0.34306350333589064
7,4,4,U_pool,common_with_M,17,0.3424889678455837,0.3365349029827805,0.34838804085969294,0.3409640289240479,-0.3409640289240479
7,4,4,U_edge_mean,common_with_M,17,0.3425559602257526,0.33796030922423276,0.347104546958433,0.3410004590583912,-0.3410004590583912
7,4,4,U_edge_pool,common_with_M,17,0.34247137553496554,0.3378046632897783,0.3469635772166012,0.3409373857530719,-0.3409373857530719
7,4,4,M_existing,common_with_M,17,0.07488706751083461,0.06974647800133182,0.08103546553161324,0.06327052032576627,0.015409326633456833
7,5,5,U_mean,all_entropy_points,25,0.29556786730078194,0.2916514166505559,0.2997683986779079,0.2925250272284926,-0.2925250272284926
7,5,5,U_pool,all_entropy_points,25,0.29422135063055566,0.29056439608855084,0.298016302442543,0.29134823034927515,-0.29134823034927515
7,5,5,U_edge_mean,all_entropy_points,25,0.2936036279399669,0.2912565918717852,0.295910394089713,0.29073766078400426,-0.29073766078400426
7,5,5,U_edge_pool,all_entropy_points,25,0.2937506296793039,0.29148292242337265,0.29605977124573685,0.2908961730275297,-0.2908961730275297
7,5,5,U_mean,common_with_M,18,0.3129770349177203,0.3076899248533037,0.3184527439460161,0.31106580740598905,-0.31106580740598905
7,5,5,U_pool,common_with_M,18,0.311220363244019,0.306378551194559,0.3162407258523738,0.3094444133914319,-0.3094444133914319
7,5,5,U_edge_mean,common_with_M,18,0.31039384934596576,0.30733593289212147,0.3133520361375883,0.30857722657910547,-0.30857722657910547
7,5,5,U_edge_pool,common_with_M,18,0.3105449117228876,0.30752733932915827,0.31357864714131223,0.3087435341964841,-0.3087435341964841
7,5,5,M_existing,common_with_M,18,0.05872832181661935,0.05541144853191439,0.06289855421450982,0.051229110361126984,0.007998504254986348
7,6,6,U_mean,all_entropy_points,25,0.26374478769221504,0.2604550670670668,0.26715481284458986,0.26059697230983386,-0.26059697230983386
7,6,6,U_pool,all_entropy_points,25,0.2627100508050123,0.2595688686158333,0.26595829343970273,0.2596971288312178,-0.2596971288312178
7,6,6,U_edge_mean,all_entropy_points,25,0.26301551856659394,0.2610017947449311,0.26504849491502946,0.2599026729593133,-0.2599026729593133
7,6,6,U_edge_pool,all_entropy_points,25,0.26307360757439174,0.2611034509588505,0.26503546424170826,0.2599743933488485,-0.2599743933488485
7,6,6,U_mean,common_with_M,18,0.27950830246453273,0.27511590314427176,0.2837903626714311,0.2772930499515636,-0.2772930499515636
7,6,6,U_pool,common_with_M,18,0.2781333336381375,0.27403089443820455,0.28204704152167714,0.27601936472543953,-0.27601936472543953
7,6,6,U_edge_mean,common_with_M,18,0.2785379842805836,0.27600331902464376,0.28114140612154653,0.2763113118564082,-0.2763113118564082
7,6,6,U_edge_pool,common_with_M,18,0.27857776575153187,0.27603988751249764,0.28106325889046846,0.2763635069528084,-0.2763635069528084
7,6,6,M_existing,common_with_M,18,0.14773565540397945,0.14561555384514616,0.15005827450265002,0.09377358778077556,-0.07582547602834044
7,7,7,U_mean,all_entropy_points,25,0.23298228502478643,0.22964607495915246,0.23644486801046607,0.2295405896527761,-0.2295405896527761
7,7,7,U_pool,all_entropy_points,25,0.23198556889117927,0.2289045276586831,0.23518274947760934,0.22869810028911178,-0.22869810028911178
7,7,7,U_edge_mean,all_entropy_points,25,0.23150257836203308,0.22955533882925208,0.23347377675766598,0.22822084009378474,-0.22822084009378474
7,7,7,U_edge_pool,all_entropy_points,25,0.23158951385619,0.22962985886279716,0.23360817565777411,0.228321817452765,-0.228321817452765
7,7,7,U_mean,common_with_M,18,0.2482114190526025,0.24376481247998738,0.2526477890756482,0.24565600112665276,-0.24565600112665276
7,7,7,U_pool,common_with_M,18,0.24689975050414084,0.24288104774060934,0.2508501287545138,0.24446989142021927,-0.24446989142021927
7,7,7,U_edge_mean,common_with_M,18,0.24628998242558758,0.2438097468125475,0.24882170359688008,0.24383579895782923,-0.24383579895782923
7,7,7,U_edge_pool,common_with_M,18,0.24637594163005183,0.24393716401457638,0.2489399017188058,0.24393944557044506,-0.24393944557044506
7,7,7,M_existing,common_with_M,18,0.040871641064716836,0.03834071374825076,0.04421412538764064,0.03556703366896623,0.011457128482278981
