L,N,nmax,series,intercept,slope,r2,rmse,n,slope_ci95_low,slope_ci95_high,intercept_ci95_low,intercept_ci95_high
7,4,4,U_mean,-0.0008133234470963016,-0.00020593902149199837,0.005092473734679803,0.001493400327642503,18,-0.004895541108134567,0.004377909336595782,-0.005357770491425838,0.003655282215512205
7,4,4,U_pool,-0.0021588963025696347,0.0019243107925134885,0.4938725970454868,0.0010106675336380155,18,-0.0021772025737222984,0.005901894344495197,-0.006782070143365627,0.002549659483115582
7,4,4,U_edge_mean,-0.0007180904576472029,0.0010012565648382988,0.7256749294325022,0.0003193873454724918,18,-0.0020892823481428882,0.004296821937715874,-0.00387032204245883,0.0022607969406976684
7,4,4,U_edge_pool,-0.001435410881048859,0.0014846465506913157,0.8227556277767415,0.00035750696584630463,18,-0.0016670259935054037,0.004842772323913597,-0.004720247255347387,0.0017339600231509318
7,4,4,S_ED,0.24111661737362108,0.062100187063152394,0.95819465271738,0.006769795908285116,17,0.05601032404429531,0.06871882503301675,0.23244693907351632,0.24942700175639482
7,4,4,M_existing,0.0288487231521863,0.20236478018466791,0.9991299540622554,0.0030981730359592842,18,0.19595394429526972,0.20944315328543525,0.019086525593593258,0.03820017761929239
7,5,5,U_mean,0.00044998255502360734,-0.0009948959277677554,0.17795124209740143,0.0011093959299940817,18,-0.006329858036834054,0.00401122591626579,-0.004252153265893816,0.005448018541295823
7,5,5,U_pool,-0.0022537206939884148,0.0016263751410619674,0.3222592236881018,0.0012236592437628838,18,-0.003004599904607282,0.005967670220743547,-0.006959661681535213,0.002476274283878048
7,5,5,U_edge_mean,-0.00015490610148946536,0.0008799340621695516,0.5115873438607299,0.000446061074594007,18,-0.002433110648839597,0.0040536562707048154,-0.0032840154800070197,0.0030765639341712716
7,5,5,U_edge_pool,-0.0007529891939922961,0.001141616168305423,0.7219359658197568,0.0003675816471617636,18,-0.0020066506091246735,0.004339387868955834,-0.003851785779527531,0.0023747895407224776
7,5,5,S_ED,0.20217848366078095,0.06527013819358482,0.9933837299709757,0.00276358775591153,18,0.06188414092963969,0.06868434252444834,0.19722177073257968,0.2070982541223677
7,5,5,M_existing,0.025340797162659967,0.17729207198334668,0.999171500785057,0.0026486586115202515,18,0.1711440150052188,0.18304821431929844,0.017284821180423803,0.03401693572533216
7,6,6,U_mean,-0.0027778147183690855,0.0015093800063149657,0.3477092849308866,0.0010725602199832655,18,-0.002558029453392953,0.005550805349030799,-0.006968316819354046,0.0018394165481281325
7,6,6,U_pool,-0.004356691297476205,0.0032382053428187335,0.6902804402292191,0.001125347255440769,18,-0.00041434094700888415,0.0069220954955966085,-0.008449014134772777,-5.8257824430266705e-05
7,6,6,U_edge_mean,-0.001708672206154286,0.001456407632339542,0.7279388150946478,0.0004619334779449339,18,-0.001204448065620075,0.0041321098407390965,-0.004541478373198806,0.0010743900232068604
7,6,6,U_edge_pool,-0.002062173325572887,0.0016390173432598014,0.7462717028830743,0.000495826977227272,18,-0.0009006749729896573,0.004143581367174723,-0.004663542678426176,0.0006559464517641857
7,6,6,S_ED,0.16286485454510666,0.06917627739303492,0.9987040658557889,0.001292828397114111,18,0.06630117089431913,0.07204568191581458,0.15889943416917013,0.16688205661541863
7,6,6,M_existing,0.19003354200813868,0.025762402337170875,0.012518742661188575,0.12435699264215128,22,0.022232122225328863,0.029315680135675277,0.18429746683670298,0.1955802198104887
7,7,7,U_mean,0.00026767640681810807,-0.0009355639739497406,0.36531247491297103,0.0006397817650033308,18,-0.005365866592900016,0.0034099951880823013,-0.0037825601210075962,0.004493830223082375
7,7,7,U_pool,-0.0016078878224052996,0.00091999598705449,0.3109540464985181,0.0007105138664543928,18,-0.0028626218724447402,0.004740402842891581,-0.005388771892430226,0.002355599367916031
7,7,7,U_edge_mean,-0.0006171091376502774,0.000703822518954514,0.5353367369290689,0.00034019618686455266,18,-0.0020396799308975183,0.0034526245468129405,-0.003449187025583368,0.0021213820375530325
7,7,7,U_edge_pool,-0.00107902462703336,0.0009209551715406809,0.5841231295466109,0.0004031617401122619,18,-0.001778007916858698,0.0036593239475392865,-0.0038386801393558863,0.0015873807081907116
7,7,7,S_ED,0.13310674322188862,0.06743833560882742,0.9971748882872034,0.001862299933148308,18,0.06499702518663997,0.06980999492934935,0.1297621116391624,0.13652800991694958
7,7,7,M_existing,0.02040782749063247,0.1426844230109699,0.9992247457947445,0.0020619478470790967,18,0.1383192770925391,0.14713506910280633,0.01384633768333689,0.02664627020692281
