L,N,nmax,W_over_t,observable,U_peak,peak_value,curvature,grid_argmax,fit_window_spread,quality_flag,fit_method,U_peak_ci_low,U_peak_ci_high,bootstrap_valid,n_disorder
7,4,4,0.8,M_existing,0.18426759520865915,0.9808846593149061,-1.3431557219916164,0.185,1.2078585531205555e-05,ok,local_smooth_quadratic_3_5_7_stability,0.17435632295895787,0.19575150064447688,500,100
7,4,4,0.8,S2_existing,0.18481061173022353,0.6834993559841197,-0.6843021864143058,0.185,1.0077597313390418e-05,ok,local_smooth_quadratic_3_5_7_stability,0.17491193419432147,0.19625536052080486,500,100
7,4,4,0.8,Sstar,nan,1.4229505068802513,nan,0.015,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,4,4,0.8,M_graph_sum,nan,4.870194950876247,nan,0.015,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,4,4,0.8,S2_graph_sum,nan,3.433037640626178,nan,0.015,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,4,4,0.8,M_graph_per_edge,nan,0.940276562972493,nan,0.005,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,4,4,0.8,S2_graph_per_edge,nan,0.6624694475082357,nan,0.005,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,4,4,1.2,M_existing,0.271080197113428,0.9596743918262706,-1.189345300073387,0.27,1.6726191624849562e-05,ok,local_smooth_quadratic_3_5_7_stability,0.2559238054910866,0.28865016503418756,500,100
7,4,4,1.2,S2_existing,0.2727271419800654,0.6725903298663887,-0.6156974063907196,0.275,1.4295303610134535e-05,ok,local_smooth_quadratic_3_5_7_stability,0.257774674185822,0.2902342870943806,500,100
7,4,4,1.2,Sstar,nan,1.3902824320137026,nan,0.015,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,4,4,1.2,M_graph_sum,nan,4.580301909181495,nan,0.015,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,4,4,1.2,S2_graph_sum,nan,3.2772115739200522,nan,0.015,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,4,4,1.2,M_graph_per_edge,nan,0.8857114520158011,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,4,4,1.2,S2_graph_per_edge,nan,0.6331552496929629,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,4,4,1.7,M_existing,0.3728884149453317,0.9268252608955883,-0.9880540959974912,0.375,2.1267506300270966e-05,ok,local_smooth_quadratic_3_5_7_stability,0.35112549492850476,0.3981894652009417,500,100
7,4,4,1.7,S2_existing,0.3768791849446181,0.6552962421305443,-0.5271039655852097,0.375,1.785241002927318e-05,ok,local_smooth_quadratic_3_5_7_stability,0.3554452084203387,0.4021016558193197,500,100
7,4,4,1.7,Sstar,0.087750998063464,1.3485541363638163,-7.585878322667085,0.09,0.0008756513278860983,unstable_bootstrap,local_smooth_quadratic_3_5_7_stability,0.039926156820771275,0.1377231742813624,313,100
