L,N,nmax,W_over_t,observable,U_peak,peak_value,curvature,grid_argmax,quality_flag,fit_method,U_peak_ci_low,U_peak_ci_high,bootstrap_valid,n_disorder
7,4,4,0.8,M_sum,nan,4.811470842055401,nan,0.005,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,300
7,4,4,0.8,S2_sum,0.029181648871676347,3.38994033547991,-10.517398280074497,0.035,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.015963164554936387,0.04212212007680434,495,300
7,4,4,0.8,Sstar,0.07144622392766427,1.417653426418988,-2.175260432268768,0.07,ok,local_polynomial_smoothing_then_quadratic,0.04233753716264447,0.09169599514813549,997,300
7,4,4,1.2,M_sum,nan,4.5335116301373715,nan,0.005,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,300
7,4,4,1.2,S2_sum,nan,3.2403966962172,nan,0.005,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,300
7,4,4,1.2,Sstar,0.1403965640000861,1.3942029528247315,-0.9958742223482507,0.14,ok,local_polynomial_smoothing_then_quadratic,0.11251300758541781,0.19721491646326675,999,300
7,4,4,1.6,M_sum,nan,4.24509489242151,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,300
7,4,4,1.6,S2_sum,nan,3.0793307962711984,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,300
7,4,4,1.6,Sstar,0.25171761362783296,1.3678045509090089,-1.0981981286191185,0.255,ok,local_polynomial_smoothing_then_quadratic,0.19219937532774858,0.26922844787395256,1000,300
7,4,4,2.0,M_sum,0.017586939435310117,3.969558557381309,-2.4843292559813777,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.011529781146315116,0.07231189534063115,620,300
7,4,4,2.0,S2_sum,0.018418089096945974,2.92013817635247,-1.3480782630334769,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.01146449316168697,0.07994228597051305,635,300
7,4,4,2.0,Sstar,0.32988815432213425,1.3469242148343346,-1.1691687915700573,0.33,ok,local_polynomial_smoothing_then_quadratic,0.22726818074337274,0.3529314688451372,1000,300
7,4,4,2.5,M_sum,0.022632365561128114,3.655938917275239,-4.56029280726612,0.025,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.013212831325636437,0.08851714990317373,729,300
7,4,4,2.5,S2_sum,0.023006739260330172,2.73295601048482,-3.2365407254776812,0.025,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.013705011625581862,0.09559146952258607,706,300
7,4,4,2.5,Sstar,0.2417918751288055,1.3350840861152855,-0.4416673575811434,0.245,wide_ci,local_polynomial_smoothing_then_quadratic,0.15781744557080934,0.42747126185691964,1000,300
7,5,5,0.8,M_sum,nan,5.500819632366542,nan,0.0,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,300
