L,N,nmax,observable,quality_flag,count,total_W
7,4,4,M_sum,boundary,3,5
7,4,4,M_sum,unstable_bootstrap,2,5
7,4,4,S2_sum,boundary,2,5
7,4,4,S2_sum,unstable_bootstrap,3,5
7,4,4,Sstar,ok,4,5
7,4,4,Sstar,wide_ci,1,5
7,5,5,M_sum,boundary,5,5
7,5,5,S2_sum,boundary,5,5
7,5,5,Sstar,boundary,1,5
7,5,5,Sstar,ok,3,5
7,5,5,Sstar,unstable_bootstrap,1,5
7,6,6,M_sum,boundary,5,5
7,6,6,S2_sum,boundary,5,5
7,6,6,Sstar,boundary,3,5
7,6,6,Sstar,ok,2,5
7,7,7,M_sum,boundary,5,5
7,7,7,S2_sum,boundary,5,5
7,7,7,Sstar,boundary,5,5
