L,N,nmax,observable,Wmin,Wmax,n_points,intercept_q,eta_direct,R2,RMSE
7,4,4,S2_existing,0.8,2.5,18,-0.004788548706918332,1.0234804377689595,0.9999796968269515,0.00048439593641781025
7,4,4,S2_existing,1.0,2.5,16,-0.005692149883071596,1.0255905189950796,0.9999840019359589,0.0003778723935562031
7,4,4,S2_existing,1.2,2.5,14,-0.00662619658993552,1.027703913299607,0.9999879347355237,0.000283787400162645
7,4,4,S2_existing,1.4,2.5,12,-0.007584160184675478,1.029807056167994,0.9999914160482676,0.00020270876161273047
7,4,4,M_graph_per_edge,0.8,2.5,18,-0.0009020276088532291,0.16246328655445916,0.9931095586044593,0.001421394901422321
7,4,4,M_graph_per_edge,1.0,2.5,16,-0.003400198390020628,0.16831037620137668,0.9950141454207251,0.0010974886681713232
7,4,4,M_graph_per_edge,1.2,2.5,14,-0.004418459021979894,0.17062311025943136,0.9933057485631756,0.0011135287800378365
7,4,4,M_graph_per_edge,1.4,2.5,12,-0.0027786128397306294,0.16701081718056618,0.9902834235918409,0.0011114569379605977
7,4,4,S2_graph_per_edge,0.8,2.5,17,-0.00182643330191715,0.16332434922664973,0.9941818284315981,0.0012311687568723954
7,4,4,S2_graph_per_edge,1.0,2.5,16,-0.0026812377860793925,0.1653045068663127,0.993899896189196,0.0011929327522136569
7,4,4,S2_graph_per_edge,1.2,2.5,14,-0.0035368937662247683,0.16724864378183887,0.9914446360287187,0.0012350987218870781
7,4,4,S2_graph_per_edge,1.4,2.5,12,-0.001454715124424636,0.1626674528608114,0.9877322377811014,0.0012179652192633723
7,5,5,S2_existing,0.8,2.5,18,-0.004053801968402257,1.0230248786259035,0.9999827230184523,0.0003912945655585938
7,5,5,S2_existing,1.0,2.5,16,-0.004791818500391066,1.0249915843633317,0.999986668291274,0.00030209506720611063
7,5,5,S2_existing,1.2,2.5,14,-0.0055441994432653225,1.026934221247136,0.9999901319304243,0.00022480329802762676
7,5,5,S2_existing,1.4,2.5,12,-0.006307092266920551,1.0288454443537394,0.9999931015520684,0.00015921105337376632
7,6,6,S2_existing,0.8,2.5,18,-0.003508780773668714,1.0226236595965448,0.9999848238375861,0.00032671703503434014
7,6,6,S2_existing,1.0,2.5,16,-0.004129946599204072,1.0244807455474105,0.9999884744351445,0.00025025480763443453
7,6,6,S2_existing,1.2,2.5,14,-0.004756703309174716,1.0262962824644954,0.9999915967177532,0.00018484803158237
7,6,6,S2_existing,1.4,2.5,12,-0.005385007532868833,1.0280622365372005,0.9999941899477576,0.0001302169745728358
7,6,6,M_graph_sum,0.8,2.5,4,-0.0042610878011461115,0.06710404391659121,0.9391659893482502,0.00027727311104770096
7,6,6,M_graph_sum,1.0,2.5,4,-0.0042610878011461115,0.06710404391659121,0.9391659893482502,0.00027727311104770096
7,6,6,M_graph_sum,1.2,2.5,4,-0.0042610878011461115,0.06710404391659121,0.9391659893482502,0.00027727311104770096
7,6,6,M_graph_sum,1.4,2.5,4,-0.0042610878011461115,0.06710404391659121,0.9391659893482502,0.00027727311104770096
7,6,6,S2_graph_sum,0.8,2.5,4,-0.004545181951526863,0.06756045846822226,0.9423866752051097,0.0002712042586487452
7,6,6,S2_graph_sum,1.0,2.5,4,-0.004545181951526863,0.06756045846822226,0.9423866752051097,0.0002712042586487452
7,6,6,S2_graph_sum,1.2,2.5,4,-0.004545181951526863,0.06756045846822226,0.9423866752051097,0.0002712042586487452
7,6,6,S2_graph_sum,1.4,2.5,4,-0.004545181951526863,0.06756045846822226,0.9423866752051097,0.0002712042586487452
7,7,7,S2_existing,0.8,2.5,18,-0.0030882226097004666,1.0222597878804471,0.9999863895810509,0.000279290131768688
7,7,7,S2_existing,1.0,2.5,16,-0.0036224557268030875,1.0240285488957543,0.9999897943675697,0.00021258202826059287
7,7,7,S2_existing,1.2,2.5,14,-0.004157021062481901,1.0257433267324685,0.9999926347513683,0.0001562355355156564
7,7,7,S2_existing,1.4,2.5,12,-0.004690610653444998,1.027404106394968,0.9999949819640763,0.0001092689281406116
