L,N,nmax,observable,Wmin,Wmax,n_points,intercept_b,slope_c,cov_bb,cov_bc,cov_cc,slope_ci_low,slope_ci_high,R2,RMSE,eta_to_M,eta_ci_low,eta_ci_high,bootstrap_valid
7,4,4,M_existing,0.8,2.5,18,0.028848723152186093,0.20236478018466802,6.667811032715609e-06,-3.677511377375183e-06,2.2287947741667774e-06,0.19304551237075182,0.21186207575753843,0.9991299540622554,0.0030981730359592448,1.0,1.0,1.0,1000
7,4,4,M_existing,1.0,2.5,16,0.03401927061651058,0.1997578009969245,6.483047959835429e-06,-3.4642241006754194e-06,1.9795566289573826e-06,0.1903586824366893,0.20936976359315204,0.9993059560949922,0.0024267634765564225,1.0,1.0,1.0,1000
7,4,4,M_existing,1.2,2.5,14,0.03935069866459035,0.19715706535875469,6.1531531799773755e-06,-3.1752673313690786e-06,1.7163607196589613e-06,0.18769109320940627,0.20695061369393505,0.9994704157432693,0.0018294544004524885,1.0,1.0,1.0,1000
7,4,4,M_existing,1.4,2.5,12,0.04479358150963779,0.19458554326267244,5.689925886279093e-06,-2.829244915829382e-06,1.4508948286304524e-06,0.18506825873974914,0.2045331015655225,0.9996169562286681,0.0013149079831372072,1.0,1.0,1.0,1000
7,4,4,S2_existing,0.8,2.5,18,0.024692129453085115,0.20714392450386065,5.01513428920434e-06,-2.766007212430249e-06,1.6763680075334838e-06,0.19797413090168176,0.2162695904764862,0.9993752970500613,0.002686923560340129,1.0236164826450107,1.020437921717043,1.0270180319347268,1000
7,4,4,S2_existing,1.0,2.5,16,0.029159909764958834,0.20489129637454634,4.9068242601152554e-06,-2.621967161893648e-06,1.498266949653513e-06,0.19561839820701182,0.21424285364756848,0.9995005945570191,0.0021112423298189154,1.025698597761901,1.0221944716091664,1.0294859902129097,1000
7,4,4,S2_existing,1.2,2.5,14,0.03378470571406274,0.20263528474152057,4.685886335743366e-06,-2.418100340620705e-06,1.3070812652003812e-06,0.19327968271190896,0.2121482048870702,0.999618154366468,0.0015964988152644345,1.0277860667726897,1.0239450965991665,1.0319480424364436,1000
7,4,4,S2_existing,1.4,2.5,12,0.03852217848618585,0.2003970565770031,4.3633103855232115e-06,-2.1696018491551876e-06,1.1126163329000963e-06,0.19097642185973915,0.2100017204152783,0.999723023802703,0.0011514633284242922,1.0298661103846016,1.0256700665650307,1.0343512172254083,1000
7,4,4,M_graph_per_edge,0.8,2.5,18,0.0037233320723409147,0.032914119208041395,1.1209546745092433e-06,-6.18242411010669e-07,3.746923703094963e-07,0.025244225253648767,0.06652236279720959,0.9944965674830346,0.0012703051371486425,0.1626474684873801,0.12546167096369368,0.3293919144958415,1000
7,4,4,M_graph_per_edge,1.0,2.5,16,0.0023209920150524446,0.03362394253808825,1.4681945689204353e-06,-7.845314490414539e-07,4.483036851665451e-07,0.024794672227274602,0.06876372047235782,0.9944792409010896,0.001154860798265519,0.16832355167248728,0.12418381086395484,0.34533208093909024,1000
7,4,4,M_graph_per_edge,1.2,2.5,14,0.0023230733273017262,0.03362474426748535,2.7562842360088165e-06,-1.4223503031007842e-06,7.688380016760995e-07,0.024761404498283433,0.07344892892438477,0.991905899719994,0.001224432155437121,0.17054800550160581,0.12505779836859127,0.3713668801230313,1000
7,4,4,M_graph_per_edge,1.4,2.5,12,0.004697121096986272,0.03250059762549105,4.155084162189296e-06,-2.0660639480499255e-06,1.059519973358936e-06,0.024812016435118774,0.07623009254642485,0.9900690241120211,0.0011236523639094969,0.1670247289728932,0.12753099899686,0.3864384312392984,1000
