L,N,nmax,observable,quality_flag,count,total_W
7,4,4,M_existing,ok,18,18
7,4,4,M_graph_per_edge,ok,18,18
7,4,4,M_graph_sum,boundary,12,18
7,4,4,M_graph_sum,unstable_bootstrap,6,18
7,4,4,S2_existing,ok,18,18
7,4,4,S2_graph_per_edge,ok,17,18
7,4,4,S2_graph_per_edge,unstable_bootstrap,1,18
7,4,4,S2_graph_sum,boundary,15,18
7,4,4,S2_graph_sum,unstable_bootstrap,3,18
7,4,4,Sstar,boundary,18,18
7,5,5,M_existing,ok,18,18
7,5,5,M_graph_per_edge,boundary,11,18
7,5,5,M_graph_per_edge,unstable_bootstrap,7,18
7,5,5,M_graph_sum,boundary,18,18
7,5,5,S2_existing,ok,18,18
7,5,5,S2_graph_per_edge,boundary,11,18
7,5,5,S2_graph_per_edge,unstable_bootstrap,7,18
7,5,5,S2_graph_sum,boundary,18,18
7,5,5,Sstar,boundary,18,18
7,6,6,M_existing,ok,18,18
7,6,6,M_graph_per_edge,boundary,17,18
7,6,6,M_graph_per_edge,unstable_bootstrap,1,18
7,6,6,M_graph_sum,boundary,12,18
7,6,6,M_graph_sum,ok,4,18
7,6,6,M_graph_sum,unstable_bootstrap,2,18
7,6,6,S2_existing,ok,18,18
7,6,6,S2_graph_per_edge,boundary,18,18
7,6,6,S2_graph_sum,boundary,12,18
7,6,6,S2_graph_sum,ok,4,18
7,6,6,S2_graph_sum,unstable_bootstrap,2,18
7,6,6,Sstar,boundary,15,18
7,6,6,Sstar,ok,1,18
7,6,6,Sstar,unstable_bootstrap,2,18
7,7,7,M_existing,ok,18,18
7,7,7,M_graph_per_edge,boundary,18,18
7,7,7,M_graph_sum,boundary,15,18
7,7,7,M_graph_sum,unstable_bootstrap,3,18
7,7,7,S2_existing,ok,18,18
7,7,7,S2_graph_per_edge,boundary,18,18
7,7,7,S2_graph_sum,boundary,12,18
7,7,7,S2_graph_sum,unstable_bootstrap,6,18
7,7,7,Sstar,boundary,18,18
