L,N,nmax,W_over_t,observable,U_peak,peak_value,curvature,grid_argmax,quality_flag,fit_method,U_peak_ci_low,U_peak_ci_high,bootstrap_valid,n_disorder
7,4,4,0.1,M_sum,nan,5.096524242039911,nan,0.005,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,4,4,0.1,S2_sum,nan,3.533614589272703,nan,0.005,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,4,4,0.1,Sstar,nan,1.4437367504887444,nan,0.005,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,4,4,0.2,M_sum,nan,5.078951467854751,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,4,4,0.2,S2_sum,nan,3.5242939794628496,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,4,4,0.2,Sstar,0.013151426521405316,1.4413206151815001,-17.571225469524617,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.011306796850668856,0.023835401480478413,113,30
7,4,4,0.30000000000000004,M_sum,nan,5.061219258929142,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,4,4,0.30000000000000004,S2_sum,nan,3.516578857311298,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,4,4,0.30000000000000004,Sstar,0.01704936278401868,1.439157020500537,-11.763296438492958,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.013560884234090177,0.03903051010473393,105,30
7,4,4,0.4,M_sum,nan,5.025451840104758,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,4,4,0.4,S2_sum,nan,3.4978665233458184,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,4,4,0.4,Sstar,0.029488026679657164,1.435859164215726,-2.5450413338590825,0.03,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.01489047983225293,0.050554383999541916,158,30
7,4,4,0.5,M_sum,nan,4.98917595713372,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,4,4,0.5,S2_sum,nan,3.480070440455907,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,4,4,0.5,Sstar,0.020660725936204823,1.4326504505526045,-8.165679707172393,0.015,ok,local_polynomial_smoothing_then_quadratic,0.014298004474699456,0.07048550385416569,174,30
7,4,4,0.6,M_sum,0.017172078568780887,4.940369018498357,-62.528909554573794,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.011715211361500867,0.06087995236915858,150,30
7,4,4,0.6,S2_sum,0.017386545796807314,3.454602026408643,-42.95259183947369,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.011912316975242034,0.062279398750809734,152,30
7,4,4,0.6,Sstar,0.06218113392090388,1.4286568588404711,-1.5022594666321738,0.06,ok,local_polynomial_smoothing_then_quadratic,0.014901218420053111,0.0831459476015146,184,30
7,4,4,0.7000000000000001,M_sum,0.018997198912359754,4.8877831180561255,-32.958301674388366,0.02,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.01468228342674488,0.06124436368418685,152,30
7,4,4,0.7000000000000001,S2_sum,0.019475869019569426,3.427189951422116,-22.436860348237705,0.02,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.014336024560775061,0.06202379676654368,155,30
7,4,4,0.7000000000000001,Sstar,nan,1.4245071093581032,0.15727501733935031,0.075,nonnegative_curvature,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,4,4,0.8,M_sum,0.019247229744239196,4.832110418529158,-24.68215420982496,0.02,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.014558661656759848,0.06742359284449671,135,30
7,4,4,0.8,S2_sum,0.019745306636671685,3.398108396751351,-16.598504580446658,0.02,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.0142552246545679,0.06986614255344056,139,30
7,4,4,0.8,Sstar,0.08886459464257551,1.4201330115777753,-1.341938820296137,0.09,ok,local_polynomial_smoothing_then_quadratic,0.02665045321526042,0.1267962937884257,192,30
7,4,4,0.9,M_sum,0.024499469869964135,4.773050726791674,-18.845193912832322,0.025,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.016548053316643507,0.0744783014499528,144,30
