L,N,nmax,W_over_t,U_over_t,quantity,k,mean,stderr,n_disorder
7,4,4,0.8,0.0,M_k,-3,0.02692959910409738,0.0017850815064716376,100
7,4,4,0.8,0.0,M_k,-2,0.17655129906121236,0.004618692374343868,100
7,4,4,0.8,0.0,M_k,-1,0.8793991955418258,0.008963711374326432,100
7,4,4,0.8,0.0,M_k,0,2.3152081390053594,0.009655011075232351,100
7,4,4,0.8,0.0,M_k,1,1.123960065530351,0.006599213649883684,100
7,4,4,0.8,0.0,M_k,2,0.2869227591532359,0.004977421676640798,100
7,4,4,0.8,0.0,M_k,3,0.03450566388155974,0.0014985085380865887,100
7,4,4,0.8,0.005,M_k,-3,0.02752696254319436,0.0017714832843224236,100
7,4,4,0.8,0.005,M_k,-2,0.17574625585135437,0.004631847161451786,100
7,4,4,0.8,0.005,M_k,-1,0.8785990454680381,0.008839202277201898,100
7,4,4,0.8,0.005,M_k,0,2.3097762917870863,0.009524129991374353,100
7,4,4,0.8,0.005,M_k,1,1.122312199673601,0.0071320314596698565,100
7,4,4,0.8,0.005,M_k,2,0.2876099923285171,0.005128636431196281,100
7,4,4,0.8,0.005,M_k,3,0.03479727851424494,0.001466151479748174,100
7,4,4,0.8,0.01,M_k,-3,0.027618184047205886,0.0017635125498699565,100
7,4,4,0.8,0.01,M_k,-2,0.1752170727175634,0.004690626945056649,100
7,4,4,0.8,0.01,M_k,-1,0.8804689131323691,0.009038658926060187,100
7,4,4,0.8,0.01,M_k,0,2.307294469439236,0.009952577051746675,100
7,4,4,0.8,0.01,M_k,1,1.1229708755081402,0.007359361975470054,100
7,4,4,0.8,0.01,M_k,2,0.2881589788329995,0.005049717752958816,100
7,4,4,0.8,0.01,M_k,3,0.03410947240985208,0.0015512153434564468,100
7,4,4,0.8,0.015,M_k,-3,0.027510343837381004,0.0017644521076958758,100
7,4,4,0.8,0.015,M_k,-2,0.1766230820382483,0.0048475119355864205,100
7,4,4,0.8,0.015,M_k,-1,0.8773033604606495,0.008830830658540977,100
7,4,4,0.8,0.015,M_k,0,2.307468985997776,0.01033205574151024,100
7,4,4,0.8,0.015,M_k,1,1.1217416456805922,0.007879940234176167,100
7,4,4,0.8,0.015,M_k,2,0.28742800090968496,0.005048387242058848,100
7,4,4,0.8,0.015,M_k,3,0.03408770884459396,0.001580765827355654,100
7,4,4,0.8,0.02,M_k,-3,0.027008622830144845,0.0017425623149874745,100
7,4,4,0.8,0.02,M_k,-2,0.1770422064084374,0.005103990857863419,100
7,4,4,0.8,0.02,M_k,-1,0.8794617145561167,0.008463593695693501,100
7,4,4,0.8,0.02,M_k,0,2.3030159826659777,0.010706740071005293,100
7,4,4,0.8,0.02,M_k,1,1.1218076799578838,0.008666551269906541,100
7,4,4,0.8,0.02,M_k,2,0.28728437686240177,0.004883947570900984,100
7,4,4,0.8,0.02,M_k,3,0.033975613283182715,0.001659273378142497,100
7,4,4,0.8,0.025,M_k,-3,0.02690111088212638,0.001721939234253725,100
7,4,4,0.8,0.025,M_k,-2,0.17777891594080183,0.005230504027326868,100
7,4,4,0.8,0.025,M_k,-1,0.8803848758273911,0.00872892021939754,100
7,4,4,0.8,0.025,M_k,0,2.2999143027737814,0.011027898317342914,100
7,4,4,0.8,0.025,M_k,1,1.1188069704119987,0.009454469587454413,100
7,4,4,0.8,0.025,M_k,2,0.2870748922734038,0.004826254784504732,100
7,4,4,0.8,0.025,M_k,3,0.034235536615757484,0.0016922732681864268,100
7,4,4,0.8,0.03,M_k,-3,0.027276726738224663,0.0017479075764900594,100
7,4,4,0.8,0.03,M_k,-2,0.17987779665059864,0.005202670967930652,100
7,4,4,0.8,0.03,M_k,-1,0.8831772964845279,0.008881083977711356,100
7,4,4,0.8,0.03,M_k,0,2.2930253789098813,0.011171719441376859,100
7,4,4,0.8,0.03,M_k,1,1.1078444247423163,0.01004329680856502,100
7,4,4,0.8,0.03,M_k,2,0.2875122590725537,0.0049107024897328344,100
7,4,4,0.8,0.03,M_k,3,0.035356851101238644,0.0017056980943209836,100
7,4,4,0.8,0.035,M_k,-3,0.02755308449186993,0.0017642366189951856,100
7,4,4,0.8,0.035,M_k,-2,0.18082830058621355,0.00507407123358805,100
7,4,4,0.8,0.035,M_k,-1,0.885540729128452,0.008565377808884169,100
7,4,4,0.8,0.035,M_k,0,2.2885386423877705,0.011485792430834684,100
7,4,4,0.8,0.035,M_k,1,1.099321227427905,0.01025557406675562,100
7,4,4,0.8,0.035,M_k,2,0.28943530382806637,0.004761309476751537,100
7,4,4,0.8,0.035,M_k,3,0.03491664449765664,0.0016129653076587553,100
7,4,4,0.8,0.04,M_k,-3,0.027737657105223457,0.0017540662411052476,100
7,4,4,0.8,0.04,M_k,-2,0.18224360301565853,0.005183073352224258,100
7,4,4,0.8,0.04,M_k,-1,0.8880618942467836,0.008433154857035755,100
7,4,4,0.8,0.04,M_k,0,2.284613840300784,0.011630673509812405,100
7,4,4,0.8,0.04,M_k,1,1.0899160087189363,0.010978043793348897,100
7,4,4,0.8,0.04,M_k,2,0.2890276951117325,0.004597188836158969,100
7,4,4,0.8,0.04,M_k,3,0.03478747893881428,0.0016294720199838957,100
7,4,4,0.8,0.045,M_k,-3,0.02771615979451121,0.0017311824754289683,100
