L,N,nmax,observable,quality_flag,count,total_W
7,4,4,M_existing,ok,5,5
7,4,4,M_graph_per_edge,boundary,3,5
7,4,4,M_graph_per_edge,ok,2,5
7,4,4,M_graph_sum,boundary,5,5
7,4,4,S2_existing,ok,5,5
7,4,4,S2_graph_per_edge,boundary,3,5
7,4,4,S2_graph_per_edge,ok,2,5
7,4,4,S2_graph_sum,boundary,5,5
7,4,4,Sstar,boundary,4,5
7,4,4,Sstar,unstable_bootstrap,1,5
7,7,7,M_existing,ok,5,5
7,7,7,M_graph_per_edge,boundary,5,5
7,7,7,M_graph_sum,boundary,5,5
7,7,7,S2_existing,ok,5,5
7,7,7,S2_graph_per_edge,boundary,5,5
7,7,7,S2_graph_sum,boundary,5,5
7,7,7,Sstar,boundary,5,5
