L,N,nmax,W_over_t,U_over_t,quantity,k,mean,stderr,n_disorder
7,4,4,0.8,0.0,M_k,1,1.210192639896327,0.0329866130862656,100
7,4,4,0.8,0.0,M_k,2,0.2709797095381091,0.010262292715658834,100
7,4,4,0.8,0.0,M_k,3,0.023039279842271946,0.0034416340593085245,100
7,4,4,0.8,0.005,M_k,1,1.1963675002736347,0.03022065316942074,100
7,4,4,0.8,0.005,M_k,2,0.278928402933453,0.011429144918399251,100
7,4,4,0.8,0.005,M_k,3,0.02402416615469129,0.00323495015298579,100
7,4,4,0.8,0.01,M_k,1,1.1569830649206734,0.03232864915664055,100
7,4,4,0.8,0.01,M_k,2,0.2797282231741709,0.011455415620105958,100
7,4,4,0.8,0.01,M_k,3,0.023982466936094054,0.0029170123913666948,100
7,4,4,0.8,0.015,M_k,1,1.1539688552161393,0.03512358863899953,100
7,4,4,0.8,0.015,M_k,2,0.28476340950477075,0.011506296442636572,100
7,4,4,0.8,0.015,M_k,3,0.02542963063023436,0.0031541389938502633,100
7,4,4,0.8,0.02,M_k,1,1.1412152515929201,0.036165418652562314,100
7,4,4,0.8,0.02,M_k,2,0.2907314727489667,0.012389446414127979,100
7,4,4,0.8,0.02,M_k,3,0.02638404424475798,0.003367758022726641,100
7,4,4,0.8,0.025,M_k,1,1.167507816220458,0.036414548999726834,100
7,4,4,0.8,0.025,M_k,2,0.28293394233133073,0.011855804172390684,100
7,4,4,0.8,0.025,M_k,3,0.02686850883640413,0.0034363775513747176,100
7,4,4,0.8,0.03,M_k,1,1.150563424234643,0.0362395111071405,100
7,4,4,0.8,0.03,M_k,2,0.2858148152065921,0.011775182807122846,100
7,4,4,0.8,0.03,M_k,3,0.028401788963395277,0.0034994667188760964,100
7,4,4,0.8,0.035,M_k,1,1.1367321093012999,0.036450512871656474,100
7,4,4,0.8,0.035,M_k,2,0.2818485376012817,0.01141417421333799,100
7,4,4,0.8,0.035,M_k,3,0.02936181790021654,0.00327011404118104,100
7,4,4,0.8,0.04,M_k,1,1.1141310553002077,0.034837854592962854,100
7,4,4,0.8,0.04,M_k,2,0.2802139853756509,0.011340734846168609,100
7,4,4,0.8,0.04,M_k,3,0.030828647389441962,0.0035271713090959727,100
7,4,4,0.8,0.045,M_k,1,1.1044422883436238,0.035656384647223156,100
7,4,4,0.8,0.045,M_k,2,0.28238949724404955,0.011000276157006104,100
7,4,4,0.8,0.045,M_k,3,0.032270493619330126,0.003559562515112841,100
7,4,4,0.8,0.05,M_k,1,1.0914531702009531,0.03730445267252101,100
7,4,4,0.8,0.05,M_k,2,0.28703865037755866,0.011609502339147353,100
7,4,4,0.8,0.05,M_k,3,0.03373352085518673,0.0036579019520198756,100
7,4,4,0.8,0.055,M_k,1,1.0736836449214502,0.03668739013091489,100
7,4,4,0.8,0.055,M_k,2,0.2804776058304753,0.0116894212953941,100
7,4,4,0.8,0.055,M_k,3,0.03557270179607645,0.003595577486963093,100
7,4,4,0.8,0.06,M_k,1,1.0858485451332598,0.03538484754600947,100
7,4,4,0.8,0.06,M_k,2,0.27511007877983995,0.011155022372505898,100
7,4,4,0.8,0.06,M_k,3,0.03455962469118676,0.00348668930503136,100
7,4,4,0.8,0.065,M_k,1,1.0719709003232458,0.03708176877564835,100
7,4,4,0.8,0.065,M_k,2,0.2740307813832213,0.011510414955004303,100
7,4,4,0.8,0.065,M_k,3,0.034104355199509634,0.0036403117478145926,100
7,4,4,0.8,0.07,M_k,1,1.0423114276339076,0.0355606897746568,100
7,4,4,0.8,0.07,M_k,2,0.28333700081888963,0.01157326009134128,100
7,4,4,0.8,0.07,M_k,3,0.03446559816680401,0.003619932870689538,100
7,4,4,0.8,0.075,M_k,1,1.0228289201610332,0.03435483779458127,100
7,4,4,0.8,0.075,M_k,2,0.2900182798085262,0.011631408982505587,100
7,4,4,0.8,0.075,M_k,3,0.0367483471709158,0.003917745504688041,100
7,4,4,0.8,0.08,M_k,1,1.002241590449892,0.03571576283867398,100
7,4,4,0.8,0.08,M_k,2,0.2857268168873024,0.011359019368826216,100
7,4,4,0.8,0.08,M_k,3,0.03755959875498417,0.003934778809226554,100
7,4,4,0.8,0.085,M_k,1,0.9491293956383688,0.034398845434810574,100
7,4,4,0.8,0.085,M_k,2,0.2949510794970694,0.012038725412673226,100
7,4,4,0.8,0.085,M_k,3,0.037869727884494796,0.003996521366825344,100
7,4,4,0.8,0.09,M_k,1,0.9222746383297022,0.03541123609256021,100
7,4,4,0.8,0.09,M_k,2,0.2942027007344047,0.012173786773778433,100
7,4,4,0.8,0.09,M_k,3,0.039702887215306515,0.004038600008824765,100
7,4,4,0.8,0.095,M_k,1,0.8938910042566617,0.03310018987122136,100
7,4,4,0.8,0.095,M_k,2,0.3058802727413813,0.011971091881723229,100
7,4,4,0.8,0.095,M_k,3,0.0409942126445731,0.004133211817965049,100
7,4,4,0.8,0.1,M_k,1,0.8712013648166045,0.03366741278387316,100
7,4,4,0.8,0.1,M_k,2,0.2996600500189737,0.011741915426547992,100
7,4,4,0.8,0.1,M_k,3,0.041934967068479524,0.004245581462619703,100
7,4,4,0.8,0.105,M_k,1,0.8466615036317086,0.030595854584479054,100
7,4,4,0.8,0.105,M_k,2,0.3006231638743406,0.011943385022259338,100
7,4,4,0.8,0.105,M_k,3,0.0408967527287252,0.004019730992170435,100
7,4,4,0.8,0.11,M_k,1,0.8087482246938323,0.030182262738733846,100
7,4,4,0.8,0.11,M_k,2,0.29934256365835316,0.011538021311586695,100
7,4,4,0.8,0.11,M_k,3,0.040793095473698936,0.004010762693994343,100
7,4,4,0.8,0.115,M_k,1,0.7956432331832665,0.029459100337210543,100
7,4,4,0.8,0.115,M_k,2,0.3013408768622335,0.01132036271926323,100
7,4,4,0.8,0.115,M_k,3,0.04099014767295806,0.004075222802336008,100
7,4,4,0.8,0.12,M_k,1,0.7446605394225319,0.03026558516662532,100
7,4,4,0.8,0.12,M_k,2,0.31114298556891434,0.011082010352453205,100
7,4,4,0.8,0.12,M_k,3,0.040877457449127054,0.004122675017868949,100
7,4,4,0.8,0.125,M_k,1,0.7441389009094935,0.029141986494203215,100
7,4,4,0.8,0.125,M_k,2,0.3136738447392394,0.011084256105042774,100
7,4,4,0.8,0.125,M_k,3,0.04417441749930011,0.004290448774004898,100
7,4,4,0.8,0.13,M_k,1,0.7207337381890553,0.030138751262192502,100
7,4,4,0.8,0.13,M_k,2,0.31738684414390056,0.011563205293517535,100
7,4,4,0.8,0.13,M_k,3,0.04405450358585051,0.004230895965491059,100
7,4,4,0.8,0.135,M_k,1,0.6960835633712549,0.028520618999547005,100
7,4,4,0.8,0.135,M_k,2,0.31427012712124736,0.011780549675915053,100
7,4,4,0.8,0.135,M_k,3,0.043464066410114535,0.00429075304913569,100
7,4,4,0.8,0.14,M_k,1,0.6819350488839244,0.027367952791284973,100
7,4,4,0.8,0.14,M_k,2,0.3197088795359384,0.012031164709780332,100
7,4,4,0.8,0.14,M_k,3,0.044768006532042486,0.004415805710269005,100
7,4,4,0.8,0.145,M_k,1,0.6597889904071909,0.028239635235286754,100
7,4,4,0.8,0.145,M_k,2,0.32105827003923276,0.011764065648246853,100
7,4,4,0.8,0.145,M_k,3,0.045113205748975406,0.004334241015843785,100
7,4,4,0.8,0.15,M_k,1,0.6429221598384067,0.02940312923463148,100
7,4,4,0.8,0.15,M_k,2,0.31968940950165115,0.01156821035327392,100
7,4,4,0.8,0.15,M_k,3,0.045286303906747316,0.004400929611370142,100
7,4,4,0.8,0.155,M_k,1,0.6225595509843133,0.029319910708307112,100
7,4,4,0.8,0.155,M_k,2,0.3201287159137951,0.012045754234321025,100
7,4,4,0.8,0.155,M_k,3,0.046959954360084356,0.0043337808871902455,100
7,4,4,0.8,0.16,M_k,1,0.604161062751594,0.028986732873445796,100
7,4,4,0.8,0.16,M_k,2,0.3253875712614618,0.012094583046039824,100
7,4,4,0.8,0.16,M_k,3,0.046308452703518396,0.004345635171705943,100
7,4,4,0.8,0.165,M_k,1,0.5850893670699331,0.02904466450508158,100
7,4,4,0.8,0.165,M_k,2,0.326433853300923,0.012092344797092015,100
7,4,4,0.8,0.165,M_k,3,0.04736864212134297,0.004301196669970906,100
7,4,4,0.8,0.17,M_k,1,0.5525927367868869,0.027281650029784377,100
7,4,4,0.8,0.17,M_k,2,0.3159392926507883,0.011778104208117406,100
7,4,4,0.8,0.17,M_k,3,0.04850743702900634,0.004287712356519686,100
7,4,4,0.8,0.17500000000000002,M_k,1,0.5340284844229509,0.025727628159773135,100
7,4,4,0.8,0.17500000000000002,M_k,2,0.31589015225855155,0.012201091478788461,100
7,4,4,0.8,0.17500000000000002,M_k,3,0.04741925351745734,0.004236212042679769,100
7,4,4,0.8,0.18,M_k,1,0.5123978427596622,0.023905697674881595,100
7,4,4,0.8,0.18,M_k,2,0.32476336333879396,0.01220679455040423,100
7,4,4,0.8,0.18,M_k,3,0.04723593091103772,0.0041811198612075155,100
7,4,4,0.8,0.185,M_k,1,0.49595670628187377,0.02180368824936926,100
7,4,4,0.8,0.185,M_k,2,0.3171121853507845,0.01206867190496383,100
7,4,4,0.8,0.185,M_k,3,0.04749789442538292,0.004238206709175641,100
7,4,4,0.8,0.19,M_k,1,0.4894229655218236,0.020417868997948032,100
7,4,4,0.8,0.19,M_k,2,0.31073246467770765,0.012367771344790647,100
7,4,4,0.8,0.19,M_k,3,0.049911186266718005,0.004340249075206891,100
7,4,4,0.8,0.195,M_k,1,0.4717551348524469,0.019533827006949927,100
7,4,4,0.8,0.195,M_k,2,0.30831664276616716,0.012646764199436032,100
7,4,4,0.8,0.195,M_k,3,0.05008271114001709,0.004347541472046763,100
7,4,4,0.8,0.2,M_k,1,0.4590313841086692,0.021021247030870476,100
7,4,4,0.8,0.2,M_k,2,0.30243688210572367,0.012759999861603769,100
7,4,4,0.8,0.2,M_k,3,0.04907123781910149,0.004304097995539319,100
7,4,4,0.8,0.20500000000000002,M_k,1,0.44930779169738466,0.020789976968816452,100
7,4,4,0.8,0.20500000000000002,M_k,2,0.2944104160696198,0.013054865109140815,100
7,4,4,0.8,0.20500000000000002,M_k,3,0.051677611005522345,0.004358883273811128,100
7,4,4,0.8,0.21,M_k,1,0.4348703668696596,0.021810289473327776,100
7,4,4,0.8,0.21,M_k,2,0.29163596110138734,0.013354519679210392,100
7,4,4,0.8,0.21,M_k,3,0.053354257576400395,0.00435492768215111,100
7,4,4,0.8,0.215,M_k,1,0.4231933936608421,0.022686808815649672,100
7,4,4,0.8,0.215,M_k,2,0.29096987481320286,0.013854328780721742,100
7,4,4,0.8,0.215,M_k,3,0.05424344924258429,0.004355125915764932,100
7,4,4,0.8,0.22,M_k,1,0.41948881844854363,0.023099626201098445,100
7,4,4,0.8,0.22,M_k,2,0.2828232304355998,0.014097543108521224,100
7,4,4,0.8,0.22,M_k,3,0.05747829553140536,0.004338636077756804,100
7,4,4,0.8,0.225,M_k,1,0.40964202942409117,0.0233034785592041,100
7,4,4,0.8,0.225,M_k,2,0.2788741933290956,0.014160196055276669,100
7,4,4,0.8,0.225,M_k,3,0.057096866486021275,0.004310677220599824,100
7,4,4,0.8,0.23,M_k,1,0.40767922967231734,0.023920767164680654,100
7,4,4,0.8,0.23,M_k,2,0.2722301971039116,0.014338600999705497,100
7,4,4,0.8,0.23,M_k,3,0.05957695009786889,0.0045009179219508925,100
7,4,4,0.8,0.23500000000000001,M_k,1,0.3994766015924637,0.024194188772243518,100
7,4,4,0.8,0.23500000000000001,M_k,2,0.2672377199532698,0.014380952777025757,100
7,4,4,0.8,0.23500000000000001,M_k,3,0.061083189847047976,0.004600930410595038,100
7,4,4,0.8,0.24,M_k,1,0.38625970060552367,0.022137603318170593,100
7,4,4,0.8,0.24,M_k,2,0.26123767253806857,0.014085910859463372,100
7,4,4,0.8,0.24,M_k,3,0.061288758486513606,0.004533401089136094,100
7,4,4,0.8,0.245,M_k,1,0.37229668397957333,0.021514130279137535,100
7,4,4,0.8,0.245,M_k,2,0.2583962278695834,0.014329148321751337,100
7,4,4,0.8,0.245,M_k,3,0.06267938286874687,0.0046607897697651685,100
7,4,4,0.8,0.25,M_k,1,0.3638153734792408,0.02069167038854387,100
7,4,4,0.8,0.25,M_k,2,0.2540506837603073,0.014744842907513498,100
7,4,4,0.8,0.25,M_k,3,0.06528319492527959,0.004795834713769574,100
7,4,4,0.8,0.255,M_k,1,0.3608538087141532,0.01989516579932931,100
7,4,4,0.8,0.255,M_k,2,0.25003683707217567,0.014958054534832144,100
7,4,4,0.8,0.255,M_k,3,0.06633520425643086,0.004810046664244605,100
7,4,4,0.8,0.26,M_k,1,0.34566027080440165,0.018120864530383925,100
7,4,4,0.8,0.26,M_k,2,0.24703418566442947,0.01565552503968154,100
7,4,4,0.8,0.26,M_k,3,0.06717427771846744,0.004966260141309655,100
7,4,4,0.8,0.265,M_k,1,0.34331719289452545,0.018057320354175135,100
7,4,4,0.8,0.265,M_k,2,0.24204150149304737,0.015886453420727423,100
7,4,4,0.8,0.265,M_k,3,0.06958908643877018,0.005076238698020398,100
7,4,4,0.8,0.27,M_k,1,0.33767712006388356,0.01830264184369389,100
7,4,4,0.8,0.27,M_k,2,0.2404615261144318,0.016331795765011533,100
7,4,4,0.8,0.27,M_k,3,0.06970346974830599,0.005095460148282619,100
7,4,4,0.8,0.275,M_k,1,0.3365271214095019,0.01834899262098762,100
7,4,4,0.8,0.275,M_k,2,0.23350608656533556,0.01613569690342985,100
7,4,4,0.8,0.275,M_k,3,0.07145424278463659,0.00512561254512762,100
7,4,4,0.8,0.28,M_k,1,0.3287196527997303,0.017735998873565098,100
7,4,4,0.8,0.28,M_k,2,0.22323065655891136,0.015781526534783895,100
7,4,4,0.8,0.28,M_k,3,0.07331900494715557,0.0053253258006469425,100
7,4,4,0.8,0.28500000000000003,M_k,1,0.32719226127775564,0.017435189045984383,100
7,4,4,0.8,0.28500000000000003,M_k,2,0.2165679561945372,0.015741821246277883,100
7,4,4,0.8,0.28500000000000003,M_k,3,0.075827339886886,0.0052590931619374195,100
7,4,4,0.8,0.29,M_k,1,0.3186922191107932,0.017215327072835077,100
7,4,4,0.8,0.29,M_k,2,0.21509813199437056,0.016081321111906875,100
7,4,4,0.8,0.29,M_k,3,0.07802697567163461,0.005205120721297628,100
7,4,4,0.8,0.295,M_k,1,0.3157134730756452,0.017459150913081083,100
7,4,4,0.8,0.295,M_k,2,0.2085046358856015,0.016041674883169807,100
7,4,4,0.8,0.295,M_k,3,0.07963420563836535,0.0052418150177703186,100
7,4,4,0.8,0.3,M_k,1,0.31555084088553886,0.017305156002883536,100
7,4,4,0.8,0.3,M_k,2,0.20399802988717436,0.015965666370157866,100
7,4,4,0.8,0.3,M_k,3,0.0803861123123845,0.005241161008297671,100
7,4,4,0.8,0.305,M_k,1,0.3144901514577485,0.01700130120419232,100
7,4,4,0.8,0.305,M_k,2,0.19888391930012944,0.015919504441648545,100
7,4,4,0.8,0.305,M_k,3,0.08067358874276007,0.005198208728632461,100
7,4,4,0.8,0.31,M_k,1,0.3097945025460032,0.01713529441642284,100
7,4,4,0.8,0.31,M_k,2,0.19617177188122648,0.01620327653843764,100
7,4,4,0.8,0.31,M_k,3,0.08199321168509241,0.005343208909111151,100
7,4,4,0.8,0.315,M_k,1,0.30505374178445366,0.01711773993730451,100
7,4,4,0.8,0.315,M_k,2,0.19323549755199917,0.015982295146613593,100
7,4,4,0.8,0.315,M_k,3,0.08191147652714288,0.005410205296515226,100
7,4,4,0.8,0.32,M_k,1,0.301163269767971,0.01753215346435746,100
7,4,4,0.8,0.32,M_k,2,0.18945780926770278,0.01609844383813667,100
7,4,4,0.8,0.32,M_k,3,0.08460074051223451,0.005643333715482682,100
7,4,4,0.8,0.325,M_k,1,0.2972980287831098,0.017542833815204432,100
7,4,4,0.8,0.325,M_k,2,0.18256085825286913,0.015444911702449748,100
7,4,4,0.8,0.325,M_k,3,0.08701447680956585,0.005671710178481232,100
7,4,4,0.8,0.33,M_k,1,0.2897688179190918,0.0171185437281347,100
7,4,4,0.8,0.33,M_k,2,0.1762478640242897,0.015302112479505452,100
7,4,4,0.8,0.33,M_k,3,0.08764008616878534,0.005896779770277762,100
7,4,4,0.8,0.335,M_k,1,0.28134496966893013,0.016821263664323453,100
7,4,4,0.8,0.335,M_k,2,0.17056074950248384,0.015092506009929627,100
7,4,4,0.8,0.335,M_k,3,0.0878487841651144,0.005943595512775278,100
7,4,4,0.8,0.34,M_k,1,0.27436977254796485,0.016745724272140765,100
7,4,4,0.8,0.34,M_k,2,0.16390437274816075,0.014462806222194934,100
7,4,4,0.8,0.34,M_k,3,0.08921792824444641,0.005979230779720547,100
7,4,4,0.8,0.34500000000000003,M_k,1,0.26775756703177767,0.016855026059051405,100
7,4,4,0.8,0.34500000000000003,M_k,2,0.15795790553403452,0.01390469884055793,100
7,4,4,0.8,0.34500000000000003,M_k,3,0.0886208838708999,0.0059022597782264095,100
7,4,4,0.8,0.35000000000000003,M_k,1,0.2658058683365226,0.016348201172827634,100
7,4,4,0.8,0.35000000000000003,M_k,2,0.1540648296417082,0.013620089440001301,100
7,4,4,0.8,0.35000000000000003,M_k,3,0.08878499727831696,0.00578070885343236,100
7,4,4,0.8,0.355,M_k,1,0.2619724616871688,0.016025325326489585,100
7,4,4,0.8,0.355,M_k,2,0.15049301579193952,0.013314797329996589,100
7,4,4,0.8,0.355,M_k,3,0.0901433530205576,0.005768283506360756,100
7,4,4,0.8,0.36,M_k,1,0.25927358554786123,0.016022455919965522,100
7,4,4,0.8,0.36,M_k,2,0.14384652170756854,0.01278884447281762,100
7,4,4,0.8,0.36,M_k,3,0.09218181038106485,0.005882805898509286,100
7,4,4,0.8,0.365,M_k,1,0.25086755812102185,0.01569510606481954,100
7,4,4,0.8,0.365,M_k,2,0.13974718261825003,0.012883957989443234,100
7,4,4,0.8,0.365,M_k,3,0.09224704478134457,0.0059660637971930474,100
7,4,4,0.8,0.37,M_k,1,0.2508452112682993,0.01613945166382915,100
7,4,4,0.8,0.37,M_k,2,0.1332575681513833,0.012422325682909099,100
7,4,4,0.8,0.37,M_k,3,0.09248571690988762,0.005732377476529791,100
7,4,4,0.8,0.375,M_k,1,0.2460261032708075,0.01626730751330194,100
7,4,4,0.8,0.375,M_k,2,0.1305940477093649,0.012258506378404003,100
7,4,4,0.8,0.375,M_k,3,0.09257702939807379,0.005797959649557294,100
7,4,4,0.8,0.38,M_k,1,0.23662784769964934,0.015505141617426697,100
7,4,4,0.8,0.38,M_k,2,0.12525561781679995,0.012034197794135412,100
7,4,4,0.8,0.38,M_k,3,0.0941083619689787,0.0057567923178816795,100
7,4,4,0.8,0.385,M_k,1,0.23283115823138142,0.015277007724190527,100
7,4,4,0.8,0.385,M_k,2,0.12272431254375542,0.0120935364768744,100
7,4,4,0.8,0.385,M_k,3,0.0947541357032237,0.005737893526665812,100
7,4,4,0.8,0.39,M_k,1,0.23262019919259974,0.015319020764505304,100
7,4,4,0.8,0.39,M_k,2,0.11752558206249784,0.011907385940431798,100
7,4,4,0.8,0.39,M_k,3,0.09520942620384114,0.005796479890496169,100
7,4,4,0.8,0.395,M_k,1,0.2315818885156895,0.015633677055046636,100
7,4,4,0.8,0.395,M_k,2,0.11488013643647546,0.01207486614527889,100
7,4,4,0.8,0.395,M_k,3,0.09565356871008154,0.005658281842458469,100
7,4,4,0.8,0.4,M_k,1,0.23244385014477914,0.015682695625207955,100
7,4,4,0.8,0.4,M_k,2,0.11186931174943553,0.011934018822659227,100
7,4,4,0.8,0.4,M_k,3,0.09668739847230481,0.005683454756792503,100
7,4,4,0.8,0.405,M_k,1,0.2220060542595638,0.015190806090199047,100
7,4,4,0.8,0.405,M_k,2,0.10757227232239233,0.011922860230032545,100
7,4,4,0.8,0.405,M_k,3,0.09846429531619019,0.0057459742733762965,100
7,4,4,0.8,0.41000000000000003,M_k,1,0.2219094892435189,0.01532228232903185,100
7,4,4,0.8,0.41000000000000003,M_k,2,0.09988367483641683,0.011725181796275196,100
7,4,4,0.8,0.41000000000000003,M_k,3,0.09922998029870243,0.005683119004769763,100
7,4,4,0.8,0.41500000000000004,M_k,1,0.2180930320903293,0.014747425900758625,100
7,4,4,0.8,0.41500000000000004,M_k,2,0.0955217619091035,0.011397239282244568,100
7,4,4,0.8,0.41500000000000004,M_k,3,0.0995739109309744,0.005575055211101696,100
7,4,4,0.8,0.42,M_k,1,0.21512017540601655,0.014393110035095519,100
7,4,4,0.8,0.42,M_k,2,0.09334749926349209,0.011243155260688174,100
