L,N,nmax,observable,quality_flag,count,total_W
7,4,4,M_existing,ok,5,5
7,4,4,M_graph_per_edge,ok,3,5
7,4,4,M_graph_per_edge,unstable_bootstrap,1,5
7,4,4,M_graph_per_edge,wide_ci,1,5
7,4,4,M_graph_sum,boundary,5,5
7,4,4,S2_existing,ok,5,5
7,4,4,S2_graph_per_edge,ok,2,5
7,4,4,S2_graph_per_edge,unstable_bootstrap,2,5
7,4,4,S2_graph_per_edge,wide_ci,1,5
7,4,4,S2_graph_sum,boundary,5,5
7,4,4,Sstar,boundary,5,5
7,7,7,M_existing,ok,5,5
7,7,7,M_graph_per_edge,boundary,1,5
7,7,7,M_graph_per_edge,ok,3,5
7,7,7,M_graph_per_edge,unstable_bootstrap,1,5
7,7,7,M_graph_sum,boundary,4,5
7,7,7,M_graph_sum,unstable_bootstrap,1,5
7,7,7,S2_existing,ok,5,5
7,7,7,S2_graph_per_edge,boundary,1,5
7,7,7,S2_graph_per_edge,ok,3,5
7,7,7,S2_graph_per_edge,unstable_bootstrap,1,5
7,7,7,S2_graph_sum,boundary,3,5
7,7,7,S2_graph_sum,unstable_bootstrap,2,5
7,7,7,Sstar,boundary,3,5
7,7,7,Sstar,ok,2,5
