L,N,nmax,W_over_t,U_over_t,bin_left,bin_right,count,probability
7,4,4,0.8,0.0,0.0,0.0648636716351771,654,0.327
7,4,4,0.8,0.0,0.0648636716351771,0.1297273432703542,0,0.0
7,4,4,0.8,0.0,0.1297273432703542,0.19459101490553132,0,0.0
7,4,4,0.8,0.0,0.19459101490553132,0.2594546865407084,0,0.0
7,4,4,0.8,0.0,0.2594546865407084,0.3243183581758855,0,0.0
7,4,4,0.8,0.0,0.3243183581758855,0.38918202981106265,0,0.0
7,4,4,0.8,0.0,0.38918202981106265,0.45404570144623974,0,0.0
7,4,4,0.8,0.0,0.45404570144623974,0.5189093730814168,0,0.0
7,4,4,0.8,0.0,0.5189093730814168,0.583773044716594,0,0.0
7,4,4,0.8,0.0,0.583773044716594,0.648636716351771,82,0.041
7,4,4,0.8,0.0,0.648636716351771,0.7135003879869481,339,0.1695
7,4,4,0.8,0.0,0.7135003879869481,0.7783640596221253,0,0.0
7,4,4,0.8,0.0,0.7783640596221253,0.8432277312573023,19,0.0095
7,4,4,0.8,0.0,0.8432277312573023,0.9080914028924795,49,0.0245
7,4,4,0.8,0.0,0.9080914028924795,0.9729550745276565,115,0.0575
7,4,4,0.8,0.0,0.9729550745276565,1.0378187461628336,243,0.1215
7,4,4,0.8,0.0,1.0378187461628336,1.1026824177980108,72,0.036
7,4,4,0.8,0.0,1.1026824177980108,1.167546089433188,11,0.0055
7,4,4,0.8,0.0,1.167546089433188,1.2324097610683649,82,0.041
7,4,4,0.8,0.0,1.2324097610683649,1.297273432703542,1,0.0005
7,4,4,0.8,0.0,1.297273432703542,1.3621371043387192,104,0.052
7,4,4,0.8,0.0,1.3621371043387192,1.4270007759738963,157,0.0785
7,4,4,0.8,0.0,1.4270007759738963,1.4918644476090734,0,0.0
7,4,4,0.8,0.0,1.4918644476090734,1.5567281192442506,0,0.0
7,4,4,0.8,0.0,1.5567281192442506,1.6215917908794275,72,0.036
7,4,4,0.8,0.0,1.6215917908794275,1.6864554625146047,0,0.0
7,4,4,0.8,0.0,1.6864554625146047,1.7513191341497818,0,0.0
7,4,4,0.8,0.0,1.7513191341497818,1.816182805784959,0,0.0
7,4,4,0.8,0.0,1.816182805784959,1.881046477420136,0,0.0
7,4,4,0.8,0.0,1.881046477420136,1.9459101490553132,0,0.0
7,4,4,0.8,0.005,0.0,0.0648636716351771,652,0.326
7,4,4,0.8,0.005,0.0648636716351771,0.1297273432703542,0,0.0
7,4,4,0.8,0.005,0.1297273432703542,0.19459101490553132,0,0.0
7,4,4,0.8,0.005,0.19459101490553132,0.2594546865407084,0,0.0
7,4,4,0.8,0.005,0.2594546865407084,0.3243183581758855,0,0.0
7,4,4,0.8,0.005,0.3243183581758855,0.38918202981106265,0,0.0
7,4,4,0.8,0.005,0.38918202981106265,0.45404570144623974,0,0.0
7,4,4,0.8,0.005,0.45404570144623974,0.5189093730814168,0,0.0
7,4,4,0.8,0.005,0.5189093730814168,0.583773044716594,0,0.0
7,4,4,0.8,0.005,0.583773044716594,0.648636716351771,83,0.0415
7,4,4,0.8,0.005,0.648636716351771,0.7135003879869481,334,0.167
7,4,4,0.8,0.005,0.7135003879869481,0.7783640596221253,0,0.0
7,4,4,0.8,0.005,0.7783640596221253,0.8432277312573023,15,0.0075
7,4,4,0.8,0.005,0.8432277312573023,0.9080914028924795,46,0.023
7,4,4,0.8,0.005,0.9080914028924795,0.9729550745276565,122,0.061
7,4,4,0.8,0.005,0.9729550745276565,1.0378187461628336,275,0.1375
