L,N,nmax,W_over_t,observable,n_disorder,U_peak,peak_value,quality_flag
7,5,5,0.8,M_per_edge,100,0.0,0.9454621936866617,boundary
7,5,5,0.8,M_per_edge,300,0.0,0.9477035672408017,boundary
7,5,5,0.8,M_sum,100,0.005,5.491852933255145,nonnegative_curvature
7,5,5,0.8,M_sum,300,0.033111914469223916,5.500937306741247,vertex_outside_fit_window
7,5,5,0.8,S2_per_edge,100,0.0,0.6651533144829664,boundary
7,5,5,0.8,S2_per_edge,300,0.0,0.6663246269036828,boundary
7,5,5,0.8,S2_sum,100,0.005,3.8637005087147993,nonnegative_curvature
7,5,5,0.8,S2_sum,300,0.016460753843151273,3.86805448582436,ok
7,5,5,0.8,Sstar_mean,100,0.005,1.4769472625758877,nonnegative_curvature
7,5,5,0.8,Sstar_mean,300,0.01585135828630579,1.477393984771181,ok
7,5,5,0.9,M_per_edge,100,0.0,0.933509287164624,boundary
7,5,5,0.9,M_per_edge,300,0.0,0.9361744735487779,boundary
7,5,5,0.9,M_sum,100,0.004118154233124649,5.42240469489956,ok
7,5,5,0.9,M_sum,300,0.021522035241162713,5.434179624244322,ok
7,5,5,0.9,S2_per_edge,100,0.0,0.6588379678500637,boundary
7,5,5,0.9,S2_per_edge,300,0.0,0.660243517320443,boundary
7,5,5,0.9,S2_sum,100,0.004200923628752796,3.827003253741545,ok
7,5,5,0.9,S2_sum,300,0.021941800051331034,3.832746410050274,ok
7,5,5,0.9,Sstar_mean,100,0.00777645054802192,1.4725201279460485,ok
7,5,5,0.9,Sstar_mean,300,0.022369104736455366,1.4733744489527085,ok
7,5,5,1.0,M_per_edge,100,0.0,0.9210561004422573,boundary
7,5,5,1.0,M_per_edge,300,0.0,0.9241388200721843,boundary
7,5,5,1.0,M_sum,100,0.00513050072141476,5.350435413020689,ok
7,5,5,1.0,M_sum,300,0.010294811390539484,5.3636765778332585,ok
7,5,5,1.0,S2_per_edge,100,0.0,0.6521945752134056,boundary
7,5,5,1.0,S2_per_edge,300,0.0,0.6538354695761943,boundary
7,5,5,1.0,S2_sum,100,0.005177381533650485,3.788680413651647,ok
7,5,5,1.0,S2_sum,300,0.022397710107272407,3.795268729768331,ok
7,5,5,1.0,Sstar_mean,100,0.009745999500074529,1.4676239821892625,ok
7,5,5,1.0,Sstar_mean,300,0.021418174490292867,1.4687593138951975,ok
7,5,5,1.1,M_per_edge,100,0.0,0.9082481942038302,boundary
7,5,5,1.1,M_per_edge,300,0.0,0.9117358226095554,boundary
7,5,5,1.1,M_sum,100,0.006656256621132969,5.276276130446081,ok
7,5,5,1.1,M_sum,300,0.027004665444107644,5.291939714215109,ok
7,5,5,1.1,S2_per_edge,100,0.0,0.6452961606475769,boundary
7,5,5,1.1,S2_per_edge,300,0.0,0.6471699290242413,boundary
7,5,5,1.1,S2_sum,100,0.006740659341090034,3.748798363628906,ok
7,5,5,1.1,S2_sum,300,0.02760094266908821,3.7566772804372297,ok
7,5,5,1.1,Sstar_mean,100,0.08132778542902883,1.462346237167055,ok
7,5,5,1.1,Sstar_mean,300,0.02697789966889429,1.463712691882987,ok
7,5,5,1.2000000000000002,M_per_edge,100,0.0,0.8952089114336266,boundary
7,5,5,1.2000000000000002,M_per_edge,300,0.0,0.8990843840411855,boundary
7,5,5,1.2000000000000002,M_sum,100,0.006010225361532192,5.199817876795296,ok
7,5,5,1.2000000000000002,M_sum,300,0.012125099288039726,5.21823834524581,ok
7,5,5,1.2000000000000002,S2_per_edge,100,0.0,0.6382065393294687,boundary
7,5,5,1.2000000000000002,S2_per_edge,300,0.0,0.640307970938628,boundary
7,5,5,1.2000000000000002,S2_sum,100,0.006091990462093749,3.7071097648675875,ok
7,5,5,1.2000000000000002,S2_sum,300,0.012937471677444,3.7164631733108786,ok
7,5,5,1.2000000000000002,Sstar_mean,100,0.09443565481580482,1.4573028228251894,ok
7,5,5,1.2000000000000002,Sstar_mean,300,0.010921794367191692,1.458290425131959,ok
7,5,5,1.3,M_per_edge,100,0.0,0.8820412247658576,boundary
7,5,5,1.3,M_per_edge,300,0.0,0.8862846252357476,boundary
7,5,5,1.3,M_sum,100,0.005698198057592878,5.123296574559783,ok
7,5,5,1.3,M_sum,300,0.012697099814122521,5.143701637945998,ok
7,5,5,1.3,S2_per_edge,100,0.0,0.630980727574097,boundary
7,5,5,1.3,S2_per_edge,300,0.0,0.6333026099139588,boundary
7,5,5,1.3,S2_sum,100,0.005772970044563326,3.6651200457057844,ok
7,5,5,1.3,S2_sum,300,0.03265315514343438,3.6758477172014414,ok
7,5,5,1.3,Sstar_mean,100,0.11854056195952054,1.4518896181827454,ok
7,5,5,1.3,Sstar_mean,300,0.1050265583801058,1.4530044436802734,ok
7,5,5,1.4000000000000001,M_per_edge,100,0.0,0.8688300407592898,boundary
7,5,5,1.4000000000000001,M_per_edge,300,0.0,0.8734198670998394,boundary
7,5,5,1.4000000000000001,M_sum,100,0.007926549354719044,5.0466810858433995,ok
7,5,5,1.4000000000000001,M_sum,300,0.014350592269123092,5.069169141542866,ok
7,5,5,1.4000000000000001,S2_per_edge,100,0.0,0.6236656457105958,boundary
7,5,5,1.4000000000000001,S2_per_edge,300,0.0,0.6261993869410444,boundary
7,5,5,1.4000000000000001,S2_sum,100,0.00804160844128081,3.6227229104996117,ok
7,5,5,1.4000000000000001,S2_sum,300,0.014921133179906527,3.634520008611699,ok
7,5,5,1.4000000000000001,Sstar_mean,100,0.12595274591285008,1.4463124968795937,ok
7,5,5,1.4000000000000001,Sstar_mean,300,0.1154242201650128,1.4476474984066356,ok
7,5,5,1.5,M_per_edge,100,0.0,0.8556446074306162,boundary
7,5,5,1.5,M_per_edge,300,0.0,0.8605587423887611,boundary
7,5,5,1.5,M_sum,100,0.010449735722159258,4.970000324545577,ok
7,5,5,1.5,M_sum,300,0.01734015006324311,4.9941014745393675,ok
7,5,5,1.5,S2_per_edge,100,0.0,0.6163009544953726,boundary
7,5,5,1.5,S2_per_edge,300,0.0,0.6190370904946824,boundary
7,5,5,1.5,S2_sum,100,0.010352956888173314,3.5798755868721135,ok
7,5,5,1.5,S2_sum,300,0.018491950286212294,3.5926743483955024,ok
7,5,5,1.5,Sstar_mean,100,0.13,1.4399733720250547,nonnegative_curvature
7,5,5,1.5,Sstar_mean,300,0.12217901205157779,1.4418649571920548,ok
7,5,5,1.6,M_per_edge,100,0.0,0.8425408201812306,boundary
7,5,5,1.6,M_per_edge,300,0.0,0.8477572472273277,boundary
7,5,5,1.6,M_sum,100,0.00895287513607773,4.893665851469281,ok
7,5,5,1.6,M_sum,300,0.01753661691275563,4.9200088450688,ok
7,5,5,1.6,S2_per_edge,100,0.0,0.6089199222852567,boundary
7,5,5,1.6,S2_per_edge,300,0.0,0.6118485177392057,boundary
7,5,5,1.6,S2_sum,100,0.008706355450798847,3.536856365869878,ok
7,5,5,1.6,S2_sum,300,0.01806887745846151,3.5511012083888027,ok
7,5,5,1.6,Sstar_mean,100,0.14510502353446939,1.4335585486890612,ok
7,5,5,1.6,Sstar_mean,300,0.16568363721544518,1.4359871412656129,vertex_outside_fit_window
7,5,5,1.7000000000000002,M_per_edge,100,0.0,0.8295633214844882,boundary
7,5,5,1.7000000000000002,M_per_edge,300,0.0,0.8350606315641688,boundary
7,5,5,1.7000000000000002,M_sum,100,0.008556628281129791,4.818698396972056,ok
7,5,5,1.7000000000000002,M_sum,300,0.012122250555567532,4.8462306868953595,ok
7,5,5,1.7000000000000002,S2_per_edge,100,0.0,0.6015502615633903,boundary
7,5,5,1.7000000000000002,S2_per_edge,300,0.0,0.6046612186070212,boundary
7,5,5,1.7000000000000002,S2_sum,100,0.008635292790161809,3.494361146805346,ok
7,5,5,1.7000000000000002,S2_sum,300,0.013248760267862335,3.509300179655963,ok
7,5,5,1.7000000000000002,Sstar_mean,100,0.1606922669739863,1.4270580222496883,ok
7,5,5,1.7000000000000002,Sstar_mean,300,0.16875755777662485,1.4301387440162678,ok
7,5,5,1.8,M_per_edge,100,0.0,0.8167473525050971,boundary
7,5,5,1.8,M_per_edge,300,0.0,0.8225050844933416,boundary
7,5,5,1.8,M_sum,100,0.009156370092743045,4.744252857199116,ok
7,5,5,1.8,M_sum,300,0.018113451943723036,4.773247799417615,ok
7,5,5,1.8,S2_per_edge,100,0.0,0.5942149016627769,boundary
7,5,5,1.8,S2_per_edge,300,0.0,0.5974981907665515,boundary
7,5,5,1.8,S2_sum,100,0.009264048336041544,3.451752558390758,ok
7,5,5,1.8,S2_sum,300,0.019290855602993307,3.4676673589989035,ok
7,5,5,1.8,Sstar_mean,100,0.20467928317962109,1.421373775314564,ok
7,5,5,1.8,Sstar_mean,300,0.17828945585665112,1.424722380560776,ok
7,5,5,1.9000000000000001,M_per_edge,100,0.0,0.8041203515510054,boundary
7,5,5,1.9000000000000001,M_per_edge,300,0.0,0.8101192042209292,boundary
7,5,5,1.9000000000000001,M_sum,100,0.010808077486773269,4.670948361067954,ok
7,5,5,1.9000000000000001,M_sum,300,0.016808223778030235,4.701453646925232,ok
7,5,5,1.9000000000000001,S2_per_edge,100,0.0,0.5869326827845862,boundary
7,5,5,1.9000000000000001,S2_per_edge,300,0.0,0.5903785100277008,boundary
7,5,5,1.9000000000000001,S2_sum,100,0.010842960053726234,3.4094874512973226,ok
7,5,5,1.9000000000000001,S2_sum,300,0.01846031337331899,3.426412574868793,ok
7,5,5,1.9000000000000001,Sstar_mean,100,0.21444086884948982,1.4153398938590032,ok
7,5,5,1.9000000000000001,Sstar_mean,300,0.21320780262035446,1.419354092048204,ok
7,5,5,2.0,M_per_edge,100,0.005,0.7917037516177008,nonnegative_curvature
7,5,5,2.0,M_per_edge,300,0.0,0.7979252612426757,boundary
7,5,5,2.0,M_sum,100,0.012914032216938348,4.59880347042805,ok
7,5,5,2.0,M_sum,300,0.019072309055895034,4.63040311721826,ok
7,5,5,2.0,S2_per_edge,100,0.0,0.5797189675906619,boundary
7,5,5,2.0,S2_per_edge,300,0.0,0.5833178910450709,boundary
