L,N,nmax,filling,W_over_t,realizations,U_points,entropy_peak_method,U_S_loess_over_t,U_S_grid_max_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,U_S_candidate_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,unresolved_reasons
6,6,6,1.0,1.0,300,11,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,-0.037117607631493875,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
6,6,6,1.0,2.0,300,11,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,-0.04348383105326862,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
6,6,6,1.0,3.0,300,11,weighted_loess_quadratic,0.0,0.0,0.18870535383097164,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,-0.04325265365105538,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
6,6,6,1.0,4.0,300,11,weighted_loess_quadratic,0.0,0.0,0.3440087428701267,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,-0.04209430152882446,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
6,6,6,1.0,5.0,300,11,weighted_loess_quadratic,0.0,0.0,0.4153638253862455,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,-0.03983116054453929,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
6,6,6,1.0,6.0,300,11,weighted_loess_quadratic,0.0,0.0,0.45578995756406315,0.0,0.0,,0.0058777636798890125,0.07169531928342254,0.017,0.06581755560353353,0.5,False,True,0.0,0.0,0.0,0.0,,-0.03617361061558531,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction
6,6,6,1.0,7.0,300,11,weighted_loess_quadratic,0.04400055494124504,0.04,0.4946131553292836,0.0,0.04400055494124504,,0.008466570821635579,0.19885369818794685,0.694,0.19038712736631128,0.5,False,False,0.0,1.0,0.0,0.0,,-0.03213571842289956,plateau_includes_U0;low_peak_significance
6,6,6,1.0,8.0,300,11,weighted_loess_quadratic,0.15487539824131052,0.15,0.49955367265160444,0.0,0.15487539824131052,,0.022846539244517506,0.32140074835838395,0.956,0.29855420911386643,0.5,False,False,0.0,1.0,0.0,0.0,,-0.027369682275253174,plateau_includes_U0;low_peak_significance
6,6,6,1.0,9.0,300,11,weighted_loess_quadratic,0.25314887225460214,0.25,0.48944072520543924,0.0,0.25314887225460214,,0.07238153313077539,0.43072528384978265,0.991,0.35834375071900726,0.5,False,False,0.0,1.0,0.0,0.0,,-0.02333950046085864,plateau_includes_U0;low_peak_significance
6,6,6,1.0,10.0,300,11,weighted_loess_quadratic,0.2613383891179155,0.26,0.4480363024413889,0.0,0.2613383891179155,,0.053257312483388,0.46815365504958467,0.984,0.4148963425661967,0.5,False,False,0.0,1.0,0.0,0.0,,-0.019406967500011172,plateau_includes_U0;low_peak_significance
