L,N,nmax,filling,W_over_t,realizations,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
6,6,6,1.0,1.0,300,0.1669984777282898,0.0,0.0,0.0
6,6,6,1.0,2.0,300,0.31653696029812567,0.0,0.0,0.0
6,6,6,1.0,3.0,300,0.4495998129764454,1.0,0.0,1.0
6,6,6,1.0,4.0,300,0.570723012074373,0.5868703343786819,0.47630332339267883,0.682946684462735
6,6,6,1.0,5.0,300,0.682856702972147,0.9051764760873826,0.8211249828650496,0.9808863755841687
6,6,6,1.0,6.0,300,0.787784332834864,1.1036460570335545,1.0301657047469237,1.1702137979942944
6,6,6,1.0,7.0,300,0.8866716367595857,1.2465260053724192,1.178208186357986,1.30880311958691
6,6,6,1.0,8.0,300,0.9803512566191571,1.3586744241964093,1.2926862359159672,1.4193443763921427
6,6,6,1.0,9.0,300,1.0694618636939326,1.4527527249553085,1.3866830982451028,1.5135119378138124
6,6,6,1.0,10.0,300,1.154518122514694,1.536723696210459,1.4691896474320625,1.5994389532190527
