L,N,nmax,W_over_t,U_over_t,realizations,sample_mixing_mean,sample_mixing_sem
6,6,6,1.0,0.0,300,0.9478553142726368,0.0016104008220752346
6,6,6,1.0,1.0,300,0.6711388693686547,0.0019890637143037855
6,6,6,1.0,2.0,300,0.34359126684816155,0.0012983065929742588
6,6,6,1.0,3.0,300,0.19046892324922213,0.0006266900164339637
6,6,6,1.0,4.0,300,0.11722047993331927,0.000322102668296713
6,6,6,1.0,5.0,300,0.07827440991603607,0.00018144784697043668
6,6,6,1.0,6.0,300,0.055556755057786504,0.00011047502732818559
6,6,6,1.0,7.0,300,0.041302395413488416,7.15887669265032e-05
6,6,6,1.0,8.0,300,0.03183046309730026,4.876626163877896e-05
6,6,6,1.0,9.0,300,0.025241959713867487,3.4591752451640744e-05
6,6,6,1.0,10.0,300,0.02048609260533586,2.536670783803032e-05
6,6,6,2.0,0.0,300,0.8452518390127665,0.004132148182401169
6,6,6,2.0,1.0,300,0.7391485826497473,0.0025739588956962952
6,6,6,2.0,2.0,300,0.41918666706190183,0.0030400564524585586
6,6,6,2.0,3.0,300,0.23093765565145447,0.0017045724451372523
6,6,6,2.0,4.0,300,0.137591968734683,0.0008557685620697481
6,6,6,2.0,5.0,300,0.08939376818501166,0.0004630780822390512
6,6,6,2.0,6.0,300,0.062146483967528955,0.00027239966953903917
6,6,6,2.0,7.0,300,0.04548101952499192,0.00017172991118505855
6,6,6,2.0,8.0,300,0.034627987383498184,0.00011445253574748988
6,6,6,2.0,9.0,300,0.027198716625445107,7.977133446428716e-05
6,6,6,2.0,10.0,300,0.021904624047328337,5.76655914248403e-05
6,6,6,3.0,0.0,300,0.7454538564307838,0.005937783558864728
6,6,6,3.0,1.0,300,0.7551247230484541,0.0022366276697328947
6,6,6,3.0,2.0,300,0.4844895060246056,0.003930210525438143
6,6,6,3.0,3.0,300,0.2860048676523459,0.0032574758065962582
6,6,6,3.0,4.0,300,0.16704656784059949,0.0017782826526282823
6,6,6,3.0,5.0,300,0.1047881199814983,0.0009270589922702992
6,6,6,3.0,6.0,300,0.0708529907977142,0.000521996718245481
6,6,6,3.0,7.0,300,0.050794445504352116,0.00031756312324996404
6,6,6,3.0,8.0,300,0.03807874030665438,0.00020581698899126467
6,6,6,3.0,9.0,300,0.02955457282119568,0.00014032908348989693
6,6,6,3.0,10.0,300,0.023579346293296607,9.96730666776665e-05
6,6,6,4.0,0.0,300,0.6611977868834356,0.007047252493550604
