L,N,nmax,W_over_t,recommended_action,reason,proposed_U_min_over_t,proposed_U_max_over_t,proposed_U_values_over_t_json,suggested_realizations
6,6,6,1.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
6,6,6,2.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
6,6,6,3.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
6,6,6,4.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
6,6,6,5.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
6,6,6,6.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
6,6,6,7.0,refine_near_U0,plateau_includes_U0;low_peak_significance,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
6,6,6,8.0,refine_near_U0,plateau_includes_U0;low_peak_significance,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
6,6,6,9.0,refine_near_U0,plateau_includes_U0;low_peak_significance,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
6,6,6,10.0,refine_near_U0,plateau_includes_U0;low_peak_significance,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
