L,N,nmax,filling,W_over_t,realizations,U_points,U_scan_min_over_t,U_scan_max_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high,U_S_candidate_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,peak_estimator_disagreement_over_t,peak_estimators_agree,peak_smoothing_points_used,U_S_grid_max_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,plateau_width_over_t,plateau_points,plateau_includes_U0,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,curvature_ci95_low,curvature_ci95_high,curvature_bootstrap_valid_fraction,R_required_for_3sigma,max_required_realizations,unresolved_reasons,delta_U_star_over_t,relative_peak_error,theory_ED_status
6,6,3,1.0,0.1,200,41,0.0,1.0,0.023188004968345458,0.023964793285253624,0.022943182748029905,0.025055149815856964,0.45458722379795546,0.4542433903570372,0.45458722379795546,0.00034383344091826196,True,5,0.45,0.45464454937083487,0.45112301499836227,0.4584729108095877,1.0,0.007349895811225415,0.012500000000000011,True,False,0.45,0.45,0.0,1,False,0.04848316957210634,0.0007011346143235104,69.1495877990353,-0.9396975951127244,-1.0619155919409486,-0.8145185384593792,1.0,0.37643787561451164,500,,0.43145654440248943,18.606885111137498,inconsistent
6,6,3,1.0,0.2,200,41,0.0,1.0,0.046340787235990194,0.04790837538230207,0.045874665752391595,0.050087123812566095,0.4407333954284948,0.44003996820606434,0.4407333954284948,0.0006934272224304872,True,5,0.45,0.4408785537710223,0.4152068053045073,0.4519910200307469,0.9805,0.036784214726239606,0.012500000000000011,True,False,0.45,0.45,0.0,1,False,0.028797989847625428,0.0006895919057140515,41.7609162883169,-0.3022993186482452,-0.4368093682097887,-0.16003042518935906,0.9805,1.0321254024476896,500,,0.39453776653503214,8.513833926166399,inconsistent
6,6,3,1.0,0.3,200,41,0.0,1.0,0.06942371543602598,0.07177609429335371,0.06872671631646048,0.07504991614956351,0.40824553423261056,0.4107192006340469,0.40824553423261056,0.002473666401436314,True,5,0.425,0.407838238153332,0.37084280333249725,0.42436317593878253,0.99,0.05352037260628528,0.012500000000000011,True,False,0.375,0.425,0.04999999999999999,3,False,0.01688013657654262,0.0006284941110709961,26.858066414938616,-0.24847668042358115,-0.364559681733047,-0.11978834068396776,0.99,2.4953014459788725,500,,0.338414522717306,4.874624191342154,inconsistent
6,6,3,1.0,0.4,200,41,0.0,1.0,0.09240448945802977,0.09553906572743674,0.09145846995183789,0.09991487819275413,0.3740725744321213,0.37384412906518033,0.3740725744321213,0.00022844536694094364,True,5,0.375,0.37347637867394784,0.35409660608725074,0.39718372883308073,0.997,0.04308712274582999,0.012500000000000011,True,False,0.375,0.375,0.0,1,False,0.010261890379752194,0.0005536054702045186,18.536468535907243,-0.21517760980725276,-0.37589292038978317,-0.11447025167469124,0.997,5.238639441806161,500,,0.2810718892159181,3.0417557725220834,inconsistent
6,6,3,1.0,0.5,200,41,0.0,1.0,0.11525298846348168,0.1191555027550453,0.11406771718497051,0.12464590733450086,0.37637604031666183,0.3774349654199907,0.37637604031666183,0.0010589251033288893,True,5,0.375,0.37701327920356276,0.34638883178705443,0.4040056292565201,0.9975,0.057616797469465686,0.012500000000000011,True,False,0.35,0.4,0.050000000000000044,3,False,0.005986898292058096,0.00048802576620844056,12.267586481286386,-0.1638424196169971,-0.29810397075226835,-0.0807825408189279,0.9975,11.9606353104939,500,,0.26176029074008106,2.2711800728969447,inconsistent
6,6,3,1.0,0.6,200,41,0.0,1.0,0.13794232340613888,0.14261740223716413,0.13651489764311817,0.14923281517713025,0.3705141444692371,0.3666094697702802,0.3705141444692371,0.0039046746989568892,True,5,0.375,0.3697038921619581,0.3369280800831227,0.4092641291646765,0.9795,0.07233604908155383,0.012500000000000011,True,False,0.35,0.4,0.050000000000000044,3,False,0.003044272715161127,0.0004139115921516995,7.354886340185888,-0.12555490122446558,-0.28543137282467473,-0.05651635906378408,0.9795,33.275192281827415,500,,0.23176156875581921,1.6801338634369056,inconsistent
6,6,3,1.0,0.7,200,41,0.0,1.0,0.16044915092361303,0.16591282316792813,0.15877205464881208,0.17361718995254408,0.2827839607275539,0.27905581875275226,0.2827839607275539,0.0037281419748016464,True,5,0.275,,0.24280562961125005,0.3757119716933842,0.9385,0.13290634208213417,0.012500000000000011,False,False,0.275,0.375,0.09999999999999998,4,False,0.0016435888757349788,0.00039026541150756857,4.211464370839085,-0.13381272507931405,-0.29330895182620725,-0.05858609986956345,0.9385,101.4860252105427,500,wide_plateau,,,unresolved
6,6,3,1.0,0.8,200,41,0.0,1.0,0.18275377189192954,0.18897429611561684,0.18081298944028593,0.19785281976507157,0.18236837874810494,0.18055876185794703,0.18236837874810494,0.0018096168901579057,True,5,0.175,,0.13007326781659714,0.2802022082265546,0.9185,0.15012894040995747,0.012500000000000011,False,False,0.15,0.275,0.12500000000000003,6,False,0.0005260421565664902,0.00031228706753884145,1.6844826803500677,-0.11006771427265667,-0.27023749098473127,-0.05235808891281544,0.9185,634.365279914796,500,wide_plateau;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,0.9,200,41,0.0,1.0,0.20484031329919256,0.21178840883050076,0.20268432989727095,0.22186361947786426,0.23151629758036982,0.1520858677940523,0.23151629758036982,0.07943042978631751,False,5,0.25,,0.027960671873282515,0.27064980055860327,0.746,0.24268912868532075,0.012500000000000011,False,False,0.0,0.3,0.3,13,True,0.00013360561877992505,0.00031913754193236215,0.41864588531624825,-0.0910156973190149,-0.2996477387455748,-0.040463510707029506,0.746,10270.198815123671,500,peak_estimators_disagree;plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,1.0,200,41,0.0,1.0,0.22669643847214155,0.2344256518591329,0.2242336583460586,0.24567997241001516,0.14116732077286662,0.14015446300253895,0.14116732077286662,0.0010128577703276687,True,5,0.15,,0.10122878870218088,0.18284628677091153,0.903,0.08161749806873064,0.012500000000000011,False,False,0.1,0.15,0.04999999999999999,3,False,0.0003735814582886765,0.0002846003149582873,1.3126530037165658,-0.15173782866969548,-0.32277954308001333,-0.06300544996490759,0.903,1044.6543853629207,500,low_peak_significance;realization_limit_exceeded,,,unresolved
