L,N,nmax,W_over_t,U_over_t,realizations,sample_mixing_mean,sample_mixing_sem
6,6,3,0.1,0.0,200,0.9993146655475238,2.5940574119414345e-05
6,6,3,0.1,0.025,200,0.9997253350673821,8.882149642592652e-06
6,6,3,0.1,0.05,200,0.999239875024509,1.577724270272141e-05
6,6,3,0.1,0.075,200,0.9978628336212216,3.428923009415958e-05
6,6,3,0.1,0.1,200,0.9956052947136739,5.3228762256658597e-05
6,6,3,0.1,0.125,200,0.9924846275651328,7.19577253720057e-05
6,6,3,0.1,0.15,200,0.9885241074169078,9.027933017377139e-05
6,6,3,0.1,0.175,200,0.9837524230447723,0.00010806671796434525
6,6,3,0.1,0.2,200,0.9782030915445952,0.0001252194097724138
6,6,3,0.1,0.225,200,0.9719138033290072,0.00014165408474132706
6,6,3,0.1,0.25,200,0.9649257216216427,0.000157302022073465
6,6,3,0.1,0.275,200,0.9572827606380038,0.0001721081557555124
6,6,3,0.1,0.3,200,0.9490308652847864,0.00018603046590094546
6,6,3,0.1,0.325,200,0.940217312820256,0.00019903933141363517
6,6,3,0.1,0.35,200,0.9308900537770657,0.00021111674059689595
6,6,3,0.1,0.375,200,0.921097105854875,0.0002222553525772578
6,6,3,0.1,0.4,200,0.910886010731017,0.0002324574391032606
6,6,3,0.1,0.425,200,0.9003033600659484,0.00024173374907708972
6,6,3,0.1,0.45,200,0.8893943935981882,0.0002501023399657132
6,6,3,0.1,0.475,200,0.8782026692746498,0.0002575874165211702
6,6,3,0.1,0.5,200,0.8667698029321859,0.00026421821079954377
6,6,3,0.1,0.525,200,0.8551352731675965,0.0002700279299217332
6,6,3,0.1,0.55,200,0.8433362856956438,0.0002750527903810795
6,6,3,0.1,0.575,200,0.8314076906546061,0.0002793311506139291
6,6,3,0.1,0.6,200,0.81938194591199,0.0002829027473866288
6,6,3,0.1,0.625,200,0.8072891193733419,0.0002858080364990037
6,6,3,0.1,0.65,200,0.7951569235257159,0.00028808763440032033
6,6,3,0.1,0.675,200,0.7830107758787644,0.0002897818545005596
6,6,3,0.1,0.7,200,0.77087387953257,0.0002909303301165209
6,6,3,0.1,0.725,200,0.7587673187443474,0.00029157171496515356
6,6,3,0.1,0.75,200,0.746710165039021,0.0002917434517412053
6,6,3,0.1,0.775,200,0.7347195900754114,0.00029148159943418844
6,6,3,0.1,0.8,200,0.7228109821142334,0.0002908207105075605
6,6,3,0.1,0.825,200,0.7109980635189598,0.000289793749758969
6,6,3,0.1,0.85,200,0.6992930072456065,0.0002884320475053341
6,6,3,0.1,0.875,200,0.6877065507380665,0.00028676528061400065
6,6,3,0.1,0.9,200,0.6762481060414361,0.00028482147577501345
6,6,3,0.1,0.925,200,0.6649258652794796,0.0002826270302411128
6,6,3,0.1,0.95,200,0.6537469009185872,0.0002802067460269446
6,6,3,0.1,0.975,200,0.6427172604650409,0.00027758387424397927
6,6,3,0.1,1.0,200,0.6318420554213757,0.00027478016684770484
6,6,3,0.2,0.0,200,0.9972731008748293,0.00010289549332161855
6,6,3,0.2,0.025,200,0.9985339035837525,6.660386599750652e-05
6,6,3,0.2,0.05,200,0.9989039928562446,3.535272651076969e-05
6,6,3,0.2,0.075,200,0.9983825303237791,3.294104894486488e-05
6,6,3,0.2,0.1,200,0.9969752404498081,6.2631020198112e-05
6,6,3,0.2,0.125,200,0.9946942654305908,9.83307659843401e-05
6,6,3,0.2,0.15,200,0.9915578848848419,0.0001347635797816839
6,6,3,0.2,0.175,200,0.9875901126146052,0.00017080732269735325
6,6,3,0.2,0.2,200,0.982820187483944,0.00020599708923321923
6,6,3,0.2,0.225,200,0.9772819790716913,0.00024005082507199223
6,6,3,0.2,0.25,200,0.9710133310299688,0.0002727649369084452
6,6,3,0.2,0.275,200,0.9640553659650412,0.00030398300927797907
6,6,3,0.2,0.3,200,0.9564517752132339,0.0003335841196129911
6,6,3,0.2,0.325,200,0.9482481152745059,0.0003614773901376923
6,6,3,0.2,0.35,200,0.9394911301255964,0.0003875986715433328
6,6,3,0.2,0.375,200,0.9302281154409371,0.00041190793153442185
6,6,3,0.2,0.4,200,0.9205063371905101,0.00043438683248077625
6,6,3,0.2,0.425,200,0.9103725134300881,0.0004550363294656125
6,6,3,0.2,0.45,200,0.8998723645833476,0.0004738742605398552
6,6,3,0.2,0.475,200,0.8890502343186755,0.0004909329569525119
6,6,3,0.2,0.5,200,0.8779487803712029,0.0005062569193865556
6,6,3,0.2,0.525,200,0.8666087324227405,0.0005199006068726719
6,6,3,0.2,0.55,200,0.8550687124500476,0.0005319263775992294
6,6,3,0.2,0.575,200,0.8433651117669423,0.0005424026101897702
6,6,3,0.2,0.6,200,0.8315320182708923,0.0005514020228360422
6,6,3,0.2,0.625,200,0.8196011870942861,0.000559000197395638
6,6,3,0.2,0.65,200,0.8076020478798602,0.0005652743069103227
6,6,3,0.2,0.675,200,0.7955617421725963,0.0005703020382493587
6,6,3,0.2,0.7,200,0.7835051848748784,0.0005741606967280436
6,6,3,0.2,0.725,200,0.7714551442838008,0.0005769264764248123
6,6,3,0.2,0.75,200,0.7594323358652852,0.0005786738782620628
6,6,3,0.2,0.775,200,0.7474555255757744,0.0005794752574342991
6,6,3,0.2,0.8,200,0.7355416391858853,0.0005794004821729862
6,6,3,0.2,0.825,200,0.7237058746680785,0.0005785166868673059
6,6,3,0.2,0.85,200,0.7119618152668825,0.0005768881039884661
6,6,3,0.2,0.875,200,0.7003215413668604,0.0005745759609093785
6,6,3,0.2,0.9,200,0.6887957397069135,0.0005716384294308882
6,6,3,0.2,0.925,200,0.6773938088601165,0.000568130617517638
6,6,3,0.2,0.95,200,0.6661239602091811,0.000564104594341761
6,6,3,0.2,0.975,200,0.6549933139037089,0.0005596094411878671
6,6,3,0.2,1.0,200,0.6440079894923908,0.0005546913220663575
6,6,3,0.3,0.0,200,0.9939175689194485,0.0002283475729916556
6,6,3,0.3,0.025,200,0.9960067562111959,0.00017467233671330197
6,6,3,0.3,0.05,200,0.9972175217859519,0.00012289336863389018
6,6,3,0.3,0.075,200,0.9975438282021359,7.889423704327393e-05
6,6,3,0.3,0.1,200,0.9969861065900271,6.33867604787903e-05
6,6,3,0.3,0.125,200,0.9955512157616377,9.198177049340549e-05
6,6,3,0.3,0.15,200,0.9932522647779,0.00013916644105284675
6,6,3,0.3,0.175,200,0.9901083070664453,0.00019078918566832806
6,6,3,0.3,0.2,200,0.9861439193525209,0.00024307925967585796
6,6,3,0.3,0.225,200,0.9813886829240137,0.0002946891152704939
6,6,3,0.3,0.25,200,0.9758765878544574,0.00034494548008872375
6,6,3,0.3,0.275,200,0.9696453826197425,0.0003934297648650618
6,6,3,0.3,0.3,200,0.962735892043883,0.0004398496578713462
6,6,3,0.3,0.325,200,0.955191325781888,0.0004839913577337936
6,6,3,0.3,0.35,200,0.9470565977662108,0.0005256985368164241
6,6,3,0.3,0.375,200,0.9383776744410269,0.000564861312335961
6,6,3,0.3,0.4,200,0.929200966451155,0.0006014092671141799
6,6,3,0.3,0.425,200,0.9195727750084616,0.0006353061951723885
6,6,3,0.3,0.45,200,0.9095388006761093,0.0006665456251808023
6,6,3,0.3,0.475,200,0.8991437189995753,0.0006951467425911751
6,6,3,0.3,0.5,200,0.8884308244334526,0.0007211505764740194
6,6,3,0.3,0.525,200,0.8774417414724348,0.0007446164226459659
6,6,3,0.3,0.55,200,0.8662161998506656,0.0007656185160633364
6,6,3,0.3,0.575,200,0.8547918691385619,0.0007842429764881738
6,6,3,0.3,0.6,200,0.8432042470176833,0.0008005850483817744
6,6,3,0.3,0.625,200,0.8314865949039807,0.0008147466471217564
6,6,3,0.3,0.65,200,0.8196699143537416,0.0008268342132911084
6,6,3,0.3,0.675,200,0.8077829577532918,0.0008369568671709918
6,6,3,0.3,0.7,200,0.7958522670909705,0.0008452248477240705
6,6,3,0.3,0.725,200,0.7839022350706378,0.000851748214641154
6,6,3,0.3,0.75,200,0.7719551833903598,0.0008566357884088103
6,6,3,0.3,0.775,200,0.7600314536279106,0.0008599943015962841
6,6,3,0.3,0.8,200,0.7481495068064882,0.0008619277343160607
6,6,3,0.3,0.825,200,0.736326028329475,0.0008625368077192206
6,6,3,0.3,0.85,200,0.7245760355509637,0.0008619186110991615
6,6,3,0.3,0.875,200,0.712912985775516,0.0008601663403941365
6,6,3,0.3,0.9,200,0.7013488829487353,0.0008573691283536199
6,6,3,0.3,0.925,200,0.6898943817071119,0.0008536119491751587
6,6,3,0.3,0.95,200,0.678558887802105,0.0008489755828888321
6,6,3,0.3,0.975,200,0.6673506542029256,0.0008435366270726257
6,6,3,0.3,1.0,200,0.6562768724198631,0.0008373675455682271
6,6,3,0.4,0.0,200,0.9893151649584278,0.0003983629166184692
6,6,3,0.4,0.025,200,0.9921999454561714,0.0003289415625009605
6,6,3,0.4,0.05,200,0.9942248251250283,0.000260059946926525
6,6,3,0.4,0.075,200,0.9953789168893781,0.0001943958331468198
6,6,3,0.4,0.1,200,0.9956575988283974,0.0001386767683530236
6,6,3,0.4,0.125,200,0.9950625706084227,0.00011059738392039256
6,6,3,0.4,0.15,200,0.9936017764838939,0.00012955182871726267
6,6,3,0.4,0.175,200,0.9912891988643893,0.00018055784877197404
6,6,3,0.4,0.2,200,0.9881445317155862,0.00024318244687351588
6,6,3,0.4,0.225,200,0.9841927476892487,0.00030921526893739346
6,6,3,0.4,0.25,200,0.9794635765790208,0.00037557192495696204
6,6,3,0.4,0.275,200,0.9739909152802846,0.0004408258413917281
6,6,3,0.4,0.3,200,0.9678121908000216,0.00050417535976005
6,6,3,0.4,0.325,200,0.9609676980250481,0.0005651062779733133
6,6,3,0.4,0.35,200,0.9534999330147146,0.0006232639615384081
6,6,3,0.4,0.375,200,0.9454529407109499,0.0006783976650762
6,6,3,0.4,0.4,200,0.9368716933770846,0.0007303328039186777
6,6,3,0.4,0.425,200,0.9278015130327865,0.0007789550642501876
6,6,3,0.4,0.45,200,0.9182875478896457,0.0008241998993712746
6,6,3,0.4,0.475,200,0.9083743095323683,0.0008660446484905401
6,6,3,0.4,0.5,200,0.8981052745193244,0.0009045020479060958
6,6,3,0.4,0.525,200,0.8875225513333155,0.0009396145823380888
6,6,3,0.4,0.55,200,0.8766666112910179,0.0009714494345267058
6,6,3,0.4,0.575,200,0.865576080164462,0.0010000939334365883
6,6,3,0.4,0.6,200,0.8542875858873825,0.0010256514633186558
6,6,3,0.4,0.625,200,0.8428356567893843,0.0010482378187381834
6,6,3,0.4,0.65,200,0.8312526642750082,0.0010679779949351958
6,6,3,0.4,0.675,200,0.819568803682641,0.0010850033990525672
6,6,3,0.4,0.7,200,0.8078121071530795,0.001099449461317183
6,6,3,0.4,0.725,200,0.7960084826426627,0.0011114536189627505
6,6,3,0.4,0.75,200,0.7841817736687764,0.0011211536408180511
6,6,3,0.4,0.775,200,0.7723538349211464,0.0011286862574918233
6,6,3,0.4,0.8,200,0.7605446194644739,0.001134186060944253
6,6,3,0.4,0.825,200,0.7487722738599039,0.0011377846376898152
6,6,3,0.4,0.85,200,0.7370532381168414,0.0011396099015733554
6,6,3,0.4,0.875,200,0.7254023479332993,0.0011397855946316778
6,6,3,0.4,0.9,200,0.7138329371798443,0.001138430927657827
6,6,3,0.4,0.925,200,0.702356939022603,0.0011356603354394285
6,6,3,0.4,0.95,200,0.6909849844625253,0.001131583325022697
6,6,3,0.4,0.975,200,0.6797264973922154,0.0011263043985967496
6,6,3,0.4,1.0,200,0.668589785541525,0.0011199230355898881
6,6,3,0.5,0.0,200,0.9835533421110005,0.0006079320817991774
6,6,3,0.5,0.025,200,0.9871917464182774,0.0005247123872791235
6,6,3,0.5,0.05,200,0.9899941256125909,0.0004408848459175317
6,6,3,0.5,0.075,200,0.9919452178324671,0.00035825173001071846
6,6,3,0.5,0.1,200,0.9930357332447286,0.000280126077858933
6,6,3,0.5,0.125,200,0.9932624962464018,0.0002136029943049091
6,6,3,0.5,0.15,200,0.9926284610465781,0.00017397142716788142
6,6,3,0.5,0.175,200,0.9911426009640267,0.00018006165613218919
6,6,3,0.5,0.2,200,0.9888196768754891,0.00022740367596754316
6,6,3,0.5,0.225,200,0.9856798949605536,0.00029557703102828833
6,6,3,0.5,0.25,200,0.981748467919707,0.0003718376166002398
6,6,3,0.5,0.275,200,0.9770550969650326,0.0004505444364101028
6,6,3,0.5,0.3,200,0.9716333939523885,0.0005290540341802815
6,6,3,0.5,0.325,200,0.9655202639837966,0.0006059447874069995
6,6,3,0.5,0.35,200,0.9587552686906612,0.0006803546653009465
6,6,3,0.5,0.375,200,0.9513799893202993,0.0007517169764983917
