L,N,nmax,W_over_t,recommended_action,reason,proposed_U_min_over_t,proposed_U_max_over_t,proposed_U_values_over_t_json,suggested_realizations
6,6,3,0.7,refine_plateau,wide_plateau,0.275,0.375,"[0.275, 0.2875, 0.3, 0.3125, 0.325, 0.3375, 0.35, 0.3625, 0.375]",200
6,6,3,0.8,refine_plateau,wide_plateau;low_peak_significance;realization_limit_exceeded,0.15,0.275,"[0.15, 0.165625, 0.18125, 0.196875, 0.2125, 0.228125, 0.24375, 0.259375, 0.275]",500
6,6,3,0.9,refine_near_U0,peak_estimators_disagree;plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,0.0,0.3,"[0.0, 0.0375, 0.075, 0.1125, 0.15, 0.1875, 0.225, 0.2625, 0.3]",500
6,6,3,1.0,refine_plateau,low_peak_significance;realization_limit_exceeded,0.1,0.15000000000000002,"[0.1, 0.10625, 0.1125, 0.11875, 0.125, 0.13125, 0.1375, 0.14375, 0.15]",500
6,6,3,1.1,refine_near_U0,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,0.0,0.25,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875, 0.25]",500
6,6,3,1.2,refine_near_U0,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,0.0,0.175,"[0.0, 0.021875, 0.04375, 0.065625, 0.0875, 0.109375, 0.13125, 0.153125, 0.175]",500
6,6,3,1.3,refine_plateau,wide_plateau;low_peak_significance,0.075,0.2,"[0.075, 0.090625, 0.10625, 0.121875, 0.1375, 0.153125, 0.16875, 0.184375, 0.2]",498
6,6,3,1.4,refine_plateau,low_peak_significance;realization_limit_exceeded,0.1,0.15000000000000002,"[0.1, 0.10625, 0.1125, 0.11875, 0.125, 0.13125, 0.1375, 0.14375, 0.15]",500
6,6,3,1.5,refine_near_U0,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,0.0,0.175,"[0.0, 0.021875, 0.04375, 0.065625, 0.0875, 0.109375, 0.13125, 0.153125, 0.175]",500
6,6,3,1.6,refine_near_U0,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,0.0,0.2,"[0.0, 0.025, 0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2]",500
6,6,3,1.7,refine_near_U0,plateau_includes_U0;low_peak_significance;realization_limit_exceeded,0.0,0.1,"[0.0, 0.0125, 0.025, 0.0375, 0.05, 0.0625, 0.075, 0.0875, 0.1]",500
6,6,3,1.8,refine_plateau,wide_plateau;low_peak_significance;realization_limit_exceeded,0.05,0.2,"[0.05, 0.06875, 0.0875, 0.10625, 0.125, 0.14375, 0.1625, 0.18125, 0.2]",500
6,6,3,1.9,refine_plateau,wide_plateau,0.05,0.125,"[0.05, 0.059375, 0.06875, 0.078125, 0.0875, 0.096875, 0.10625, 0.115625, 0.125]",275
6,6,3,2.0,refine_near_U0,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,0.0,0.225,"[0.0, 0.028125, 0.05625, 0.084375, 0.1125, 0.140625, 0.16875, 0.196875, 0.225]",500
6,6,3,2.1,refine_near_U0,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,0.0,0.125,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125]",500
6,6,3,2.2,refine_near_U0,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,0.0,0.125,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125]",500
6,6,3,2.3,refine_plateau,low_peak_significance;realization_limit_exceeded,0.05,0.1,"[0.05, 0.05625, 0.0625, 0.06875, 0.075, 0.08125, 0.0875, 0.09375, 0.1]",500
6,6,3,2.4,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;wide_plateau;low_peak_significance;low_bootstrap_valid_fraction,0.0,0.1,"[0.0, 0.0125, 0.025, 0.0375, 0.05, 0.0625, 0.075, 0.0875, 0.1]",200
6,6,3,2.5,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;wide_plateau;low_peak_significance;low_bootstrap_valid_fraction,0.0,0.1,"[0.0, 0.0125, 0.025, 0.0375, 0.05, 0.0625, 0.075, 0.0875, 0.1]",200
6,6,4,0.1,refine_plateau,wide_plateau,0.45,0.55,"[0.45, 0.4625, 0.475, 0.4875, 0.5, 0.5125, 0.525, 0.5375, 0.55]",200
6,6,4,0.6,refine_plateau,wide_plateau,0.25,0.325,"[0.25, 0.259375, 0.26875, 0.278125, 0.2875, 0.296875, 0.30625, 0.315625, 0.325]",200
6,6,4,0.7,refine_plateau,wide_plateau,0.2,0.3,"[0.2, 0.2125, 0.225, 0.2375, 0.25, 0.2625, 0.275, 0.2875, 0.3]",200
6,6,4,1.2,refine_plateau,wide_plateau,0.15,0.25,"[0.15, 0.1625, 0.175, 0.1875, 0.2, 0.2125, 0.225, 0.2375, 0.25]",200
6,6,4,1.3,refine_plateau,wide_plateau,0.15,0.275,"[0.15, 0.165625, 0.18125, 0.196875, 0.2125, 0.228125, 0.24375, 0.259375, 0.275]",200
6,6,4,1.4,refine_plateau,wide_plateau,0.15,0.25,"[0.15, 0.1625, 0.175, 0.1875, 0.2, 0.2125, 0.225, 0.2375, 0.25]",200
6,6,4,1.5,refine_plateau,peak_estimators_disagree;wide_plateau,0.15,0.3,"[0.15, 0.16875, 0.1875, 0.20625, 0.225, 0.24375, 0.2625, 0.28125, 0.3]",200
6,6,4,1.6,refine_plateau,wide_plateau,0.175,0.35,"[0.175, 0.196875, 0.21875, 0.240625, 0.2625, 0.284375, 0.30625, 0.328125, 0.35]",200
6,6,4,1.7,refine_plateau,wide_plateau,0.225,0.325,"[0.225, 0.2375, 0.25, 0.2625, 0.275, 0.2875, 0.3, 0.3125, 0.325]",200
6,6,4,1.9,refine_plateau,peak_estimators_disagree;wide_plateau,0.2,0.4,"[0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4]",200
6,6,4,2.1,refine_plateau,wide_plateau,0.225,0.35,"[0.225, 0.240625, 0.25625, 0.271875, 0.2875, 0.303125, 0.31875, 0.334375, 0.35]",200
6,6,4,2.2,refine_plateau,wide_plateau,0.225,0.4,"[0.225, 0.246875, 0.26875, 0.290625, 0.3125, 0.334375, 0.35625, 0.378125, 0.4]",200
6,6,4,2.3,refine_plateau,wide_plateau,0.275,0.4,"[0.275, 0.290625, 0.30625, 0.321875, 0.3375, 0.353125, 0.36875, 0.384375, 0.4]",200
6,6,4,2.4,refine_plateau,wide_plateau,0.225,0.4,"[0.225, 0.246875, 0.26875, 0.290625, 0.3125, 0.334375, 0.35625, 0.378125, 0.4]",200
6,6,5,0.8,refine_plateau,wide_plateau,0.225,0.3,"[0.225, 0.234375, 0.24375, 0.253125, 0.2625, 0.271875, 0.28125, 0.290625, 0.3]",200
6,6,5,1.3,refine_plateau,wide_plateau,0.25,0.325,"[0.25, 0.259375, 0.26875, 0.278125, 0.2875, 0.296875, 0.30625, 0.315625, 0.325]",200
6,6,5,2.0,refine_plateau,wide_plateau,0.275,0.375,"[0.275, 0.2875, 0.3, 0.3125, 0.325, 0.3375, 0.35, 0.3625, 0.375]",200
