L,N,nmax,filling,W_over_t,realizations,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
6,6,3,1.0,0.1,200,0.023188004968345458,0.023964793285253624,0.022943182748029905,0.025055149815856964
6,6,3,1.0,0.2,200,0.046340787235990194,0.04790837538230207,0.045874665752391595,0.050087123812566095
6,6,3,1.0,0.3,200,0.06942371543602598,0.07177609429335371,0.06872671631646048,0.07504991614956351
6,6,3,1.0,0.4,200,0.09240448945802977,0.09553906572743674,0.09145846995183789,0.09991487819275413
6,6,3,1.0,0.5,200,0.11525298846348168,0.1191555027550453,0.11406771718497051,0.12464590733450086
6,6,3,1.0,0.6,200,0.13794232340613888,0.14261740223716413,0.13651489764311817,0.14923281517713025
6,6,3,1.0,0.7,200,0.16044915092361303,0.16591282316792813,0.15877205464881208,0.17361718995254408
6,6,3,1.0,0.8,200,0.18275377189192954,0.18897429611561684,0.18081298944028593,0.19785281976507157
6,6,3,1.0,0.9,200,0.20484031329919256,0.21178840883050076,0.20268432989727095,0.22186361947786426
6,6,3,1.0,1.0,200,0.22669643847214155,0.2344256518591329,0.2242336583460586,0.24567997241001516
6,6,3,1.0,1.1,200,0.24831318733209576,0.25684803776707926,0.2454555529517506,0.2692696341285951
6,6,3,1.0,1.2,200,0.2696846005427327,0.2789890296034202,0.2665092708423953,0.29268167178970816
6,6,3,1.0,1.3,200,0.2908073843418355,0.30088073618613803,0.28731043528435124,0.3157040735140788
6,6,3,1.0,1.4,200,0.3116803581265767,0.32259149337756066,0.30791889086587865,0.3385046385165867
6,6,3,1.0,1.5,200,0.33230424741489656,0.34399001144436364,0.3282644759079253,0.3611362887173738
6,6,3,1.0,1.6,200,0.35268122010073744,0.36513177538659614,0.3483507079974272,0.38356875365053655
6,6,3,1.0,1.7,200,0.37281453514157387,0.38595281654925684,0.3680555749318717,0.40581515075792823
6,6,3,1.0,1.8,200,0.3927083488166475,0.4066021014543115,0.3874682563470966,0.4277682532584953
6,6,3,1.0,1.9,200,0.4123673030487637,0.427059995057656,0.40677784446013665,0.44948425271113374
6,6,3,1.0,2.0,200,0.43179653724407263,0.447237318263626,0.4257476668944157,0.47096233765627377
6,6,3,1.0,2.1,200,0.45100128668127226,0.46713109974676714,0.44437003878725506,0.492228832434358
6,6,3,1.0,2.2,200,0.46998702518889846,0.48693304252455366,0.46276589027212395,0.5132371223394216
6,6,3,1.0,2.3,200,0.48875920456407507,0.5064786734581523,0.48099249079310125,0.534272084470107
6,6,3,1.0,2.4,200,0.5073230954219177,0.5258492257835321,0.4989999177157501,0.55504073386791
6,6,3,1.0,2.5,200,0.525684029813947,0.5449416475012394,0.5168947440236032,0.5755904907107036
6,6,4,1.0,0.1,200,0.019442135855914394,0.020085143656794237,0.01921048400845153,0.021047975010618464
6,6,4,1.0,0.2,200,0.03885093071910998,0.04019582906279741,0.038449593301342844,0.04211101373344599
6,6,4,1.0,0.3,200,0.058193949610535776,0.06017093260978329,0.05756608777388701,0.06306002948966534
6,6,4,1.0,0.4,200,0.07744086233420082,0.08010150448648448,0.07662718584909099,0.08388664962794226
6,6,4,1.0,0.5,200,0.09656388702334841,0.09989804232846312,0.09555828449746347,0.10462804363710995
