L,N,nmax,filling,W_over_t,realizations,U_points,U_scan_min_over_t,U_scan_max_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high,U_S_candidate_over_t,U_S_grid_max_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,plateau_width_over_t,plateau_points,plateau_includes_U0,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,curvature_ci95_low,curvature_ci95_high,curvature_bootstrap_valid_fraction,R_required_for_3sigma,max_required_realizations,unresolved_reasons,delta_U_star_over_t,relative_peak_error,theory_ED_status
6,3,2,0.5,0.5,200,13,0.0,0.4157569,0.1657568970082809,0.17125421993578557,0.16396302694874404,0.1791829415132353,0.0,0.0,,0.021618025471664394,0.05299878217542858,0.048,0.03138075670376419,0.020787845,False,True,0.0,0.0,0.0,1,True,0.0,0.0,,-0.0592541173380414,-0.22592643344817775,-0.03984198465935633,0.048,,500,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,,,unresolved
6,3,2,0.5,1.0,200,14,0.0,0.5764106,0.3264106014629072,0.33755412927527495,0.3225117428715418,0.3540331817595485,0.02796396594342891,0.0,,0.03862915025060198,0.07275750096800575,0.372,0.03412835071740377,0.024999999999999994,False,True,0.0,0.0764106,0.0764106,2,True,0.0,0.0,,-0.09165789172387644,-0.21175113412489588,-0.08898487914557338,0.372,,500,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,,,unresolved
6,3,2,0.5,2.0,200,12,0.0,0.92981706,0.619878042333038,0.642960051704287,0.6100970884511784,0.6791051488910725,0.11598811866759538,0.0,,0.15079394331734136,0.23724590948922342,0.237,0.08645196617188206,0.03099390000000002,False,True,0.0,0.30993902,0.30993902,2,True,0.0,0.0,,-0.05322548482123308,-0.10434547658922577,-0.028407118013616405,0.237,,500,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,,,unresolved
6,3,3,0.5,0.5,200,13,0.0,0.38250847,0.13250846970102884,0.1370354840337356,0.13105967068876187,0.14355876904169193,0.0,0.0,,,,0.0,,0.019125422499999996,False,True,0.0,0.0,0.0,1,True,0.0,0.0,,2.1697608551472247,,,0.0,,500,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,,,unresolved
6,3,3,0.5,1.0,200,14,0.0,0.51051032,0.2605103170973202,0.26987102176104927,0.2577247016714508,0.2830661516187026,0.0,0.0,,0.0028261638482585763,0.0488827972938331,0.0015,0.04605663344557453,0.024999999999999994,False,True,0.0,0.0,0.0,1,True,0.0,0.0,,-0.12744406745978148,-0.20112026874135946,-0.12321702710868854,0.0015,,500,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,,,unresolved
6,3,3,0.5,2.0,200,14,0.0,0.74385324,0.4938532380269678,0.5123868161012025,0.4866104005864044,0.5406202090179131,0.3444518424825901,0.34385324,0.34507669844155026,0.31544575439081357,0.37619135542387183,1.0,0.06074560103305826,0.024999999999999994,True,False,0.34385324,0.34385324,0.0,1,False,0.01149104856814334,0.001853809450020838,6.198613653638551,-0.45221014600135356,-0.6416904298623459,-0.28302877763727263,1.0,46.847170795551975,500,,-0.14877653958541753,0.3012565842026398,inconsistent
6,3,4,0.5,0.5,200,13,0.0,0.38250847,0.13250846970102884,0.13692383022001953,0.13111263108691526,0.14298941965615508,0.0,0.0,,,,0.0,,0.019125422499999996,False,True,0.0,0.0,0.0,1,True,0.0,0.0,,2.1697608551472247,,,0.0,,500,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,,,unresolved
6,3,4,0.5,1.0,200,14,0.0,0.51051032,0.2605103170973202,0.26965129146809924,0.25778523329186515,0.28203878776447544,0.0,0.0,,0.03955389314663513,0.03955389314663513,0.0005,0.0,0.024999999999999994,False,True,0.0,0.0,0.0,1,True,0.0,0.0,,-0.12744406745978148,-0.16488326479507054,-0.16488326479507054,0.0005,,500,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,,,unresolved
6,3,4,0.5,2.0,200,14,0.0,0.74385324,0.4938532380269678,0.5119152768159354,0.486747302772612,0.5382157644761209,0.3444518424825901,0.34385324,0.3443571071933487,0.31414164732580213,0.3758294973262244,1.0,0.06168785000042226,0.024999999999999994,True,False,0.34385324,0.34385324,0.0,1,False,0.01149104856814334,0.001853809450020838,6.198613653638551,-0.45221014600135356,-0.6422765411295742,-0.27250776714016595,1.0,46.847170795551975,500,,-0.14949613083361907,0.30271367953540795,inconsistent
6,6,2,1.0,0.5,200,13,0.0,0.4157569,0.1657568970082809,0.17119490328521464,0.16335806955639606,0.178862117952506,0.4157569,0.4157569,,,,0.0,,0.020787845,False,True,0.4157569,0.4157569,0.0,1,False,0.013918895051642597,0.0005758451495676636,24.171246492382036,-0.11171571358754741,,,0.0,3.080877359338478,500,local_fit_rejected;scan_boundary;low_bootstrap_valid_fraction;broad_bootstrap_interval,,,unresolved
6,6,2,1.0,1.0,200,14,0.0,0.5764106,0.3264106014629072,0.33737804857562276,0.32112394435779495,0.3531258876888518,0.43876233604345866,0.4264106,0.438705366747827,0.3829628374993135,0.5126425184482278,0.9925,0.12967968094891436,0.024999999999999994,True,False,0.4264106,0.4896159,0.06320530000000002,3,False,0.002529372426620097,0.0005514676749934233,4.586619563241421,-0.0838102165623135,-0.20949424635362568,-0.034199375288877835,0.9925,85.56320953434907,500,,0.11229476528491983,0.34402916076143697,inconsistent
6,6,2,1.0,2.0,200,12,0.0,0.92981706,0.619878042333038,0.6427615087763924,0.6083176085759953,0.676881604518135,0.2203817043430698,0.37192683,,0.1638578674564594,0.4668731792789462,0.7565,0.30301531182248687,0.03099390000000002,False,False,0.0,0.43391463,0.43391463,4,True,0.00034573523172659495,0.0006922796415649331,0.4994155699061769,-0.02204118810663261,-0.11930366729420656,-0.00818925473744654,0.7565,7216.8611434185605,500,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,0.5,200,13,0.0,0.36525299,0.11525298846348168,0.1190532566136025,0.11392580824550984,0.12432195411291606,0.36525299,0.36525299,,0.32746032167636674,0.36443874761712736,0.0175,0.03697842594076062,0.01826264999999999,False,True,0.36525299,0.36525299,0.0,1,False,0.006027690620392629,0.0004946108469072421,12.186733586784936,-0.008535377791964815,-0.2695995088393939,-0.12128598827614705,0.0175,12.11986746759894,500,local_fit_rejected;scan_boundary;low_bootstrap_valid_fraction,,,unresolved
6,6,3,1.0,1.0,200,13,0.0,0.47669644,0.22669643847214155,0.23457309413699212,0.2242512429299178,0.24525726942202056,0.1412332615556056,0.14300893,,0.07129841457274701,0.19407411436113825,0.8445,0.12277569978839124,0.023834820000000007,False,False,0.09533929,0.14300893,0.04766964000000001,2,False,0.000370301823402413,0.0002839076281187374,1.3043038887547727,-0.08664002117072205,-0.1978013506706718,-0.027187709735565977,0.8445,1058.0712816711196,500,low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,2.0,200,14,0.0,0.68179654,0.43179653724407263,0.4475023382885083,0.4255366562380487,0.46999854445767053,0.07640319174776375,0.0,,0.09000159832997255,0.22099297638667356,0.483,0.13099137805670102,0.024999999999999994,False,True,0.0,0.23179654,0.23179654,4,True,0.0,0.0,,-0.04617079565400524,-0.4039692390512883,-0.026945273479625217,0.483,,500,local_fit_rejected;scan_boundary;plateau_includes_U0;wide_plateau;low_peak_significance;low_bootstrap_valid_fraction,,,unresolved
6,6,4,1.0,0.5,200,13,0.0,0.34656389,0.09656388702334841,0.0997196947307086,0.09537932787708171,0.1041962924315371,0.30341902686509187,0.3119075,0.30259552607850754,0.2798669865536916,0.3357604902836588,0.9265,0.05589350372996721,0.01732819499999999,True,False,0.3119075,0.3119075,0.0,1,False,0.005611490299713884,0.0004427457217448592,12.674295931305721,-0.15983956601353266,-0.3258676305368684,-0.045805914434421745,0.9265,11.205334322011982,500,,0.20603163905515914,2.133630339521671,inconsistent
6,6,4,1.0,1.0,200,13,0.0,0.43959746,0.18959745988166068,0.19611571475846348,0.18746942236693978,0.20524493537764302,0.18459955521935129,0.17583898,0.18412803906325426,0.1393204320998052,0.2623503975577918,0.996,0.12302996545798661,0.02197987,True,False,0.17583898,0.17583898,0.0,1,False,0.0010624074740503292,0.00026982750279016914,3.9373579900656326,-0.08481093048141462,-0.28120558481663055,-0.0293665222522603,0.996,116.10814820804963,500,,-0.005469420818406429,0.02884754269292546,consistent
6,6,4,1.0,2.0,200,14,0.0,0.60992651,0.35992651408326426,0.3731510615195379,0.35536754557573375,0.39225022106100704,0.3070556216612441,0.30992651,0.30555814827771927,0.24640955219377256,0.3554311819105329,0.986,0.10902162971676035,0.024999999999999994,True,False,0.25992651,0.35992651,0.09999999999999998,3,False,0.005503868489067929,0.0012136287693404683,4.5350511030312335,-0.22000473428519712,-0.3861023350358274,-0.06810997724423948,0.986,87.52016637866548,500,,-0.054368365805544994,0.15105407264597237,consistent
