L,N,nmax,W_over_t,recommended_action,reason,proposed_U_min_over_t,proposed_U_max_over_t,proposed_U_values_over_t_json,suggested_realizations
6,3,2,0.5,refine_near_U0,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,0.0,0.13858563333333332,"[0.0, 0.0173232, 0.03464641, 0.05196961, 0.06929282, 0.08661602, 0.10393922, 0.12126243, 0.13858563]",200
6,3,2,1.0,refine_near_U0,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,0.0,0.1773571076923077,"[0.0, 0.02216964, 0.04433928, 0.06650892, 0.08867855, 0.11084819, 0.13301783, 0.15518747, 0.17735711]",200
6,3,2,2.0,refine_near_U0,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,0.0,0.3381152945454545,"[0.0, 0.04226441, 0.08452882, 0.12679324, 0.16905765, 0.21132206, 0.25358647, 0.29585088, 0.33811529]",200
6,3,3,0.5,refine_near_U0,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,0.12750282333333332,"[0.0, 0.01593785, 0.03187571, 0.04781356, 0.06375141, 0.07968926, 0.09562712, 0.11156497, 0.12750282]",200
6,3,3,1.0,refine_near_U0,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,0.0,0.15708009846153845,"[0.0, 0.01963501, 0.03927002, 0.05890504, 0.07854005, 0.09817506, 0.11781007, 0.13744509, 0.1570801]",200
6,3,4,0.5,refine_near_U0,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,0.12750282333333332,"[0.0, 0.01593785, 0.03187571, 0.04781356, 0.06375141, 0.07968926, 0.09562712, 0.11156497, 0.12750282]",200
6,3,4,1.0,refine_near_U0,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,0.0,0.15708009846153845,"[0.0, 0.01963501, 0.03927002, 0.05890504, 0.07854005, 0.09817506, 0.11781007, 0.13744509, 0.1570801]",200
6,6,2,0.5,extend_upper_boundary,local_fit_rejected;scan_boundary;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.34646408333333334,0.62363535,"[0.34646408, 0.38111049, 0.4157569, 0.45040331, 0.48504972, 0.51969613, 0.55434253, 0.58898894, 0.62363535]",200
6,6,2,2.0,refine_near_U0,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,0.0,0.43391463,"[0.0, 0.05423933, 0.10847866, 0.16271799, 0.21695732, 0.27119664, 0.32543597, 0.3796753, 0.43391463]",500
6,6,3,0.5,extend_upper_boundary,local_fit_rejected;scan_boundary;low_bootstrap_valid_fraction,0.30437749166666667,0.5478794849999999,"[0.30437749, 0.33481524, 0.36525299, 0.39569074, 0.42612849, 0.45656624, 0.48700399, 0.51744174, 0.54787948]",200
6,6,3,1.0,refine_plateau,low_peak_significance;realization_limit_exceeded,0.09533929,0.14533929,"[0.09533929, 0.10158929, 0.10783929, 0.11408929, 0.12033929, 0.12658929, 0.13283929, 0.13908929, 0.14533929]",500
6,6,3,2.0,refine_near_U0,local_fit_rejected;scan_boundary;plateau_includes_U0;wide_plateau;low_peak_significance;low_bootstrap_valid_fraction,0.0,0.23179654,"[0.0, 0.02897457, 0.05794913, 0.0869237, 0.11589827, 0.14487284, 0.17384741, 0.20282197, 0.23179654]",200
