L,N,nmax,filling,W_over_t,realizations,U_points,U_scan_min_over_t,U_scan_max_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high,U_S_candidate_over_t,U_S_grid_max_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,plateau_width_over_t,plateau_points,plateau_includes_U0,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,curvature_ci95_low,curvature_ci95_high,curvature_bootstrap_valid_fraction,R_required_for_3sigma,max_required_realizations,unresolved_reasons,delta_U_star_over_t,relative_peak_error,theory_ED_status
6,6,3,1.0,0.5,200,21,0.0,2.0,0.11525298846348168,0.12003353132995706,0.11491001701955238,0.12554470217432234,0.3859435907899726,0.4,0.38612348744948477,0.3715448039916842,0.3977462353899984,1.0,0.026201431398314212,0.049999999999999996,True,False,0.4,0.4,0.0,1,False,0.005930873014707065,0.0004785367494291566,12.393767086398203,-0.11632543996364803,-0.13609847732205047,-0.09661694201392726,1.0,11.718333252134396,500,,0.27087049898600307,2.3502253832821816,inconsistent
6,6,3,1.0,1.0,200,21,0.0,2.0,0.22669643847214155,0.23578292383292382,0.22575021263938724,0.24684907752892649,0.10676165481780125,0.1,,0.049031938229698244,0.15681547635682003,0.8345,0.10778353812712178,0.049999999999999996,False,False,0.0,0.2,0.2,3,True,0.00023345545481260222,0.0002479214080981122,0.9416510522569104,-0.04383352885810417,-0.07469968375207006,-0.023355180758156815,0.8345,2029.9835237970797,500,plateau_includes_U0;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,1.5,200,21,0.0,2.0,0.33230424741489656,0.34595736223900675,0.3305231293269683,0.36425983757007263,0.06848665407444066,0.1,,0.019066097902188772,0.13417543530605697,0.6595,0.1151093374038682,0.049999999999999996,False,False,0.0,0.1,0.1,2,True,0.00013056373503450623,0.00026825710496093067,0.48671119094318754,-0.04109819972173949,-0.09047516659930885,-0.02347611792505321,0.6595,7598.534522321134,500,plateau_includes_U0;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,2.0,200,21,0.0,2.0,0.43179653724407263,0.44963969704379525,0.42888993802506675,0.4745673228144634,0.0906027176052347,0.1,,0.04278010826532576,0.14023016205738414,0.817,0.09745005379205839,0.049999999999999996,False,False,0.0,0.1,0.1,2,True,0.00042244421673652,0.0004988372275712307,0.846857839366445,-0.11197511543595796,-0.17375669699994117,-0.06910010447471553,0.817,2509.8714635674582,500,plateau_includes_U0;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,2.5,200,21,0.0,2.0,0.525684029813947,0.5478792799142591,0.5206281507711774,0.5793969570204839,0.0,0.0,,0.0032736803715029726,0.15011784375139847,0.074,0.1468441633798955,0.049999999999999996,False,True,0.0,0.0,0.0,1,True,0.0,0.0,,-0.009049841394724395,-0.1522204661283903,-0.029166699663411597,0.074,,500,local_fit_rejected;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,,,unresolved
6,6,3,1.0,3.0,200,21,0.0,2.0,0.6146170111243945,0.6411131202537936,0.6070649707787561,0.6798091716637538,0.0420382754650189,0.1,,0.020066035700702273,0.2100085919995022,0.484,0.1899425562987999,0.049999999999999996,False,False,0.0,0.2,0.2,3,True,9.561744616942702e-06,0.001006835141049423,0.009496832427776119,-0.07045183291615087,-0.21867275579190112,-0.04305361294828532,0.484,19957905.19411344,500,plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;realization_limit_exceeded,,,unresolved
6,6,3,1.0,3.5,200,21,0.0,2.0,0.6991691941252669,0.729329265438833,0.6880499934937679,0.7760865436603175,0.12376766052871699,0.1,,0.03916610936895615,0.25086730988844735,0.7085,0.2117012005194912,0.049999999999999996,False,False,0.0,0.3,0.3,4,True,0.00031287055022258367,0.001253660922604513,0.24956552811153038,-0.05355267054856944,-0.2834053988689522,-0.03782452395260373,0.7085,28900.36387896057,500,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,4.0,200,21,0.0,2.0,0.7798135519839942,0.8137996401135027,0.7629770937014945,0.8685469504094819,0.13026184914770575,0.1,,0.063236792934305,0.18660202334027187,0.9115,0.12336523040596688,0.049999999999999996,False,False,0.1,0.2,0.1,2,False,0.0015853919173817602,0.001394376102960832,1.1369901664373931,-0.2160712994648517,-0.3899900446052594,-0.09899485860829334,0.9115,1392.3842045210706,500,low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,4.5,200,21,0.0,2.0,0.8569431038986925,0.8944500509098263,0.8334114813813572,0.9586795799269885,0.04168446608440633,0.1,,0.014331904820026872,0.21531268163947465,0.5135,0.20098077681944776,0.049999999999999996,False,False,0.0,0.1,0.1,2,True,0.0002311173684056908,0.0013862656358008007,0.16671939521330037,-0.10184978708961615,-0.34131247233560513,-0.04804145470198238,0.5135,64759.017731582026,500,plateau_includes_U0;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,5.0,200,21,0.0,2.0,0.9308915829652271,0.9709527254265544,0.9009792314113307,1.0455113344183986,0.0522497711335477,0.1,,0.014113507524050082,0.21196896267514734,0.597,0.19785545515109726,0.049999999999999996,False,False,0.0,0.1,0.1,2,True,0.0008139596299756854,0.001584021252852436,0.5138565082444081,-0.10108942955088646,-0.36477700347198533,-0.04711171304426051,0.597,6816.929179941396,500,plateau_includes_U0;low_peak_significance;realization_limit_exceeded,,,unresolved
