L,N,nmax,W_over_t,U_over_t,realizations,sample_mixing_mean,sample_mixing_sem
6,6,3,0.5,0.0,200,0.9835533421110005,0.0006079320817991774
6,6,3,0.5,0.1,200,0.9930357332447286,0.000280126077858933
6,6,3,0.5,0.2,200,0.9888196768754891,0.00022740367596754316
6,6,3,0.5,0.3,200,0.9716333939523885,0.0005290540341802815
6,6,3,0.5,0.4,200,0.943437406857051,0.000819643566690268
6,6,3,0.5,0.5,200,0.9068710127517176,0.0010528855219684736
6,6,3,0.5,0.6,200,0.8646735911321854,0.001222251041079891
6,6,3,0.5,0.7,200,0.8192787570275553,0.001332212284221847
6,6,3,0.5,0.8,200,0.7726302513579658,0.001391725723796708
6,6,3,0.5,0.9,200,0.7261643760159745,0.001410831071477358
6,6,3,0.5,1.0,200,0.6808781278383242,0.0013989778386322548
6,6,3,0.5,1.1,200,0.6374228045543983,0.0013643736097787686
6,6,3,0.5,1.2,200,0.5961920688243447,0.0013138356971515391
6,6,3,0.5,1.3,200,0.5573938382316883,0.0012528525232246392
6,6,3,0.5,1.4,200,0.521105339423761,0.001185722328547555
6,6,3,0.5,1.5,200,0.48731407493320644,0.0011157173290411273
6,6,3,0.5,1.6,200,0.4559478966800782,0.0010452521422673901
6,6,3,0.5,1.7,200,0.42689687557384337,0.0009760451233213649
6,6,3,0.5,1.8,200,0.4000290299035635,0.0009092651122746929
6,6,3,0.5,1.9,200,0.37520146323541964,0.0008456590193315188
6,6,3,0.5,2.0,200,0.3522680840742233,0.0007856584205443267
6,6,3,1.0,0.0,200,0.9411680135937829,0.0020459468412172086
6,6,3,1.0,0.1,200,0.963452260961121,0.0015367140769250729
6,6,3,1.0,0.2,200,0.9739076491011809,0.0009948607507071334
6,6,3,1.0,0.3,200,0.9720019462599783,0.0006330265117029013
6,6,3,1.0,0.4,200,0.9583951530392776,0.0008158486846283986
6,6,3,1.0,0.5,200,0.9347046943208508,0.0012651513007803732
6,6,3,1.0,0.6,200,0.9030898038154905,0.001699755463522889
6,6,3,1.0,0.7,200,0.8658242764523086,0.002054776701118372
6,6,3,1.0,0.8,200,0.824982298568371,0.002319329569556136
6,6,3,1.0,0.9,200,0.7822782474885074,0.0024988325449378833
6,6,3,1.0,1.0,200,0.7390337731011962,0.002604153191291801
6,6,3,1.0,1.1,200,0.6962186324225081,0.0026473484040753625
6,6,3,1.0,1.2,200,0.6545180809027055,0.0026400366643623803
6,6,3,1.0,1.3,200,0.6143989455049526,0.0025928771852553765
