L,N,nmax,filling,W_over_t,realizations,U_points,U_scan_min_over_t,U_scan_max_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high,entropy_peak_method,U_S_loess_over_t,loess_span_points_used,loess_dense_points,U_S_candidate_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,peak_estimator_disagreement_over_t,peak_estimators_agree,peak_smoothing_points_used,U_S_grid_max_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,plateau_width_over_t,plateau_points,plateau_includes_U0,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,curvature_ci95_low,curvature_ci95_high,curvature_bootstrap_valid_fraction,R_required_for_3sigma,max_required_realizations,unresolved_reasons,delta_U_star_over_t,relative_peak_error,theory_ED_status
7,7,7,1.0,1.0,300,11,0.0,10.0,0.16272523759996146,0.0,0.0,0.0,weighted_loess_quadratic,0.0,5,1001,0.0,0.0,0.0,0.0,False,7,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,1,True,0.0,0.0,,-0.06398504233489846,,,0.0,,500,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,,,unresolved
7,7,7,1.0,2.0,300,11,0.0,10.0,0.30833704950642726,0.0,0.0,0.0,weighted_loess_quadratic,0.0,5,1001,0.0,0.26299508822654427,0.0,0.26299508822654427,False,7,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,1,True,0.0,0.0,,-0.07445699720421928,,,0.0,,500,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,,,unresolved
7,7,7,1.0,3.0,300,11,0.0,10.0,0.43782757745043593,0.0,0.0,1.0,weighted_loess_quadratic,0.0,5,1001,0.0,1.0,0.0,1.0,False,7,0.0,,,,0.0,,0.5,False,True,0.0,1.0,1.0,2,True,0.0,0.0,,-0.07147555943771891,,,0.0,,500,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,,,unresolved
7,7,7,1.0,4.0,300,11,0.0,10.0,0.5556657650032572,0.510047957019287,0.4067993855170178,0.6081729357122161,weighted_loess_quadratic,0.04828256139953317,5,1001,0.04828256139953317,0.29992317843268923,0.0,0.29992317843268923,True,7,0.05,,0.009045631401035984,0.11013407420534084,0.8965,0.10108844280430486,0.5,False,False,0.0,1.0,1.0,2,True,0.0,0.0,,-0.06595864943039696,-0.0676921554218988,-0.06437309956388254,0.8965,,500,plateau_includes_U0;low_peak_significance,,,unresolved
7,7,7,1.0,5.0,300,11,0.0,10.0,0.6647748824771159,0.8537410917200596,0.7761417362773618,0.928612524194744,weighted_loess_quadratic,0.26101166530924946,5,1001,0.26101166530924946,0.46274616495002907,0.0,0.46274616495002907,True,7,0.26,,0.1888753364748904,0.3285683844850565,1.0,0.13969304801016608,0.5,False,False,0.0,1.0,1.0,2,True,0.0,0.0,,-0.056936154992389264,-0.058914896685545455,-0.05481711113312139,1.0,,500,plateau_includes_U0;low_peak_significance,,,unresolved
7,7,7,1.0,6.0,300,11,0.0,10.0,0.7669311983325444,1.0636351477185275,0.9968186170660128,1.1286939975436812,weighted_loess_quadratic,0.41195536057679544,5,1001,0.41195536057679544,0.5631504827467564,0.0,0.5631504827467564,True,7,0.41000000000000003,,0.3363931560973442,0.48388904362506224,1.0,0.14749588752771803,0.5,False,False,0.0,1.0,1.0,2,True,0.0,0.0,,-0.04914734031184873,-0.05137207432695407,-0.046940770170129126,1.0,,500,plateau_includes_U0;low_peak_significance,,,unresolved
7,7,7,1.0,7.0,300,11,0.0,10.0,0.8632936438831075,1.2120786650021564,1.1497119831555433,1.273115942371439,weighted_loess_quadratic,0.5096358989077799,5,1001,0.5096358989077799,0.620437553463384,0.0,0.620437553463384,True,7,0.51,0.5102081993512545,0.4231782325536784,0.5893505628835054,1.0,0.16617233032982698,0.5,True,False,1.0,1.0,0.0,1,False,0.017693613721042667,0.002222826515745038,7.959961605511167,-0.041547607445646256,-0.04389966987960223,-0.03918623748514485,1.0,42.612971369109616,500,,-0.353085444531853,0.4089980819778418,consistent
7,7,7,1.0,8.0,300,11,0.0,10.0,0.9546815119536648,1.327855938523391,1.267098379783911,1.3873992249233218,weighted_loess_quadratic,0.5666578210567632,5,1001,0.5666578210567632,0.6504974753086775,0.0,0.6504974753086775,True,7,0.5700000000000001,0.5655265955511118,0.46508462909468573,0.6589346807990512,1.0,0.19385005170436542,0.5,True,False,1.0,1.0,0.0,1,False,0.014066074485353361,0.0021256411155052045,6.617332710940838,-0.034821159424780423,-0.03708882782671405,-0.03247715663472632,1.0,61.65919099712808,500,,-0.38915491640255295,0.40762800109764824,consistent
7,7,7,1.0,9.0,300,11,0.0,10.0,1.0417136607463795,1.42427342769555,1.3642975116882645,1.4845242200656619,weighted_loess_quadratic,0.5853332399236075,5,1001,0.5853332399236075,0.6521876116741852,0.0,0.6521876116741852,True,7,0.59,0.5818718651135182,0.460853473014837,0.7017847071038518,1.0,0.2409312340890148,0.5,True,False,1.0,1.0,0.0,1,False,0.010519198987455724,0.0020890874552296915,5.035308101210706,-0.02889540780896628,-0.03112366374318065,-0.02662675198351259,1.0,106.4906959751954,500,,-0.4598417956328613,0.4414282090755999,consistent
7,7,7,1.0,10.0,300,11,0.0,10.0,1.1248817062507641,1.5078589821917414,1.4468791739498894,1.5713876564613443,weighted_loess_quadratic,0.6010173661422913,5,1001,0.6010173661422913,0.654699716969295,0.0,0.654699716969295,True,7,0.6,0.5985702671389168,0.45792776056082635,0.7385352168294715,1.0,0.2806074562686452,0.5,True,False,1.0,1.0,0.0,1,False,0.00807469770947572,0.0020400038508676726,3.9581776799300243,-0.02405497198615657,-0.02627705968488899,-0.021783891170150022,1.0,172.33488281055463,500,,-0.5263114391118473,0.46788158807030983,consistent
