task_index,L,N,nmax,W_over_t,realization_start,realization_stop,realizations_in_block,U_points,U_values_over_t_json,core_hash
0,7,7,7,1.0,0,8,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
1,7,7,7,1.0,8,16,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
2,7,7,7,1.0,16,24,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
3,7,7,7,1.0,24,32,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
4,7,7,7,1.0,32,40,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
5,7,7,7,1.0,40,48,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
6,7,7,7,1.0,48,56,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
7,7,7,7,1.0,56,64,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
8,7,7,7,1.0,64,72,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
9,7,7,7,1.0,72,80,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
10,7,7,7,1.0,80,88,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
11,7,7,7,1.0,88,96,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
12,7,7,7,1.0,96,104,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
13,7,7,7,1.0,104,112,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
14,7,7,7,1.0,112,120,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
15,7,7,7,1.0,120,128,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
16,7,7,7,1.0,128,136,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
17,7,7,7,1.0,136,144,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
18,7,7,7,1.0,144,152,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
19,7,7,7,1.0,152,160,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
20,7,7,7,1.0,160,168,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
21,7,7,7,1.0,168,176,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
22,7,7,7,1.0,176,184,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
23,7,7,7,1.0,184,192,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
24,7,7,7,1.0,192,200,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
25,7,7,7,1.0,200,208,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
26,7,7,7,1.0,208,216,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
27,7,7,7,1.0,216,224,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
28,7,7,7,1.0,224,232,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
29,7,7,7,1.0,232,240,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
30,7,7,7,1.0,240,248,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
31,7,7,7,1.0,248,256,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
32,7,7,7,1.0,256,264,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
33,7,7,7,1.0,264,272,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
34,7,7,7,1.0,272,280,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
35,7,7,7,1.0,280,288,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
36,7,7,7,1.0,288,296,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
37,7,7,7,1.0,296,300,4,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",a65356aedb904813c0b6a402b8ca4c7a2d8c8718a8950533177c4363b23a186b
38,7,7,7,2.0,0,8,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
39,7,7,7,2.0,8,16,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
40,7,7,7,2.0,16,24,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
41,7,7,7,2.0,24,32,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
42,7,7,7,2.0,32,40,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
43,7,7,7,2.0,40,48,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
44,7,7,7,2.0,48,56,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
45,7,7,7,2.0,56,64,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
46,7,7,7,2.0,64,72,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
47,7,7,7,2.0,72,80,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
48,7,7,7,2.0,80,88,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
49,7,7,7,2.0,88,96,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
50,7,7,7,2.0,96,104,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
51,7,7,7,2.0,104,112,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
52,7,7,7,2.0,112,120,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
