L,N,nmax,W_over_t,U_M_star_over_t,mixing_max,search_U_max_over_t,local_maxima,U_small_W_over_t,U_large_W_over_t,small_W_regime,large_W_regime,beta_eff
7,7,7,0.1,0.01670742733464954,0.9997204761932962,4.0,2,0.016707422482902922,0.1509611418948933,True,False,0.9993365661680338
7,7,7,0.11009117314389681,0.018392229630622585,0.9996612860566799,4.0,2,0.018392209234544817,0.15839498315617373,True,False,0.9992613177082816
7,7,7,0.12120066404199469,0.020246637001667553,0.9995895803304684,4.0,2,0.020246613511514838,0.16619489210351074,True,False,0.9991063655660923
7,7,7,0.13343123290202505,0.02228767452068106,0.999502721097256,4.0,2,0.022287618915468228,0.17437889515770943,True,False,0.9989140610107938
7,7,7,0.14689600964220462,0.024533935235130606,0.99939751839387,4.0,2,0.024533878497199492,0.18296590642198848,True,False,0.9986772390006173
7,7,7,0.16171954031667485,0.02700594003522764,0.9992701165206304,4.0,2,0.027005868381679232,0.19197577139448818,True,False,0.9984042434626197
7,7,7,0.17803893913754448,0.029726170203880468,0.9991158577899572,4.0,2,0.02972605193380719,0.20142931283333154,True,False,0.9980783958822137
7,7,7,0.19600515674947117,0.0327192872655474,0.9989291196342432,4.0,2,0.03271905386975495,0.21134837888023753,True,False,0.9976783738406283
7,7,7,0.21578437648802667,0.036012236368580544,0.9987031204415598,4.0,2,0.036011843104156414,0.2217558935539046,True,False,0.9971880980127281
7,7,7,0.23755955153691163,0.03963455861868713,0.998429688955442,4.0,2,0.039633922261370726,0.23267590972986132,True,False,0.9966135580255653
7,7,7,0.25,0.04170257320300657,0.9982619442419992,4.0,2,0.04170174040040955,0.23869052328386492,True,False,0.9962581370384811
7,7,7,0.26153209720236614,0.04361855047637832,0.9980989916194388,4.0,2,0.04361752058264303,0.24413366472922463,True,False,0.9958995226545948
7,7,7,0.2879237539579214,0.04799939094776051,0.9976992119596043,4.0,2,0.04799778531378049,0.25615563864483865,True,False,0.995040243576728
7,7,7,0.3169786384922227,0.05281558127757864,0.9972161761119982,4.0,2,0.05281296440410448,0.2687696155395912,True,False,0.99402394428758
7,7,7,0.34896550173163965,0.05810877170843517,0.996632919108564,4.0,2,0.058104570278475855,0.282004747658344,True,False,0.9928014139493229
7,7,7,0.38418021472384767,0.06392429473941233,0.9959291877941038,4.0,2,0.0639175102814006,0.29589162280187714,True,False,0.9913406332415189
7,7,7,0.4229485053762257,0.07031105174634386,0.9950808786034792,4.0,2,0.07030016376308473,0.3104623350185568,True,False,0.9895963522216977
7,7,7,0.4656289713632644,0.07732184137299095,0.9940594123086358,4.0,2,0.07730437818406394,0.32575055877710074,True,False,0.9875441744503775
7,7,7,0.5,0.08295099696518898,0.9931714115510929,4.0,2,0.08292622503762077,0.3375593752379728,True,False,0.9858095986142246
7,7,7,0.5126163970716772,0.08501333562158919,0.9928310537468449,4.0,2,0.0849853463927646,0.3417916267918644,True,False,0.9851315029096597
7,7,7,0.5643454052641858,0.09344609140776632,0.9913561929805649,4.0,2,0.09340131349101255,0.3586226116805093,True,False,0.9821916871036684
7,7,7,0.6212944772390209,0.1026845189299721,0.9895886157501699,4.0,2,0.1026130432602315,0.37628241164277304,True,False,0.9788077883495223
7,7,7,0.683990378670679,0.11279672347269838,0.9874748056411403,4.0,2,0.11268294939255485,0.3948118403583542,True,False,0.9748719708692697
7,7,7,0.75,0.12337335678509562,0.985067519055799,4.0,2,0.12319619814843538,0.41342411361285614,True,False,0.9706120962203499
7,7,7,0.7530130320699326,0.1238543515377555,0.9849533377591114,4.0,2,0.12367376364254881,0.4142537213116758,True,False,0.9704091810066005
7,7,7,0.8290008809322168,0.1359322658622775,0.9819544427044106,4.0,2,0.1356465686650735,0.4346529867615212,True,False,0.9650942476197955
7,7,7,0.9126567951915167,0.14910817828155953,0.9783998378922266,4.0,2,0.14865796396668468,0.45605678158427276,True,False,0.9591716329653615
7,7,7,1.0,0.16272523759996146,0.9744264758565254,4.0,2,0.16203440396965502,0.47738104656772984,True,False,0.9529915065638761
7,7,7,1.004754572603832,0.16346234576791543,0.9742029370138662,4.0,2,0.16275605404498394,0.4785145722307451,True,False,0.952645276309494
7,7,7,1.1061460961965053,0.1790772362819364,0.9692695526701224,4.0,2,0.17797484171333972,0.502078261048425,True,False,0.9451083899845774
7,7,7,1.21776921398815,0.19603743090620723,0.9634991964151155,4.0,2,0.1943264678535545,0.5268023062333268,True,False,0.9370001595807054
7,7,7,1.3406564138647656,0.21442952369215348,0.9567870500794029,4.0,2,0.2117905494571049,0.5527438476886878,True,False,0.9282305674716946
