L,N,nmax,filling,W_over_t,realizations,U_points,U_scan_min_over_t,U_scan_max_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high,U_S_candidate_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,peak_estimator_disagreement_over_t,peak_estimators_agree,peak_smoothing_points_used,U_S_grid_max_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,plateau_width_over_t,plateau_points,plateau_includes_U0,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,curvature_ci95_low,curvature_ci95_high,curvature_bootstrap_valid_fraction,R_required_for_3sigma,max_required_realizations,unresolved_reasons,delta_U_star_over_t,relative_peak_error,theory_ED_status
7,4,4,0.5714285714285714,0.1,200,41,0.0,1.0,0.023611791627640603,0.023266793885475714,0.022391894514765687,0.02421296293491083,0.06845744015691803,0.07056394408262436,0.06845744015691803,0.0021065039257063267,True,5,0.075,0.06851623192278179,0.0653165311387479,0.07182497316471038,1.0,0.006508442025962485,0.012500000000000011,True,False,0.075,0.075,0.0,1,False,0.0023897518663646812,0.0001536536788242467,15.552845103683755,-0.9776585914062306,-1.0831183128981534,-0.8647034278620144,1.0,7.441368502002417,500,,0.04490444029514119,1.901780305505273,inconsistent
7,4,4,0.5714285714285714,0.2,200,41,0.0,1.0,0.04718637918705629,0.04652189798960353,0.04477705898898465,0.04841235732061426,0.2511783253164004,0.251508447245798,0.2511783253164004,0.00033012192939763096,True,5,0.25,0.25116276758713524,0.247597277538756,0.25453289569407633,1.0,0.006935618155320344,0.012500000000000011,True,False,0.25,0.25,0.0,1,False,0.0031401522226979133,0.00014665042884522494,21.412499420728146,-0.6765619753031558,-0.7827895644606951,-0.5687715174856413,1.0,3.9258868340350506,500,,0.20397638840007895,4.322781105782148,inconsistent
7,4,4,0.5714285714285714,0.3,200,41,0.0,1.0,0.07068711591530405,0.06968834233202217,0.0670533181289695,0.072532457076103,0.24496701511851646,0.24644262581802684,0.24496701511851646,0.0014756106995103824,True,5,0.25,0.2448899221685675,0.23832385016609162,0.25051172431634605,1.0,0.012187874150254435,0.012500000000000011,True,False,0.25,0.25,0.0,1,False,0.0038395219003038556,0.00019106124035070003,20.095765594613905,-0.38333657131601473,-0.47101005544244795,-0.2991246324669069,1.0,4.457213040981704,500,,0.17420280625326345,2.46442090609539,inconsistent
7,4,4,0.5714285714285714,0.4,200,41,0.0,1.0,0.09407931742764405,0.09273133047952176,0.08922165857279632,0.096533281102089,0.24447516101794342,0.24475315006753157,0.24447516101794342,0.0002779890495881454,True,5,0.25,0.24443936575889258,0.237193266347881,0.25114228761710317,1.0,0.013949021269222178,0.012500000000000011,True,False,0.225,0.275,0.05000000000000002,3,False,0.004640734377384911,0.00023861323673566508,19.448771748257624,-0.3125336263803936,-0.3897716466638384,-0.24229780833986667,1.0,4.7586980224012905,500,,0.15036004833124852,1.598226394944773,inconsistent
7,4,4,0.5714285714285714,0.5,200,41,0.0,1.0,0.11733062493744519,0.11563079053257416,0.11118435873294712,0.12039638773308828,0.2577480297715044,0.2585312529438854,0.2577480297715044,0.0007832231723809979,True,5,0.25,0.2579355941321691,0.2502465718369548,0.26510296321450944,1.0,0.014856391377554623,0.012500000000000011,True,False,0.25,0.275,0.025000000000000022,2,False,0.006004610264350705,0.00029972936227996654,20.033440229796412,-0.3183729749694319,-0.45520931485983235,-0.26826811585239774,1.0,4.48498955353218,500,,0.14060496919472393,1.198365467410469,inconsistent
7,4,4,0.5714285714285714,0.6,200,41,0.0,1.0,0.1404116366738348,0.13834882324863754,0.13300246907743282,0.14408112368539067,0.261729187884849,0.26160055917483566,0.261729187884849,0.00012862871001334542,True,5,0.25,0.26166629914054007,0.2554010320707601,0.26933600270965485,1.0,0.013934970638894761,0.012500000000000011,True,False,0.25,0.275,0.025000000000000022,2,False,0.007733386778157563,0.0003796132795671972,20.371749868641352,-0.3848180473488259,-0.4496830082223458,-0.29697382101424796,1.0,4.337263773623105,500,,0.12125466246670527,0.863565622757965,inconsistent
7,4,4,0.5714285714285714,0.7,200,41,0.0,1.0,0.1632962626970096,0.16087204975043107,0.15468621116212247,0.16760924709091937,0.2692483293730684,0.26848278828739114,0.2692483293730684,0.0007655410856772793,True,5,0.275,0.268987542100242,0.26173934823394035,0.2753239527204942,1.0,0.013584604486553853,0.012500000000000011,True,False,0.25,0.275,0.025000000000000022,2,False,0.009893126631083526,0.00046285612577230895,21.374085985307268,-0.4147182793554568,-0.5704185443491385,-0.3658356416043191,1.0,3.940010695538159,500,,0.10569127940323242,0.6472363644925471,inconsistent
7,4,4,0.5714285714285714,0.8,200,41,0.0,1.0,0.1859622149258344,0.18319398045160096,0.1760874508433461,0.19090740835186396,0.2788826612819507,0.27914083406211293,0.2788826612819507,0.00025817278016221357,True,5,0.275,0.2787207062179933,0.27256262333668396,0.2849874022532431,1.0,0.012424778916559132,0.012500000000000011,True,False,0.275,0.275,0.0,1,False,0.01226093723463749,0.000550862737606624,22.25769941874909,-0.4490922891296976,-0.5123994843794568,-0.385464500523362,1.0,3.6333895168205164,500,,0.09275849129215888,0.4988028956804634,inconsistent
7,4,4,0.5714285714285714,0.9,200,41,0.0,1.0,0.2083907590690607,0.20528379627911575,0.19723347367893612,0.21398601180681523,0.28908386700326044,0.28896009842039944,0.28908386700326044,0.00012376858286100578,True,5,0.3,0.28881979677271413,0.2814208499622317,0.2958146490678125,1.0,0.014393799105580807,0.012500000000000011,True,False,0.275,0.3,0.024999999999999967,2,False,0.014531653539511993,0.0006570877112246097,22.11524168125052,-0.45932557524344253,-0.5430972557050641,-0.41446201422274265,1.0,3.6803500303175793,500,,0.08042903770365342,0.3859529955308586,inconsistent
7,4,4,0.5714285714285714,1.0,200,41,0.0,1.0,0.23056691199429902,0.2271020567205859,0.21807134222374827,0.23676397328966042,0.2979085620552751,0.2977499037844619,0.2979085620552751,0.0001586582708131834,True,5,0.3,0.2977932666634834,0.2889304108564671,0.3052362329452663,1.0,0.016305822088799216,0.012500000000000011,True,False,0.3,0.3,0.0,1,False,0.016723410062477243,0.0007377118750275882,22.6692976331062,-0.4299078281736858,-0.5088286792916956,-0.36001223840874497,1.0,3.5026470415855715,500,,0.06722635466918436,0.29156982711745993,inconsistent
7,4,4,0.5714285714285714,1.1,200,41,0.0,1.0,0.25247921005518237,0.24864088847727034,0.2386822614116782,0.2593460606812414,0.31018870319170044,0.31056960584660986,0.31018870319170044,0.00038090265490942077,True,5,0.3,0.31012023381069703,0.3022055283942081,0.3178772929207909,1.0,0.01567176452658281,0.012500000000000011,True,False,0.3,0.325,0.025000000000000022,2,False,0.018821201314216707,0.00081674422862908,23.04418036208035,-0.4405810187196309,-0.5162238226128446,-0.36548959572775613,1.0,3.3896118845078966,500,,0.057641023755514664,0.22830007961018464,inconsistent
7,4,4,0.5714285714285714,1.2,200,41,0.0,1.0,0.27411929440177907,0.2699382522005453,0.25899515200336565,0.281637265517798,0.32197611535592136,0.3227237311494275,0.32197611535592136,0.0007476157935061289,True,5,0.325,0.3218620450766566,0.3139349519233094,0.3294690854029096,1.0,0.015534133479600198,0.012500000000000011,True,False,0.325,0.325,0.0,1,False,0.020759897622962,0.000905500783242442,22.926427019338835,-0.43844027190853335,-0.5226723787760539,-0.3544240235416071,1.0,3.4245203457653632,500,,0.04774275067487754,0.17416778625185197,inconsistent
7,4,4,0.5714285714285714,1.3,200,41,0.0,1.0,0.2954818420522609,0.29089115792322495,0.27891403360306993,0.3037831058207754,0.32965607517200823,0.3293874730221906,0.32965607517200823,0.00026860214981760944,True,5,0.325,0.3295442777558744,0.3197881002145541,0.3393308400689914,1.0,0.019542739854437274,0.012500000000000011,True,False,0.325,0.35,0.024999999999999967,2,False,0.022311858998457397,0.0009672892522694609,23.066377452358903,-0.45086033238116324,-0.5771207477744109,-0.35808014968464263,1.0,3.383091283762911,500,,0.0340624357036135,0.11527759359774463,inconsistent
7,4,4,0.5714285714285714,1.4,200,41,0.0,1.0,0.3165639548011165,0.3115570350921875,0.2987800694078396,0.3254775702161837,0.3324188993765405,0.332512633753303,0.3324188993765405,9.373437676246654e-05,True,5,0.325,0.33231496982298797,0.32415676709224217,0.34125643721221777,1.0,0.017099670119975596,0.012500000000000011,True,False,0.325,0.325,0.0,1,False,0.02376781720516879,0.0010412204182729617,22.82688351866139,-0.5566960565362012,-0.6810224881086284,-0.44612032938965596,1.0,3.4544527732119015,500,,0.015751015021871484,0.0497561860186109,consistent
7,4,4,0.5714285714285714,1.5,200,41,0.0,1.0,0.3373650294973242,0.33203065880791555,0.31825192417207554,0.3469577946273308,0.33661181562080295,0.3374593669491517,0.33661181562080295,0.000847551328348739,True,5,0.35,0.33685389252894926,0.3256452484833224,0.3468109605430346,1.0,0.02116571205971224,0.012500000000000011,True,False,0.325,0.35,0.024999999999999967,2,False,0.02438592229511027,0.001108096065249428,22.007047096247106,-0.4632146824514836,-0.594359832210415,-0.367853550540046,1.0,3.7166268442865635,500,,-0.0005111369683749589,0.0015150858082017447,consistent
7,4,4,0.5714285714285714,1.6,200,41,0.0,1.0,0.35788612017028154,0.35223137968941903,0.3374262626146125,0.3681491589563473,0.3491365420014053,0.34875207482992604,0.3491365420014053,0.00038446717147927467,True,5,0.35,0.34893443307052374,0.3375890386749312,0.361495054902152,1.0,0.023906016227220828,0.012500000000000011,True,False,0.35,0.375,0.025000000000000022,2,False,0.024881564067125116,0.0011972659182155796,20.781986431392717,-0.5013702589585401,-0.6904850378527918,-0.3745368465676274,1.0,4.167718629386997,500,,-0.008951687099757799,0.02501266910127334,consistent
7,4,4,0.5714285714285714,1.7,200,41,0.0,1.0,0.37812987119919383,0.372101878218509,0.3565020763086973,0.38918771407881775,0.3480651186267859,0.3472406965595653,0.3480651186267859,0.0008244220672206093,True,5,0.35,0.34745839273751244,0.33315547332183315,0.3619196570949192,1.0,0.02876418377308604,0.012500000000000011,True,False,0.325,0.35,0.024999999999999967,2,False,0.025180854460347044,0.0012438096280317922,20.244942548156104,-0.4315530074783282,-0.5823767657973073,-0.3166978545734263,1.0,4.391768180434624,500,,-0.03067147846168139,0.08111360883606061,inconsistent
7,4,4,0.5714285714285714,1.8,200,41,0.0,1.0,0.398100103384974,0.39174467652175565,0.3752789151641224,0.40977976159230484,0.35439588753011086,0.3542318178320676,0.35439588753011086,0.00016406969804327876,True,5,0.35,0.3541098639348227,0.3390737444757617,0.37011754038050215,1.0,0.031043795904740434,0.012500000000000011,True,False,0.35,0.35,0.0,1,False,0.025395352926255263,0.0013025946452825269,19.49597522009399,-0.4271755376458307,-0.5932128040053183,-0.2991450935129502,1.0,4.73568248887982,500,,-0.04399023945015129,0.11050044718931282,inconsistent
7,4,4,0.5714285714285714,1.9,200,41,0.0,1.0,0.41780147036559495,0.41110843796917274,0.3936459413480598,0.43030542120749815,0.3678203439656814,0.3719221502844134,0.3678203439656814,0.004101806318731971,True,5,0.375,0.36750924276289293,0.34629463952333106,0.38668461605784205,0.9995,0.040389976534510985,0.012500000000000011,True,False,0.35,0.4,0.050000000000000044,3,False,0.025077485417906803,0.0015017869774462105,16.698430466184412,-0.37235086571641385,-0.6579878947560485,-0.24366333093024922,0.9995,6.455370900079339,500,,-0.05029222760270202,0.12037350552810185,inconsistent
7,4,4,0.5714285714285714,2.0,200,41,0.0,1.0,0.43723933430150336,0.4302078146186974,0.4116315990652845,0.45050456249679766,0.3707334393292747,0.3718974311424116,0.3707334393292747,0.0011639918131368665,True,5,0.375,0.3705675178479462,0.35314386531959896,0.3891766137987456,0.9995,0.036032748479146615,0.012500000000000011,True,False,0.35,0.4,0.050000000000000044,3,False,0.024897413784190726,0.0016065504011575718,15.497437096434279,-0.3431003377315648,-0.6297862511686375,-0.2601142832648597,0.9995,7.494673892575082,500,,-0.06667181645355713,0.15248357415067973,inconsistent
7,4,4,0.5714285714285714,2.1,200,41,0.0,1.0,0.4564195066899945,0.4490616506439304,0.42947743107064884,0.4704578122359866,0.382877925868532,0.37193005469764784,0.382877925868532,0.010947871170884138,True,5,0.375,,0.3589193773917101,0.40648028615314913,0.9925,0.047560908761439036,0.012500000000000011,False,False,0.35,0.425,0.07500000000000001,4,False,0.024754364930601867,0.0016390387824545159,15.10297693720912,-0.29118673186333366,-0.6554071896102075,-0.24415800779295654,0.9925,7.891278788011165,500,wide_plateau,,,unresolved
7,4,4,0.5714285714285714,2.2,200,41,0.0,1.0,0.4753481646877263,0.4676097321801137,0.44693618771186694,0.4902382999608515,0.3785703965929524,0.3785134879748895,0.3785703965929524,5.690861806290082e-05,True,5,0.375,0.3783095294822724,0.358530559689389,0.39431004271118314,1.0,0.03577948302179412,0.012500000000000011,True,False,0.35,0.4,0.050000000000000044,3,False,0.02533558847771568,0.0016488683251913527,15.365440702959383,-0.405227888486632,-0.6293711578049761,-0.26604357460149886,1.0,7.623992548806383,500,,-0.09703863520545386,0.20414223176648238,inconsistent
7,4,4,0.5714285714285714,2.3,200,41,0.0,1.0,0.4940315644382013,0.48596065765048835,0.46437746639781596,0.5096665703358567,0.385342920121566,0.384152483272405,0.385342920121566,0.0011904368491610362,True,5,0.375,0.38531550487903865,0.3585306875086769,0.4088112552964848,0.999,0.05028056778780793,0.012500000000000011,True,False,0.375,0.4,0.025000000000000022,2,False,0.025449425047412176,0.0016586462968990307,15.343491312760214,-0.30969063924828577,-0.5476005436299841,-0.18074478979112998,0.999,7.645820916045613,500,,-0.10871605955916264,0.22005893425613698,inconsistent
7,4,4,0.5714285714285714,2.4,200,41,0.0,1.0,0.5124761007052401,0.5041591589651115,0.48144212318067087,0.5289066029694985,0.38028954114973135,0.3796109228207823,0.38028954114973135,0.0006786183289490544,True,5,0.375,0.38018130734089517,0.36721705126105425,0.3952964728723935,1.0,0.02807942161133925,0.012500000000000011,True,False,0.375,0.375,0.0,1,False,0.026036843437130353,0.0016910352621843504,15.39698433224742,-0.5938377860546926,-0.7850481473287094,-0.3876277374702772,1.0,7.592786171436582,500,,-0.1322947933643449,0.25814822034098456,inconsistent
7,4,4,0.5714285714285714,2.5,200,41,0.0,1.0,0.5306881682798229,0.5221511627645996,0.49836979881423965,0.5479020800074902,0.3844855219198652,0.38429772552393143,0.3844855219198652,0.00018779639593374808,True,5,0.375,0.3845326775893057,0.36796074601550416,0.4002334125047262,0.999,0.03227266648922206,0.012500000000000011,True,False,0.35,0.4,0.050000000000000044,3,False,0.025559965979287003,0.001789254145828378,14.28526296215645,-0.4892382600944075,-0.7173307401304864,-0.3007366213556479,0.999,8.820557320739935,500,,-0.1461554906905172,0.2754074792439161,inconsistent
7,5,5,0.7142857142857143,0.1,200,41,0.0,1.0,0.020721926363666706,0.020396055709239913,0.019627252155802213,0.021249371189071442,0.274527519227359,0.27523116773657824,0.274527519227359,0.0007036485092192235,True,5,0.275,0.27455387979283097,0.27090234323748774,0.27790829409510565,1.0,0.007005950857617904,0.012500000000000011,True,False,0.275,0.275,0.0,1,False,0.013380140115389636,6.051266840666578e-05,221.113040751575,-0.41004811405500247,-0.4426115738798211,-0.37702078306320236,1.0,0.03681660948842318,500,,0.25383195342916426,12.249438057758312,inconsistent
7,5,5,0.7142857142857143,0.2,200,41,0.0,1.0,0.04140900997961558,0.04081671288025492,0.03928411110176116,0.04251769690200445,0.24715763818245587,0.24740267357171736,0.24715763818245587,0.0002450353892614887,True,5,0.25,0.2471619399889406,0.24326415196268222,0.25088236304133954,1.0,0.0076182110786573165,0.012500000000000011,True,False,0.25,0.25,0.0,1,False,0.013918020772230717,0.00010150957501683984,137.11042303075152,-0.4060934511594286,-0.4415787794390881,-0.369513889521828,1.0,0.09574840839939118,500,,0.205752930009325,4.9687961656318524,inconsistent
7,5,5,0.7142857142857143,0.3,200,41,0.0,1.0,0.062027320653211704,0.06109344515106224,0.058807111948153835,0.06367149898909039,0.23615682740527033,0.2361059998192007,0.23615682740527033,5.082758606964055e-05,True,5,0.225,0.23622282304970116,0.23270073324557472,0.24020496841839528,1.0,0.007504235172820561,0.012500000000000011,True,False,0.225,0.25,0.024999999999999994,2,False,0.014371997946940716,0.0001487136587856606,96.64208428665536,-0.3862369644314674,-0.4224316234854488,-0.34765176244957013,1.0,0.19272583210002037,500,,0.17419550239648945,2.808367354288901,inconsistent
7,5,5,0.7142857142857143,0.4,200,41,0.0,1.0,0.08254482196751012,0.08131522743159422,0.07826945198440562,0.08470471700773344,0.2353347403139021,0.23577335828469856,0.2353347403139021,0.0004386179707964455,True,5,0.225,0.23529307603668337,0.2320071828075354,0.23853099054728477,1.0,0.0065238077397493655,0.012500000000000011,True,False,0.225,0.225,0.0,1,False,0.015078686702953177,0.00020829346819763736,72.39154848891326,-0.37265319463847346,-0.41465162256737137,-0.32157836740860296,1.0,0.34347629698394316,500,,0.15274825406917325,1.85048862458381,inconsistent
7,5,5,0.7142857142857143,0.5,200,41,0.0,1.0,0.10293190573634378,0.10139858876694037,0.09759459534359038,0.10565068541146966,0.2358005747019474,0.23554041586725927,0.2358005747019474,0.0002601588346881345,True,5,0.225,0.23572864349571526,0.23269925328432184,0.2388796931615434,1.0,0.006180439877221555,0.012500000000000011,True,False,0.225,0.225,0.0,1,False,0.01632261504027861,0.000277938902117641,58.72734948549903,-0.46278439026483403,-0.5032653186071816,-0.4164862866260245,1.0,0.5219052963688159,500,,0.13279673775937148,1.290141640819566,inconsistent
7,5,5,0.7142857142857143,0.6,200,41,0.0,1.0,0.12316224044396204,0.12130997460814735,0.116762840456779,0.12642262393191372,0.24024341716564507,0.23985042363139225,0.24024341716564507,0.0003929935342528168,True,5,0.25,0.23980982773826687,0.23672132825125827,0.24397592083079744,1.0,0.007254592579539171,0.012500000000000011,True,False,0.225,0.25,0.024999999999999994,2,False,0.01796033966537546,0.0003547896285175279,50.6225047795842,-0.3735047427725702,-0.5505671921086114,-0.35613346867218193,1.0,0.7024012002133397,500,,0.11664758729430483,0.9471051100875245,inconsistent
7,5,5,0.7142857142857143,0.7,200,41,0.0,1.0,0.1432129604969704,0.14103242640284053,0.13567206133492274,0.14699788361849617,0.24711802739303906,0.24714012183363765,0.24711802739303906,2.2094440598585674e-05,True,5,0.25,0.24713155377176327,0.24352856816435484,0.2504215211505881,1.0,0.006892952986233242,0.012500000000000011,True,False,0.25,0.25,0.0,1,False,0.02017161569282048,0.00044854523915209977,44.97119561663739,-0.49307825901277996,-0.5352905534611017,-0.4500860518446819,1.0,0.8900279333689658,500,,0.10391859327479286,0.7256228271113158,inconsistent
