L,N,nmax,filling,W_over_t,realizations,U_points,entropy_peak_method,U_S_loess_over_t,U_S_grid_max_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,U_S_candidate_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,unresolved_reasons
8,8,8,1.0,1.0,300,11,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,0.1890339415762554,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
8,8,8,1.0,2.0,300,11,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,0.17531216975568753,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
8,8,8,1.0,3.0,300,11,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,0.14847503321801883,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
8,8,8,1.0,4.0,300,11,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,0.11431036462216146,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
8,8,8,1.0,5.0,300,11,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,0.0839160761733047,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
8,8,8,1.0,6.0,300,11,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,0.05881775231874722,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
8,8,8,1.0,7.0,300,11,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,0.041730037948048894,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
8,8,8,1.0,8.0,300,11,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,0.030081528214366854,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
8,8,8,1.0,9.0,300,11,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,0.021083195083990227,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
8,8,8,1.0,10.0,300,11,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.5,False,True,0.0,0.0,0.0,0.0,,0.01236888762365282,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval
